Name,Image,Outdoor Image,Icon,Source,Droppable,Buy Price (Bells),Buy Price (Medals),Sell Price (Re-Tail),Sell Price (Nooklings),Sell Price (Leila),Placeable in House,HHA Base Points,Color 1,Color 2,When HHA Lucky,Fashion,Equip Type,Clothing Type,Consumable,Plant,Notes,Name (English EU),Name (Japanese),Name (Spanish NA),Name (Spanish EU),Name (French NA),Name (French EU),Name (German),Name (Italian),Name (Korean),Version Added,Hex ID (1.0),Hex ID (1.4),Model Filename,New To Series,Name (GCN),Name (WW),Name (CF),Name (NH),Name (HHD),Name (PC)
black-tulip bag,,,,Leif Weeding Minigame,Yes,160,-,40,32,-,No,0,-,-,-,-,-,-,No,No,,-,くろいチューリップ,tulipán negro,tulipán negro,sac tulipes noires,sac tulipes noires,Römertulpe,tulipano nero,검정 튤립,1.0,203D,203D,-,,,,,-,,-
orange-tulip bag,,,,Leif Weeding Minigame,Yes,160,-,40,32,-,No,0,-,-,-,-,-,-,No,No,,-,オレンジチューリップ,tulipán naranja,tulipán naranja,sac tulipes orange,sac tulipes orange,Flachlandtulpe,tulipano arancione,오렌지색 튤립,1.0,203E,203E,-,,,,,-,,-
white-pansy bag,,,,Garden Shop,Yes,80,-,20,16,-,No,0,-,-,-,-,-,-,No,No,,-,しろいパンジー,viola blanca,viola blanca,sac pensées blanches,sac pensées blanches,Pfingstveilchen,viola bianca,하얀 팬지,1.0,203F,203F,-,,,,,white-pansy bag,,-
yellow-pansy bag,,,,Garden Shop,Yes,80,-,20,16,-,No,0,-,-,-,-,-,-,No,No,,-,きいろいパンジー,viola amarilla,viola amarilla,sac pensées jaunes,sac pensées jaunes,Hornveilchen,viola gialla,노란 팬지,1.0,2040,2040,-,,,,,yellow-pansy bag,,-
red-pansy bag,,,,Garden Shop,Yes,80,-,20,16,-,No,0,-,-,-,-,-,-,No,No,,-,あかいパンジー,viola roja,viola roja,sac pensées rouges,sac pensées rouges,Alpenveilchen,viola rossa,빨간 팬지,1.0,2041,2041,-,,,,,red-pansy bag,,-
purple-pansy bag,,,,Leif Weeding Minigame,Yes,160,-,40,32,-,No,0,-,-,-,-,-,-,No,No,,-,むらさきのパンジー,viola violeta,viola violeta,sac pensées mauves,sac pensées mauves,Hainveilchen,viola viola,보라색 팬지,1.0,2042,2042,-,,,,,-,,-
orange-pansy bag,,,,Leif Weeding Minigame,Yes,160,-,40,32,-,No,0,-,-,-,-,-,-,No,No,,-,あかきいろパンジー,viola roja/amarilla,viola roja/amarilla,sac pensées orange,sac pensées orange,Stiefmütterchen,viola arancione,2색 팬지,1.0,2043,2043,-,,,,,-,,-
blue-pansy bag,,,,Leif Weeding Minigame,Yes,160,-,40,32,-,No,0,-,-,-,-,-,-,No,No,,-,あおいパンジー,viola azul,viola azul,sac pensées bleues,sac pensées bleues,Duftveilchen,viola blu,파란 팬지,1.0,2044,2044,-,,,,,-,,-
white-cosmos bag,,,,Garden Shop,Yes,80,-,20,16,-,No,0,-,-,-,-,-,-,No,No,,-,しろいコスモス,cosmos blanco,cosmos blanco,sac de cosmos blancs,sac de cosmos blancs,Gartenprimel,cosmea bianca,하얀 코스모스,1.0,2045,2045,-,,,,,white-cosmos bag,,-
red-cosmos bag,,,,Garden Shop,Yes,80,-,20,16,-,No,0,-,-,-,-,-,-,No,No,,-,あかいコスモス,cosmos rojo,cosmos rojo,sac de cosmos rouges,sac de cosmos rouges,Kissenprimel,cosmea rossa,빨간 코스모스,1.0,2046,2046,-,,,,,red-cosmos bag,,-
sun-cosmos bag,,,,Garden Shop,Yes,80,-,20,16,-,No,0,-,-,-,-,-,-,No,No,,-,きいろいコスモス,cosmos amarillo,cosmos amarillo,sac de cosmos jaunes,sac de cosmos jaunes,Aurikel,cosmea gialla,노란 코스모스,1.0,2047,2047,-,,,,,yellow-cosmos bag,,-
pink-cosmos bag,,,,Leif Weeding Minigame,Yes,160,-,40,32,-,No,0,-,-,-,-,-,-,No,No,,-,ピンクのコスモス,cosmos rosa,cosmos rosa,sac de cosmos roses,sac de cosmos roses,Sumpfprimel,cosmea rosa,핑크색 코스모스,1.0,2048,2048,-,,,,,-,,-
orange-cosmos bag,,,,Leif Weeding Minigame,Yes,160,-,40,32,-,No,0,-,-,-,-,-,-,No,No,,-,オレンジのコスモス,cosmos naranja,cosmos naranja,sac de cosmos orange,sac de cosmos orange,Zwergprimel,cosmea arancione,오렌지색 코스모스,1.0,2049,2049,-,,,,,-,,-
black-cosmos bag,,,,Leif Weeding Minigame,Yes,160,-,40,32,-,No,0,-,-,-,-,-,-,No,No,,-,くろいコスモス,cosmos negro,cosmos negro,sac de cosmos noirs,sac de cosmos noirs,Kugelprimel,cosmea nera,검정 코스모스,1.0,204A,204A,-,,,,,-,,-
red-rose bag,,,,Garden Shop,Yes,80,-,20,16,-,No,0,-,-,-,-,-,-,No,No,,-,あかいバラ,rosa roja,rosa roja,sac de roses rouges,sac de roses rouges,Liebesrose,rosa rossa,빨간 장미,1.0,204B,204B,-,,,,,red-rose bag,,-
white-rose bag,,,,Garden Shop,Yes,80,-,20,16,-,No,0,-,-,-,-,-,-,No,No,,-,しろいバラ,rosa blanca,rosa blanca,sac roses blanches,sac roses blanches,Unschuldsrose,rosa bianca,하얀 장미,1.0,204C,204C,-,,,,,white-rose bag,,-
yellow-rose bag,,,,Garden Shop,Yes,80,-,20,16,-,No,0,-,-,-,-,-,-,No,No,,-,きいろいバラ,rosa amarilla,rosa amarilla,sac de roses jaunes,sac de roses jaunes,Bernsteinrose,rosa gialla,노란 장미,1.0,204D,204D,-,,,,,yellow-rose bag,,-
pink-rose bag,,,,Leif Weeding Minigame,Yes,160,-,40,32,-,No,0,-,-,-,-,-,-,No,No,,-,ピンクのバラ,rosa rosada,rosa rosada,sac de roses roses,sac de roses roses,Pinkrose,rosa rosa,핑크색 장미,1.0,204E,204E,-,,,,,-,,-
orange-rose bag,,,,Leif Weeding Minigame,Yes,160,-,40,32,-,No,0,-,-,-,-,-,-,No,No,,-,オレンジのバラ,rosa naranja,rosa naranja,sac de roses orange,sac de roses orange,Sonnenrose,rosa arancione,오렌지색 장미,1.0,204F,204F,-,,,,,-,,-
purple-rose bag,,,,Leif Weeding Minigame,Yes,160,-,40,32,-,No,0,-,-,-,-,-,-,No,No,,-,むらさきのバラ,rosa malva,rosa malva,sac de roses mauves,sac de roses mauves,Lilarose,rosa viola,보라색 장미,1.0,2050,2050,-,,,,,-,,-
black-rose bag,,,,Leif Weeding Minigame,Yes,240,-,60,48,-,No,0,-,-,-,-,-,-,No,No,,-,くろいバラ,rosa negra,rosa negra,sac de roses noires,sac de roses noires,Schwarzrose,rosa nera,검정 장미,1.0,2051,2051,-,,,,,-,,-
blue-rose bag,,,,Leif Weeding Minigame,Yes,240,-,60,48,-,No,0,-,-,-,-,-,-,No,No,,-,あおいバラ,rosa azul,rosa azul,sac de roses bleues,sac de roses bleues,Blaurose,rosa blu,파란 장미,1.0,2052,2052,-,,,,,-,,-
gold-rose bag,,,,Leif Weeding Minigame,Yes,240,-,60,48,-,No,0,-,-,-,-,-,-,No,No,,-,きんのバラ,rosa dorada,rosa dorada,sac de roses dorées,sac de roses dorées,Goldrose,rosa d'oro,금장미,1.0,2053,2053,-,,,,,-,,-
red-carnation bag,,,,Leif Weeding Minigame,Yes,240,-,60,48,-,No,0,-,-,-,-,-,-,No,No,,-,あかいカーネーション,clavel rojo,clavel rojo,sac d'œillets rouges,sac d'œillets rouges,Bartnelke,garofano rosso,빨간 카네이션,1.0,2054,2054,-,,,,,-,,-
pink-carnation bag,,,,Leif Weeding Minigame,Yes,240,-,60,48,-,No,0,-,-,-,-,-,-,No,No,,-,ピンクカーネーション,clavel rosa,clavel rosa,sac d'œillets roses,sac d'œillets roses,Heidenelke,garofano rosa,핑크색 카네이션,1.0,2055,2055,-,,,,,-,,-
white-carnation bag,,,,Leif Weeding Minigame,Yes,240,-,60,48,-,No,0,-,-,-,-,-,-,No,No,,-,しろいカーネーション,clavel blanco,clavel blanco,sac d'œillets blancs,sac d'œillets blancs,Federnelke,garofano bianco,하얀 카네이션,1.0,2056,2056,-,,,,,-,,-
white-lily bag,,,,Garden Shop,Yes,80,-,20,16,-,No,0,-,-,-,-,-,-,No,No,,-,しろいユリ,lirio blanco,lirio blanco,sac de lys blancs,sac de lys blancs,Osterlilie,giglio bianco,하얀 백합,1.0,2057,2057,-,,,,,white-lily bag,,-
yellow-lily bag,,,,Garden Shop,Yes,80,-,20,16,-,No,0,-,-,-,-,-,-,No,No,,-,きいろいユリ,lirio amarillo,lirio amarillo,sac de lys jaunes,sac de lys jaunes,Pyrenäenlilie,giglio giallo,노란 백합,1.0,2058,2058,-,,,,,yellow-lily bag,,-
red-lily bag,,,,Garden Shop,Yes,80,-,20,16,-,No,0,-,-,-,-,-,-,No,No,,-,あかいユリ,lirio rojo,lirio rojo,sac de lys rouges,sac de lys rouges,Rotlilie,giglio rosso,빨간 백합,1.0,2059,2059,-,,,,,red-lily bag,,-
orange-lily bag,,,,Leif Weeding Minigame,Yes,160,-,40,32,-,No,0,-,-,-,-,-,-,No,No,,-,オレンジのユリ,lirio naranja,lirio naranja,sac de lys orange,sac de lys orange,Feuerlilie,giglio arancione,오렌지색 백합,1.0,205A,205A,-,,,,,-,,-
