#,Name,Image,Type,Source,Reorderable,Buy Price (Bells),Buy Price (Medals),Sell Price (Re-Tail),Sell Price (Nooklings),Sell Price (Leila),HHA Base Points,Series,HHA Theme Challenge,When HHA Lucky,Color 1,Color 2,Fashion,Gender,Category,Prevents Tan,Catalog Keyword,Name (Japanese),Name (Spanish),Name (French),Name (German),Name (Italian),Name (Korean),Hex ID (1.0),Hex ID (1.4),Model Filename,New To Series,Name (WW),Name (CF),Name (NH),Name (HHD),Name (PC)
26,hockey mask,,Glasses,Able Sisters,Yes,600,-,150,120,7,3,-,Quirky,-,white,white,sporty,Unisex,-,Yes,,ホッケーのマスク,máscara de hockey,masque de hockey,Hockeymaske,maschera da hockey,하키 마스크,286C,2916,acc_mask_hockey,No,,hockey mask,,,-
27,huge shades,,Glasses,Able Sisters,Yes,320,-,80,64,4,3,-,Trendy,-,black,red,flashy,Female,-,No,,きょだいなサングラス,gafa sol sixties,monture maxi,Riesenbrille,montatura scura,거대 선글라스,285B,2905,acc_shade_huge,No,,huge shades,,,-
28,jester's mask,,Glasses,Able Sisters,Yes,640,-,160,128,8,3,jester,Fairy Tale / Toy Shop,-,black,white,flashy,Unisex,-,Yes,,ピエロのかめん,careta de bufón,masque de clown,Clownsmaske,maschera giullare,피에로 가면,286D,2917,acc_mask_jesters,Yes,,-,,,-
29,king's beard,,Glasses,Able Sisters,Yes,"8,000",-,"2,000","1,600",100,3,king,-,-,white,white,ornate,Male,-,No,,おうさまのヒゲ,barba real,barbe de roi,Königsbart,barba reale,임금님 수염,2873,291D,acc_beard_king,No,,king's beard,,,-
30,ladder shades,,Glasses,Isabelle,No,-,-,400,-,20,499,-,Trendy,-,red,red,rock 'n' roll,Unisex,-,No,,ブラインドサングラス,gafa rejilla,monture stores,Lamellenbrille,montatura tapparella,블라인드 선글라스,287A,2924,acc_shade_blind,No,,ladder shades,,,-
31,leaf,,Glasses,Able Sisters,Yes,120,-,30,24,1,3,-,Rustic,-,green,green,flashy,Unisex,-,No,,はっぱ,hoja,feuille,Blatt,foglia,나뭇잎,2880,292A,acc_branch_leaf,Yes,,-,,,-
32,lemon pack,,Glasses,Able Sisters,Yes,360,-,90,72,4,3,-,-,-,yellow,yellow,flashy,Female,-,Yes,,レモンパック,mascarilla limón,masque citron,Zitronenmaske,trucco limone,레몬 팩,2877,2921,acc_pack_lemon,No,,lemon pack,,,-
33,masquerade mask,,Glasses,Able Sisters,Yes,480,-,120,96,6,3,-,Antique / Fairy Tale,-,pink,orange,iconic,Female,-,Yes,,ベネチアンマスク,antifaz rojo,loup,Ballmaske,mascherina rosa,베네치안 마스크,287E,2928,acc_mask_venetian,No,,masquerade mask,,,-
34,mint glasses,,Glasses,Able Sisters,Yes,240,-,60,48,3,3,-,-,-,aqua,aqua,basic,Unisex,-,No,,みずいろめがね,montura menta,monture menthe,Minzbrille,montatura menta,하늘색 안경,284E,28F8,acc_glass_mnt,No,,mint glasses,,,mint glasses
35,monocle,,Glasses,Able Sisters,Yes,320,-,80,64,4,3,-,Antique,-,aqua,gray,official,Unisex,-,No,,モノクル,monóculo,monocle,Monokel,monocolo,모노클,2867,2911,acc_monocle,No,,monocle,,,-
36,oval shades,,Glasses,Able Sisters,Yes,"1,200",-,300,240,15,3,-,Trendy,-,black,white,modern,Unisex,-,No,,だえんのサングラス,gafa ovalada,monture ovale,Ovalbrille,montatura ovale,타원형 선글라스,2884,292E,acc_shade_oval,Yes,,-,,,-
37,pacifier,,Glasses,Able Sisters,Yes,120,-,30,24,1,3,-,Fairy Tale,-,pink,pink,cute,Unisex,-,No,,おしゃぶり,chupete,tétine,Schnuller,ciuccio,노리개젖꼭지,2875,291F,acc_pacifier,No,,pacifier,,,-
38,pilot shades,,Glasses,Able Sisters,Yes,600,-,150,120,7,3,-,-,-,black,white,official,Male,-,No,,パイロットサングラス,gafa sol piloto,monture pilote,Pilotenbrille,montatura da sole,파일럿 선글라스,2859,2903,acc_shade_pilot,No,,pilot shades,,,-
39,pink glasses,,Glasses,Able Sisters,Yes,240,-,60,48,3,3,-,Fairy Tale,-,pink,pink,cute,Female,-,No,,ピンクのめがね,montura rosa,monture rose,Girlie-Brille,montatura rosa,핑크색 안경,2852,28FC,acc_glass_pnk,No,,pink glasses,,,pink glasses
40,post-op patch,,Glasses,Able Sisters,Yes,320,-,80,64,4,3,-,Quirky,-,white,white,rock 'n' roll,Unisex,-,No,,がんたい,parche médico,bandeau,Augenverband,benda operazione,안대,286A,2914,acc_patch_postop,No,,post-op patch,,,post-op patch
41,purple glasses,,Glasses,Able Sisters,Yes,240,-,60,48,3,3,-,-,-,purple,purple,basic,Unisex,-,No,,むらさきめがね,montura violeta,monture mauve,Lilabrille,montatura viola,보라색 안경,284F,28F9,acc_glass_ppl,No,,purple glasses,,,-
42,red glasses,,Glasses,Able Sisters,Yes,240,-,60,48,3,3,-,-,-,red,red,cute,Unisex,-,No,,あかめがね,montura roja,monture rouge,Rubinbrille,montatura rossa,빨간 안경,284C,28F6,acc_glass_red,No,,red glasses,,,-
43,red nose,,Glasses,Able Sisters,Yes,80,-,20,16,1,3,-,Toy Shop,-,red,red,cute,Unisex,-,No,,あかはな,nariz de payaso,nez rouge,Clownsnase,naso rosso,빨간 코,286E,2918,acc_nose_red,No,,red nose,,,red nose
44,rimmed glasses,,Glasses,Able Sisters,Yes,240,-,60,48,3,3,-,-,-,black,aqua,historical,Unisex,-,No,,まるめがね,gafa redonda,monture intello,Laborbrille,montatura rotonda,공부벌레 안경,2855,28FF,acc_glass_rimmed,No,,rimmed glasses,,,rimmed glasses
45,round glasses,,Glasses,Able Sisters,Yes,240,-,60,48,3,3,-,-,-,black,aqua,historical,Unisex,-,No,,レトロなめがね,gafa círculos,monture ronde,Retro-Brille,montatura rétro,복고풍 안경,287C,2926,acc_glass_retro,Yes,,-,,,round glasses
46,Santa beard,,Glasses,Able Sisters,Yes,560,-,140,112,7,33,-,-,Dec 1-31,white,white,cute,Male,-,No,,サンタのヒゲ,barba festiva,barbe de père Noël,Weihnachtsmannbart,barba Babbo Natale,산타 수염,287B,2925,acc_beard_xmas,Yes,,-,,,-
47,silver frames,,Glasses,Able Sisters,Yes,240,-,60,48,3,3,-,-,-,white,white,iconic,Unisex,-,No,,ぎんぶちめがね,montura plateada,monture argent,Silberbrille,montatura d'argento,금색 코받침 안경,2854,28FE,acc_glass_silver,No,,silver frames,,,silver frames
48,snorkel mask,,Glasses,Souvenir Shop,No,-,20,250,200,12,99,-,-,-,aqua,black,sporty,Unisex,-,No,,シュノーケル,gafa buceo,masque plongée,Taucherbrille,maschera da mare,스노클,2864,290E,acc_mask_snorkel,No,,snorkel mask,,,snorkel mask
49,sporty shades,,Glasses,Able Sisters,Yes,320,-,80,64,4,3,-,-,-,black,green,sporty,Unisex,-,No,,スポーツサングラス,gafa sol esquí,monture sport,Sportbrille,montatura sportiva,스포츠 선글라스,285A,2904,acc_shade_sporty,No,,sporty shades,,,sporty shades
50,stache & glasses,,Glasses,Able Sisters,Yes,240,-,60,48,3,3,-,-,-,red,black,cute,Unisex,-,No,,ヒゲメガネ,gafa broma,kit rigolo,Schnauzerbrille,montatura Carnevale,수염 안경,286F,2919,acc_glass_stache,No,,stache & glasses,,,-
51,star shades,,Glasses,GracieGrace,No,"4,800",-,"1,200",-,60,251,-,-,-,black,yellow,flashy,Unisex,-,No,,ほしのサングラス,gafa estrella,monture étoiles,Sternenbrille,montatura stelle,별 선글라스,285F,2909,acc_shade_star,No,,star shades,,,star shades
52,steampunk glasses,,Glasses,Able Sisters,Yes,"2,400",-,600,480,30,3,-,Sci-Fi / Toy Shop,-,brown,brown,flashy,Unisex,-,No,,スチームパンクのめがね,gafa steampunk,monture steampunk,Steampunkbrille,montatura steampunk,스팀펑크 안경,2881,292B,acc_glass_steampunk,Yes,,-,,,steampunk glasses
53,superhero mask,,Glasses,Able Sisters,Yes,"1,200",-,300,240,15,3,-,Toy Shop,-,black,black,sporty,Unisex,-,No,,ヒーローマスク,antifaz,masque héros,Heldenmaske,maschera nera,히어로 마스크,2862,290C,acc_mask_hero,No,,superhero mask,,,superhero mask
54,thick glasses,,Glasses,Able Sisters,Yes,320,-,80,64,4,3,-,-,-,black,black,iconic,Unisex,-,No,,くろぶちめがね,montura gruesa,monture forte,Hornbrille,montatura spessa,뿔테 안경,2853,28FD,acc_glass_thick,No,,thick glasses,,,thick glasses
55,tiny shades,,Glasses,Able Sisters,Yes,240,-,60,48,3,3,-,-,-,black,black,historical,Unisex,-,No,,ちいさいサングラス,gafa sol mini,monture mini,Sonnenbrille,montatura piccola,작은 선글라스,285D,2907,acc_shade_tiny,No,,tiny shades,,,tiny shades
56,tortoise specs,,Glasses,GracieGrace,No,"5,200",-,"1,300",-,65,251,-,-,-,brown,brown,iconic,Unisex,-,No,,べっこうめがね,gafa carey,monture tortue,Krötenbrille,montatura tartaruga,거북이 등껍질 안경,2857,2901,acc_glass_tortoise,No,,tortoise specs,,,tortoise specs
57,triangle shades,,Glasses,Able Sisters,Yes,240,-,60,48,3,3,-,-,-,black,black,rock 'n' roll,Male,-,No,,さんかくサングラス,gafa sol roquera,monture triangle,Dreiecksbrille,montatura triangol.,삼각 선글라스,285C,2906,acc_shade_triangle,No,,triangle shades,,,triangle shades
58,yellow glasses,,Glasses,Able Sisters,Yes,240,-,60,48,3,3,-,-,-,yellow,yellow,cute,Unisex,-,No,,きいろめがね,montura amarilla,monture jaune,Bernsteinbrille,montatura gialla,노란 안경,284D,28F7,acc_glass_ylw,No,,yellow glasses,,,-
