#,Name,Image,Icon,Equip Type,Type,Source,Reorderable,Buy Price (Bells),Buy Price (Medals),Sell Price (Re-Tail),Sell Price (Nooklings),Sell Price (Leila),HHA Base Points,Series,HHA Theme Challenge,When HHA Lucky,Color 1,Color 2,Fashion,Gender,Category,Prevents Tan,Catalog Keyword,DLC Exclusive,Name (English EU),Name (Japanese),Name (Spanish),Name (French NA),Name (French EU),Name (German),Name (Italian),Name (Korean),Notes,Version Added,Hex ID (1.0),Hex ID (1.4),Model Filename,New To Series,Name (WW),Name (CF),Name (NH),Name (HHD),Name (PC)
011,bear cap,,,Hat,Hood,Able Sisters,Yes,480,-,120,96,6,3,bear,-,-,brown,brown,cute,Unisex,Animal,No,,No,-,クマのかぶりもの,gorro de oso,cagoule ours,cagoule ours,Bärenmütze,cappello orso,곰 모자,,1.0,2802,289E,hlmt_hood_bear,No,,bear cap,,,-
012,beret,,,Hat,Hat,Able Sisters,Yes,320,-,80,64,4,3,-,-,-,brown,brown,iconic,Unisex,-,No,,No,-,ベレーぼう,boina,béret,béret,Barett,basco,베레모,,1.0,278B,281D,cap_beret,No,,beret,,,-
013,bicycle helmet,,,Hat,Hat,Able Sisters,Yes,400,-,100,80,5,3,cyclist,-,-,red,red,sporty,Unisex,-,No,,No,-,サイクルヘルメット,casco ciclista,casque de vélo,casque de vélo,Fahrradhelm,casco ciclista,자전거 헬멧,,1.0,279D,282F,cap_helmet_bicycle,No,,bicycle helmet,,,bicycle helmet
014,big bro's hat,,,Hat,Hat,Able Sisters,Yes,320,-,80,64,4,3,-,Toy Shop,-,red,red,cute,Male,-,Yes,,No,-,おにいさんのぼうし,gorra de Mario,casquette Mario,casquette Mario,Mario-Mütze,cappello fratellone,형 모자,,1.0,279A,282C,cap_hat_bigbros,No,,big bro's hat,,,-
015,birthday hat,,,Hat,Hat,Villagers,No,-,-,100,-,5,451,-,Fairy Tale,-,white,colorful,cute,Female,-,Yes,,No,-,バースデーハット,sombrero cumpleaños,chapeau anniv,chapeau anniv,Geburtstagshut,cappello compleanno,생일 모자,,1.0,27CC,285E,cap_birthday,Yes,,-,,,-
016,birthday shades,,,Helmet,Mask,Villagers,No,-,-,60,-,3,451,-,-,-,pink,pink,rock 'n' roll,Unisex,-,No,,No,-,バースデーサングラス,gafa de cumpleaños,monture anniv,monture anniv,Geburtstagsbrille,montatura compleanno,생일 선글라스,"In ""Accessories"" in 1.0",1.0,284A,28E6,hlmt_glass_birthday,Yes,,-,,,-
017,black veil,,,Helmet,Open Helmet,GracieGrace,No,"4,000",-,"1,000",-,50,251,-,Fairy Tale,-,black,black,official,Female,-,Yes,,No,-,ベールのぼうし,velo negro,voilette,voile noir,Schwarzschleier,parrucca con veletta,베일 모자,,1.0,2839,28D5,hlmt_viel,Yes,,-,,,-
018,blue cap,,,Hat,Hat,Able Sisters,Yes,320,-,80,64,4,3,-,-,-,blue,blue,sporty,Unisex,Manufactured,Yes,,No,-,あおいキャップ,gorra azul,casquette bleu foncé,casquette bleu foncé,Blaumütze,cappello blu,파란 야구 모자,,1.0,2780,2812,cap_cap_blu,No,,blue cap,,,blue cap
019,blue headgear,,,Helmet,Helmet,Able Sisters,Yes,800,-,200,160,10,3,-,-,-,blue,blue,sporty,Unisex,Manufactured,No,,No,-,あおいヘッドギア,protector azul,casque de boxe bleu,casque de boxe bleu,Blauboxerhelm,casco da boxe blu,파란 헤드기어,,1.0,2844,28E0,hlmt_helmet_headgear_blu,Yes,,-,,,-
020,blue New Year's hat,,,Hat,Hat,Redd,No,300,-,75,60,3,33,-,-,Year sold by Redd,blue,blue,cute,Unisex,Nature,Yes,,No,-,ニューイヤーハットあお,gorro Año Nuevo azul,chapeau nouvel an B,chapeau nouvel an B,Neujahrshut (blau),capp. Capodanno blu,파란 새해 모자,,1.0,27CF,2861,cap_newyear_cone,Yes,,-,,,blue New Year's hat
021,blue nightcap,,,Hat,Hat,Able Sisters,Yes,300,-,75,60,3,3,-,-,-,aqua,white,cute,Male,-,No,,No,-,あおいナイトキャップ,gorro de dormir azul,bonnet de nuit bleu,bonnet de nuit bleu,Jungen-Nachtmütze,berretto notte blu,파란 나이트캡,,1.0,27DB,286D,cap_nightcap_blu,Yes,,-,,,-
022,blue ogre mask,,,Helmet,Mask,Isabelle,No,-,-,160,-,8,499,-,Harmonious / Quirky,-,blue,blue,flashy,Unisex,-,Yes,,No,-,あおオニのおめん,careta ogro azul,masque d'ogre bleu,masque d'ogre bleu,Ogermaske (blau),masch. Setsubun blu,파란 도깨비 가면,,1.0,2816,28B2,hlmt_mask_demonblu,No,,blue ogre mask,,,-
023,blue Pikmin,,,Hat,Hood,Fortune,No,-,-,210,-,10,151,-,Toy Shop,-,blue,white,cute,Unisex,-,No,,No,-,あおピクミン,Pikmin brote,Pikmin bourgeon,Pikmin bourgeon,Knospen-Pikmin,berr. Pikmin blu,파랑피크민,,1.0,2822,28BE,hlmt_pikmin_blue,Yes,,-,,,-
024,blue plaid fedora,,,Hat,Hat,Able Sisters,Yes,320,-,80,64,4,3,-,-,-,blue,blue,official,Unisex,-,Yes,,No,-,なかおれハット,sombrero cuadros,borsalino plaid bleu,borsalino plaid bleu,Karo-Filzhut,cappello plaid blu,페도라,,1.0,27D5,2867,cap_softfelt,Yes,,-,,,-
025,blue pom-pom hat,,,Hat,Hat,Able Sisters,Yes,320,-,80,64,4,3,-,-,-,blue,blue,basic,Unisex,Manufactured,No,,No,-,あおいニットぼう,gorro montaña,bonnet bleu,bonnet bleu,Schneemütze,berretto blu,파란 털모자,,1.0,2781,2813,cap_knit_blu,No,,blue pom-pom hat,,,blue pom-pom hat
026,blue ribbon,,,Hat,Accessory,Able Sisters,Yes,240,-,60,48,3,3,-,Fairy Tale,-,blue,blue,cute,Female,Manufactured,No,,No,-,あおいリボン,lazo azul,ruban bleu,ruban bleu,Azurband,fiocco blu,파란 리본,,1.0,27B7,2849,cap_ribbon_blu,No,,blue ribbon,,,-
027,blue-zap helmet,,,Helmet,Helmet,Able Sisters,Yes,600,-,150,120,7,3,blue superhero,Sci-Fi / Toy Shop,-,white,blue,sporty,Male,-,Yes,,No,-,ヒーローヘルメットB,supercasco azul,casque de héros bleu,casque de héros bleu,Blauheldenhelm,casco eroe blu,히어로 헬멧 B,,1.0,2812,28AE,hlmt_helmet_heroB,Yes,,-,,,-
028,braided wig,,,Hat,Wig,Able Sisters,Yes,480,-,120,96,6,3,-,-,-,brown,brown,cute,Female,-,No,,No,-,みつあみ,peluca con trenza,perruque à nattes,perruque à nattes,Zöpfchenperücke,parrucca con treccia,땋은 머리,,1.0,2845,28E1,hlmt_wig_braid,Yes,,-,,,-
029,bridal veil,,,Hat,Wig,GracieGrace,No,"7,200",-,"1,800",-,90,251,bride,Fairy Tale,-,white,white,official,Female,-,No,,No,-,じゅんぱくのヴェール,velo de novia,voile de mariée,voile de mariée,Brautschleier,velo da sposa,순백 베일,,1.0,27FE,289A,hlmt_veil_wht,No,,bridal veil,,,-
030,bug mask,,,Helmet,Helmet,Able Sisters,Yes,"1,031",-,257,205,12,33,-,Quirky,-,black,black,flashy,Unisex,Animal,Yes,,No,-,ムシのかぶりもの,careta de bicho,masque d'insecte,masque d'insecte,Insektenmaske,maschera insettone,곤충 마스크,,1.0,281F,28BB,hlmt_hlwn_insect,Yes,,-,,,-
031,bulb bopper,,,Hat,Accessory,Isabelle,No,-,-,40,32,2,3,-,-,-,green,green,cute,Unisex,Manufactured,No,,No,-,ひかるボールアクセサリー,diadema luciérnagas,serre-tête lumières,serre-tête lumières,Leuchtkugelfühler,paio antenne fluo,빛나는 볼 액세서리,,1.0,27E5,2877,cap_glow_ball,Yes,,-,,,-
032,bun wig,,,Hat,Wig,Able Sisters,Yes,480,-,120,96,6,3,-,Harmonious,-,black,white,cute,Female,-,No,,No,-,おだんごあたま,moño,perruque beignet,perruque beignet,Dutt,parrucca chignon,양갈래 머리,,1.0,27FC,2898,hlmt_wig_dumpling,No,,bun wig,,,-
033,bunny hood,,,Hat,Hood,Able Sisters,Yes,"1,600",-,400,320,20,3,bunny,-,-,white,white,cute,Unisex,Animal,No,,No,-,うさぎのかぶりもの,gorro de conejito,cagoule lapin,cagoule lapin,Hasenkapuze,cappello coniglio,토끼 모자,,1.0,2800,289C,hlmt_hood_bunny,No,,bunny hood,,,bunny hood
034,Callie wig,,,Helmet,Wig,Cece's RV,No,-,-,600,-,30,300,-,Toy Shop,-,black,pink,rock 'n' roll,Unisex,-,No,,No,-,アオリのウィッグ,peluca de Mar,perruque Ayo,perruque Ayo,Aioli-Perücke,parrucca da Stella,아오리 가발,,1.4,-,28EC,hlmt_wig_aori,Yes,,-,,,-
035,captain's hat,,,Hat,Hat,Souvenir Shop,No,-,15,187,149,9,99,-,Sci-Fi / Toy Shop,-,white,white,official,Unisex,Manufactured,Yes,,No,-,キャプテンのぼうし,gorra de capitán,casquette capitaine,casquette capitaine,Kapitänsmütze,cappello da capitano,캡틴 모자,,1.0,27A4,2836,cap_hat_captains,No,,captain's hat,,,-
036,cat cap,,,Hat,Hood,Able Sisters,Yes,480,-,120,96,6,3,cat,-,-,blue,blue,cute,Unisex,Animal,No,,No,-,ネコのかぶりもの,gorro de gato,cagoule chat,cagoule chat,Katzenmütze,cappello gatto,고양이 모자,,1.0,2801,289D,hlmt_hood_cat,No,,cat cap,,,-
037,catcher's mask,,,Helmet,Helmet,Able Sisters,Yes,720,-,180,144,9,3,-,-,-,black,black,sporty,Unisex,-,Yes,,No,-,キャッチャーマスク,máscara de béisbol,masque de receveur,masque de receveur,Eishockeyhelm,maschera ricevitore,포수 마스크,,1.0,2843,28DF,hlmt_catcher_mask,Yes,,-,,,-
038,cavalier hat,,,Hat,Hat,Able Sisters,Yes,360,-,90,72,4,3,cavalier,Antique,-,black,black,iconic,Unisex,-,Yes,,No,-,じゅうきしのぼうし,sombrero mosquetero,chapeau d'équitation,chapeau d'équitation,Edelmann-Hut,capp. moschettiere,기사 모자,,1.0,27AC,283E,cap_hat_cavalier,No,,cavalier hat,,,-
039,celebration hat,,,Hat,Hat,Katrina,Yes,240,-,60,48,3,893,-,Harmonious,-,red,red,iconic,Unisex,-,No,,No,-,あかいだいこくぼう,gorro venerable,chapeau cérémoniel,chapeau cérémoniel,Zeremonienhut,basco rosso,빨간 빵모자,,1.0,27C3,2855,cap_beret_daikoku,No,,celebration hat,,,-
040,Celeste ribbon,,,Hat,Accessory,Celeste's RV,No,-,-,"1,600",-,80,300,-,-,-,pink,pink,cute,Female,-,No,,No,-,フーコのリボン,lazo de Estela,nœud de Céleste,nœud de Céleste,Eufemia-Schleife,fiocco di Celeste,부옥 리본,,1.4,-,2885,cap_ribbon_ows,Yes,,-,,,-
041,chef's hat,,,Hat,Hat,Able Sisters,Yes,360,-,90,72,4,3,chef,-,-,white,white,official,Unisex,-,No,,No,-,コックさんのぼうし,gorro de chef,toque,toque,Kochmütze,cappello da cuoco,요리사 모자,,1.0,279E,2830,cap_hat_chefs,No,,chef's hat,,,-
042,Cinnamoroll hat,,,Hat,Hat,Chai's RV,No,-,-,250,-,12,300,-,Fairy Tale / Toy Shop,-,white,blue,cute,Unisex,-,Yes,,No,-,シナモロールなぼうし,gorro Cinnamoroll,chapeau Cinnamoroll,chapeau Cinnamoroll,Cinnamoroll-Hut,cappello Cinnamoroll,시나모롤 모자,,1.4,-,2882,cap_snr_cinnamo,Yes,,-,,,Cinnamoroll hat
043,cloche hat,,,Hat,Hat,GracieGrace,No,"4,800",-,"1,200",-,60,251,-,Trendy,-,red,purple,modern,Female,-,Yes,,No,-,クロッシュ,sombrero cloché,chapeau cloche,chapeau cloche,Glockenhut,cappello cloche,클로시,,1.0,27E2,2874,cap_cloche,Yes,,-,,,cloche hat
044,coin headpiece,,,Hat,Hood,GracieGrace,No,"4,800",-,"1,200",-,60,251,-,Antique / Fairy Tale,-,yellow,red,ornate,Female,-,No,,No,-,コインヘッドピース,gorra de monedas,parure de sultane,parure de sultane,Münzen-Stirnband,copricapo con monete,코인 헤드피스,,1.0,2840,28DC,hlmt_coinhead,Yes,,-,,,-
045,combat helmet,,,Hat,Hat,Able Sisters,Yes,960,-,240,192,12,3,soldier,-,-,green,colorful,rock 'n' roll,Unisex,-,No,,No,-,コンバットヘルメット,casco de soldado,casque lourd,casque lourd,Soldatenhelm,elmetto,철모,,1.0,279F,2831,cap_helmet_combat,No,,combat helmet,,,-
046,conical straw hat,,,Hat,Hat,Gulliver,Yes,"1,200",-,300,240,15,1051,-,Harmonious,-,brown,brown,iconic,Unisex,-,Yes,,No,-,アジアなぼうし,gorro paja cónico,chapeau conique,chapeau conique,Kegel-Reishut,capp. paglia a cono,아시아풍 삿갓,,1.0,27D8,286A,cap_nonla,Yes,,-,,,conical straw hat
047,cow bone,,,Hat,Wig,Able Sisters,Yes,480,-,120,96,6,3,-,Quirky,-,white,white,historical,Male,Animal,No,,No,-,うしのほね,casco con cuernos,casque préhistorique,casque préhistorique,Kuhschädelhelm,teschio di mucca,황소 두개골,,1.0,27F3,288F,hlmt_bone_cow,No,,cow bone,,,-
048,crown,,,Hat,Accessory,Able Sisters,Yes,"1,000,000",-,"250,000","200,000","12,500",3,-,Antique / Fairy Tale,-,yellow,yellow,ornate,Female,-,No,,No,-,クイーンのかんむり,corona real,couronne,couronne,Königinnenkrone,corona,여왕 왕관,,1.0,27CA,285C,cap_crown_queen,No,,crown,,,crown
049,dandy hat,,,Hat,Hat,Able Sisters,Yes,320,-,80,64,4,3,-,-,-,white,aqua,cute,Unisex,Nature,Yes,,No,-,キャスケット,gorra bicolor,casquette de dandy,casquette de dandy,Dandymütze,basco colorato,카스케트,,1.0,278C,281E,cap_hat_dandy,No,,dandy hat,,,-
050,detective hat,,,Hat,Hat,Able Sisters,Yes,320,-,80,64,4,3,detective,-,-,brown,beige,iconic,Unisex,Plaid,Yes,,No,-,めいたんていのぼうし,gorra de detective,casquette détective,casquette détective,Detektivhut,cappello detective,명탐정 모자,,1.0,278E,2820,cap_hat_detective,No,,detective hat,,,-
051,diver's hood,,,Hat,Hood,Able Sisters,Yes,600,-,150,120,7,3,-,-,-,black,black,sporty,Female,-,No,,No,-,ウォーターフード,capucha de buzo,cagoule de plongeur,cagoule de plongeur,Taucherkappe,copricapo immersione,해녀 모자,,1.0,283D,28D9,hlmt_hood_marine,Yes,,-,,,-
052,diving mask,,,Helmet,Covered Helmet,Able Sisters,Yes,"2,200",-,550,440,27,3,-,Sci-Fi / Toy Shop,-,yellow,yellow,historical,Unisex,-,Yes,,No,-,せんすいヘルメット,casco de buzo,casque de scaphandre,casque de scaphandre,Taucherhelm,casco palombaro,잠수 헬멧,,1.0,280C,28A8,hlmt_mask_diving,No,,diving mask,,,-
053,DJ cap,,,Hat,Hood,Able Sisters,Yes,600,-,150,120,7,3,-,Sci-Fi,-,black,black,rock 'n' roll,Unisex,-,No,,No,-,ヘッドホン,gorra de DJ,casque de DJ,casque de DJ,DJ-Kappe,cappello con cuffie,헤드폰,,1.0,2831,28CD,hlmt_headphone,Yes,,-,,,DJ cap
054,do-rag,,,Hat,Hat,Able Sisters,Yes,640,-,160,128,8,3,-,-,-,yellow,orange,basic,Female,Nature,No,,No,-,さんかくきん,pañuelo anudado,bandana triangle,bandana triangle,Bandana,bandana triangoli,삼각 두건,,1.0,2795,2827,cap_bandanna_tri,No,,do-rag,,,-
055,driver's hat,,,Hat,Accessory,Kapp'n's RV,No,-,-,"1,600",-,80,300,-,-,-,blue,red,official,Unisex,-,No,,No,-,うんてんしゅのぼうし,gorra de chófer,casquette chauffeur,casquette chauffeur,Lokführerkappe,capp. da conducente,운전수 모자,,1.4,-,2886,cap_driver_kpp,Yes,,-,,,-
056,elegant hat,,,Hat,Hat,GracieGrace,No,"6,400",-,"1,600",-,80,251,-,Fairy Tale,-,white,white,ornate,Female,Manufactured,Yes,,No,-,エレガントなぼうし,pamela elegante,chapeau classe,chapeau classe,Schmuckhut,cappello elegante,엘레강스 모자,,1.0,2792,2824,cap_hat_elegant,No,,elegant hat,,,-
057,emperor's cap,,,Hat,Hat,Able Sisters,Yes,"1,320",-,330,264,16,3,-,Harmonious / Antique,-,black,black,official,Male,-,No,,No,-,おだいりさま,gorro de emperador,chapeau impérial,chapeau impérial,Kaiserhut,cappello imperatore,일본 전통 임금모자,,1.0,27C4,2856,cap_cap_eboshi,No,,emperor's cap,,,-
058,explorer's hat,,,Hat,Hat,Able Sisters,Yes,160,-,40,32,2,3,explorer,-,-,gray,gray,sporty,Unisex,-,Yes,,No,-,たんけんぼう,sombrero explorador,chapeau aventure,chapeau aventure,Safarihut,cappello esploratore,탐험 모자,,1.0,27A3,2835,cap_hat_explorers,No,,explorer's hat,,,explorer's hat
059,fencing mask,,,Helmet,Helmet,Able Sisters,Yes,680,-,170,136,8,3,-,-,-,black,black,sporty,Unisex,-,Yes,,No,-,フェンシングマスク,casco de esgrima,masque d'escrime,masque d'escrime,Fechtmaske,maschera da scherma,펜싱 마스크,,1.0,282F,28CB,hlmt_fencing_mask,Yes,,-,,,-
060,Festivale accessory,,,Hat,Accessory,Able Sisters,Yes,680,-,170,136,8,33,-,-,-,pink,colorful,ornate,Unisex,-,No,,No,-,サンバなかみかざり,tiara de carnaval,coiffe de carnaval,coiffe de carnaval,Karnevalsschmuck,copricapo samba,삼바 머리 장식,,1.0,27E1,2873,cap_samba,Yes,,-,,,-
061,Fi mask,,,Helmet,Covered Helmet,Fortune,No,-,-,210,-,10,151,-,Toy Shop,-,aqua,aqua,flashy,Unisex,-,Yes,,No,-,ファイ,máscara de Fay,masque de Fay,masque de Fay,Phai-Maske,maschera da Faih,파이,,1.0,283F,28DB,hlmt_Fai,Yes,,-,,,-
062,fireman's hat,,,Hat,Hood,Able Sisters,Yes,960,-,240,192,12,3,firefighter,-,-,black,black,sporty,Unisex,Manufactured,Yes,,No,-,しょうぼうしのぼうし,casco de bombero,casque de pompier,casque de pompier,Feuerwehrhut,elmo da pompiere,소방관 모자,,1.0,27EE,288A,hlmt_hat_firemans,No,,fireman's hat,,,-
063,flamenco hat,,,Hat,Hat,DLC,Yes,"1,600",-,400,320,20,300,-,-,-,black,black,official,Unisex,-,Yes,,Yes,-,フラメンコのぼうし,sombrero cordobés,chapeau flamenco,chapeau flamenco,Flamencohut,cappello da flamenco,플라멩코 모자,,1.0,27BF,2851,cap_hat_flamenco,No,,flamenco hat,,,-
064,flashy hairpin,,,Hat,Accessory,GracieGrace,No,"4,800",-,"1,200",-,60,251,-,Trendy,-,pink,pink,ornate,Female,Manufactured,No,,No,-,はでなかみかざり,horquilla flor,épingle luxueuse,épingle luxueuse,Blumenspange,fermaglio fiore,화려한 머리핀,,1.0,27E0,2872,cap_hair_ornament,Yes,,-,,,-
065,floppy hat,,,Hat,Hat,GracieGrace,No,"4,800",-,"1,200",-,60,251,-,Trendy,-,black,black,ornate,Female,-,Yes,,No,-,じょゆうなぼうし,pamela negra,capeline,capeline,Schlapphut,cappello da attrice,여배우 모자,,1.0,27DF,2871,cap_actress,Yes,,-,,,floppy hat
066,flower bopper,,,Hat,Accessory,Isabelle,No,-,-,40,32,2,3,-,Fairy Tale,-,aqua,aqua,cute,Unisex,Manufactured,No,,No,-,ひかるはなのアクセサリー,diadema florecillas,serre-tête fleurs,serre-tête fleurs,Leuchtblumenfühler,paio antenne fiori,빛나는 꽃 액세서리,,1.0,27E6,2878,cap_glow_flower,Yes,,-,,,-
067,Flower Fairy wig,,,Helmet,Wig,Puzzle League,No,-,-,600,-,30,551,-,-,-,pink,pink,cute,Female,-,No,,No,-,はなのようせいのウィッグ,peluca hada flores,perruque églantine,perruque églantine,Blumenelfenperücke,parr. fata dei fiori,꽃 요정 가발,,1.4,-,28F0,hlmt_wig_panepon,Yes,,-,,,-
068,football helmet,,,Helmet,Helmet,Able Sisters,Yes,"1,200",-,300,240,15,3,-,-,-,yellow,yellow,sporty,Male,-,Yes,,No,-,アメフトヘルメット,casco de rugby,casque de football,casque de football,Football-Helm,casco football,럭비 헬멧,,1.0,2809,28A5,hlmt_helmet_football,No,,football helmet,,,-
069,frog cap,,,Hat,Hood,Able Sisters,Yes,480,-,120,96,6,3,frog,-,-,green,green,cute,Unisex,Animal,No,,No,-,カエルのかぶりもの,gorro de rana,cagoule grenouille,cagoule grenouille,Froschmütze,cappello rana,개구리 모자,,1.0,2803,289F,hlmt_hood_frog,No,,frog cap,,,frog cap
070,funky wig,,,Hat,Wig,GracieGrace,No,"4,800",-,"1,200",-,60,251,-,Trendy,-,brown,brown,ornate,Female,-,No,,No,-,モードなウィッグ,peluca con mechas,perruque funky,perruque funky,Strähnchenperücke,parrucca funky,언밸런스 가발,,1.0,282D,28C9,hlmt_wig_mode,Yes,,-,,,-
071,Ganondorf wig,,,Helmet,Hood,Ganon's RV,No,-,-,600,-,30,300,-,Toy Shop / Quirky,-,orange,red,iconic,Unisex,-,No,,No,-,ガノンドロフのあたま,peluca de Ganondorf,perruque Ganondorf,perruque Ganondorf,Ganondorf-Perücke,parr. da Ganondorf,가논돌프 가발,,1.4,-,28E8,hlmt_wig_ganondorf,Yes,,-,,,-
072,geisha wig,,,Hat,Wig,Able Sisters,Yes,"1,600",-,400,320,20,3,geisha,Harmonious / Fairy Tale,-,brown,brown,iconic,Female,-,No,,No,-,ゲイシャさん,peluca de geisha,coiffe de geisha,coiffe de geisha,Geishaperücke,parrucca da geisha,게이샤 머리,,1.0,27F5,2891,hlmt_wig_geisha,No,,geisha wig,,,geisha wig
073,ghost mask,,,Helmet,Helmet,Able Sisters,Yes,"1,031",-,257,205,12,33,-,Quirky,-,white,white,flashy,Unisex,-,Yes,,No,-,オバケのかぶりもの,careta de fantasma,masque de fantôme,masque de fantôme,Gespenstermaske,maschera fantasma,유령 마스크,,1.0,281D,28B9,hlmt_hlwn_ghost,Yes,,-,,,-
074,Girl's Day updo,,,Hat,Wig,Able Sisters,Yes,"1,332",-,333,266,16,3,-,Harmonious / Antique / Fairy Tale,-,brown,yellow,ornate,Female,-,No,,No,-,おひなさま,moño de emperatriz,coiffe fête poupées,coiffe fête poupées,Mädchentag-Perücke,parrucca con diadema,일본 전통 왕비머리,,1.0,2824,28C0,hlmt_wig_ohinasama,No,,Girl's Day updo,,,-
075,Gracie hat,,,Hat,Hat,GracieGrace,No,"8,000",-,"2,000",-,100,251,-,Trendy,-,blue,colorful,modern,Unisex,Nature,No,,No,-,グレースのぼうし,pamela Graciela,chapeau Carla,chapeau Carla,Graziahut,cappello Griffa,그레이스 모자,,1.0,2791,2823,cap_hat_grace,No,,Gracie hat,,,-
076,grandpa hat,,,Hat,Hat,Able Sisters,Yes,420,-,105,84,5,3,-,-,-,gray,gray,iconic,Unisex,-,Yes,,No,-,ダンディなぼうし,sombrero de gánster,chapeau de papi,chapeau de papi,Spionhut,cappello del nonno,중절모,,1.0,2789,281B,cap_hat_grandpa,No,,grandpa hat,,,-
077,grape hat,,,Hat,Hat,Able Sisters,Yes,640,-,160,128,8,3,grape,Rustic,-,purple,green,cute,Unisex,Fruit,No,,No,-,ぶどうのぼうし,gorro uva,chapeau raisin,chapeau raisin,Traubenhut,cappello uva,포도 모자,,1.0,27B5,2847,cap_fruit_grape,No,,grape hat,,,-
078,green cap,,,Hat,Hat,Able Sisters,Yes,320,-,80,64,4,3,-,-,-,green,green,sporty,Unisex,Manufactured,Yes,,No,-,みどりのキャップ,gorra verde,casquette verte,casquette verte,Smaragdkappe,cappello verde,초록 야구 모자,,1.0,277C,280E,cap_cap_grn,No,,green cap,,,green cap
079,green headgear,,,Helmet,Helmet,Able Sisters,Yes,800,-,200,160,10,3,-,-,-,green,green,sporty,Unisex,-,No,,No,-,みどりのヘッドギア,protector verde,casque de boxe vert,casque de boxe vert,Grünboxerhelm,casco da boxe verde,초록 헤드기어,,1.0,2825,28C1,hlmt_helmet_headgear,No,,green headgear,,,-
