#,Name,Name (Default Variant),Image,Icon,Source,Rarity Group,Reorderable,Buy Price (Bells),Buy Price (Medals),Sell Price (Re-Tail),Sell Price (Nooklings),Sell Price (Leila),Type,Size,Wall-Mounted,Surface,Placeable on Surfaces,Can Trash,Can Be Walked On,Interactivity,Animated,Sound,HHA Base Points,HHA Series,HHA Series Type,HHA Theme Challenge,Color 1,Color 2,When HHA Lucky,Fashion,Catalog Keyword,Consumable,Customizable,Customization Cost,Total Variant Count,Body Variant Count,Customizable Body Name,Pattern Variant Count,Customizable Pattern Name,Ore Variant Count,Customization Ores,Notes,Name (1.0),Name (English EU),Name (Japanese),Name (Spanish NA),Name (Spanish EU),Name (French NA),Name (French EU),Name (German),Name (Italian),Name (Korean),# (EN-EU),# (JP),# (ES-NA),# (ES-EU),# (FR-NA),# (FR-EU),# (GER),# (ITA),# (KOR),Version Added,Buy Price (Internal),Hex ID (1.0),Hex ID (1.4),Model Filename,New To Series,Name (GCN),Name (WW),Name (CF),Name (NH),Name (HHD),Name (PC)
0029,aluminum briefcase,aluminum briefcase,,,Post Office,-,No,-,-,300,240,-,-,1x1,No,No,Yes,,,Toggle,Toggle,Press,500,-,-,Trendy / Sci-Fi,gray,gray,-,modern,,No,No,-,1,1,-,1,-,-,-,,-,-,ジュラルミンケース,maletín de aluminio,maletín de aluminio,mallette aluminium,mallette aluminium,Alukoffer,valigetta di metallo,듀랄루민 케이스,0027,0705,0887,0883,1037,1035,0038,1683,0335,1.0,1200,2BFB,2CA5,int_oth_duralumin,Yes,,,,aluminum briefcase,aluminum briefcase,-
0030,amazing machine,amazing machine,,,Nooklings,A,Yes,"3,600",-,900,720,-,-,2x1,No,No,No,,,,,,151,mad scientist,Theme,Sci-Fi / Quirky,black,black,-,flashy,,No,No,-,1,1,-,1,-,-,-,,-,-,すごそうなキカイ,psicomáquina,psicomáquina,machine extra,machine extra,Elektromaschine,macchina strana,대단해 보이는 기계,0028,0779,1254,1257,1032,1030,0350,0744,0284,1.0,3600,2A9B,2B45,int_mad_mekaB,No,,,,amazing machine,amazing machine,-
0031,amiibo shelf,amiibo shelf,,,Desert Island Escape,-,No,-,-,700,-,-,-,1x1,No,No,No,,,-,Always,-,551,-,-,Toy Shop,white,colorful,-,modern,,No,No,-,1,1,-,1,-,-,-,,-,-,amiiboのたな,estante amiibo,estante amiibo,rayon amiibo,rayon amiibo,amiibo-Regal,scaffale amiibo,amiibo 장식장,0029,0016,0578,0576,1348,1346,0039,1120,0020,1.4,2800,-,301B,int_gms_shelf_a,No,,,,,amiibo shelf,-
0032,amp,amp,,,Nooklings,C,Yes,"2,400",-,600,480,-,-,1x1,No,No,No,,,-,-,-,151,-,-,Sci-Fi,black,black,-,rock 'n' roll,,No,No,-,1,1,-,1,-,-,-,,-,-,アンプ,amplificador,amplificador,ampli,ampli,Verstärker,amplificatore,앰프,0030,0117,0022,0022,0010,0010,1615,0016,0962,1.0,2400,2CA3,2D4D,int_oth_amp,Yes,,,,amp,amp,amp
0033,anatomical model,anatomical model,,,Nooklings,C,Yes,"3,360",-,840,672,-,Model,1x1,No,No,No,,,-,-,-,151,classroom,Set,Sci-Fi / Quirky,colorful,colorful,-,flashy,,No,No,-,1,1,-,1,-,-,-,,-,-,じんたいもけい,modelo anatómico,modelo anatómico,modèle musculaire,modèle musculaire,Anatomiemodell,modellino anatomico,인체 모형,0031,0737,1081,1080,1102,1100,0042,0800,1111,1.0,3360,2ABD,2B67,int_sch_manikin_normal,No,,,,anatomical model,anatomical model,-
0034,anchor,anchor,,,Pascal,-,No,-,-,475,380,-,-,2x2,No,No,No,,,,,,351,pirate ship,Theme,Toy Shop,black,brown,-,historical,,No,No,-,1,1,-,1,-,-,-,,-,-,いかり,ancla,ancla,ancre,ancre,Anker,ancora,닻,0032,0123,0024,0024,0011,0011,0043,0020,0279,1.0,1900,2AA2,2B4C,int_pir_ancho,No,,,,-,anchor,anchor
0035,antique clock,antique clock,,,Nooklings,A,Yes,"2,350",-,587,469,-,Clock,1x1,No,No,No,,,-,Always,Always,151,-,-,Antique,brown,brown,-,historical,,No,No,-,1,1,-,1,-,-,-,,-,-,アンティークなとけい,reloj antiguo,reloj antiguo,horloge ancienne,horloge ancienne,Antikstanduhr,vecchio orologio,앤티크 시계,0033,0115,1288,1288,0778,0776,0046,1710,0961,1.0,2350,2BA9,2C53,int_oth_clockP_antique,No,,,,antique clock,antique clock,antique clock
0036,antique shelf,antique shelf,,,Reese's RV,-,No,-,-,300,240,-,-,1x1,Yes,No,No,,,-,-,-,151,-,-,Antique,brown,colorful,-,historical,,No,No,-,1,1,-,1,-,-,-,,-,-,アンティークなかざりだな,estantería antigua,estantería antigua,étagère à bibelots,étagère à bibelots,Holzregal,scaffale antico,앤티크 쉘프,0034,0114,0585,0583,0614,0611,0615,1121,0960,1.4,1200,-,2EFC,int_oth_antiqueshelf,No,,,,,antique shelf,-
0037,Aquarius urn,Aquarius urn,,,DLC,-,Yes,"4,800",-,"1,200",960,-,-,1x1,No,No,No,,,-,Always,-,300,-,-,-,aqua,aqua,-,cute,,No,No,-,1,1,-,1,-,-,-,,-,-,アクエリアスのみずがめ,vasija Acuario,vasija Acuario,vase Verseau,vase Verseau,Wassermann-Krug,urna Acquario,물병자리 항아리,0035,0079,1719,1717,1699,1699,1662,1681,0524,1.0,4800,2E0D,2EB7,int_sgn_Aquarius,Yes,,,,Aquarius urn,Aquarius urn,Aquarius urn
0038,Arc de Triomphe,Arc de Triomphe,,,Spotlight,-,Yes,"9,200",-,"2,300","1,840",-,Model,1x1,No,No,No,,,-,-,-,351,-,-,Toy Shop,gray,gray,-,iconic,,No,No,-,1,1,-,1,-,-,-,,-,-,がいせんもん,Arco de Triunfo,Arco de Triunfo,Arc de Triomphe,Arc de Triomphe,Triumphbogen,arco di trionfo,개선문,0036,0300,0045,0045,0021,0021,1586,0039,0079,1.0,9200,2B64,2C0E,int_jhn_gate,No,,,,,Arc de Triomphe,-
0039,arcade machine,arcade machine,,,Nooklings,B,Yes,"4,400",-,"1,100",880,-,-,1x1,No,No,No,,,Toggle,Always,Toggle,151,-,-,Toy Shop,white,colorful,-,rock 'n' roll,,No,No,-,1,1,-,1,-,-,-,,-,-,アップライトゲームき,máquina recreativa,máquina recreativa,borne d'arcade,borne d'arcade,Arcade-Spiel,videogioco,오락실 오락기,0037,0097,0922,0919,0188,0186,0054,1726,1012,1.0,4400,2B5F,2C09,int_oth_upright,No,,,,arcade combat game,arcade machine,-
0040,Aries rocking chair,Aries rocking chair,,,DLC,-,Yes,"4,800",-,"1,200",960,-,-,1x1,No,No,No,,,Press,Press,Press,300,-,-,-,beige,beige,-,cute,,No,No,-,1,1,-,1,-,-,-,,-,-,アリエスのもくば,mecedora Aries,mecedora Aries,Bélier à bascule,Bélier à bascule,Schaukelwidder,Ariete a dondolo,양자리 목마,0038,0107,0935,0932,0140,0139,1307,0042,0972,1.0,4800,2E03,2EAD,int_sgn_Aries,Yes,,,,Aries rocking chair,Aries rocking chair,-
0041,aroma pot,aroma pot (Brown),,,Nooklings,D,Yes,"1,200",-,300,240,-,-,1x1,No,No,Yes,,,-,-,-,151,-,-,Trendy,gray,gray,-,cute,,No,Yes,120,4,4,the pot color,1,-,-,-,,-,-,アロマポット,quemador de esencias,quemador de esencias,brûle-parfum,brûle-parfum,Duftlampe,brucia essenze,아로마 포트,0039,0113,1263,1266,0214,0212,0292,0199,0917,1.0,1200,2C81,2D2B,rmk_oth_aroma,Yes,,,,aroma pot,aroma pot,aroma pot
0042,arrow sign,arrow sign (Right),,,Museum Shop,-,Yes,"3,500",-,875,700,-,-,1x1,No,No,No,,,-,-,-,199,museum,Set,Trendy,blue,white,-,official,,No,Yes,350,2,2,the arrow direction,1,-,-,-,,-,-,じゅんろ,señal sentido único,señal sentido único,panneau fléché,panneau fléché,Wegweiser,segnale direzione,동선 표지판,0040,0707,1393,1392,1173,1171,1669,1255,0312,1.0,3500,2C25,2CCF,rmk_mse_route,Yes,,,,,arrow sign,-
0043,Arwing,Arwing,,,Fortune,-,No,-,-,210,-,-,-,2x2,No,No,No,,,,,,151,Nintendo,Set,Sci-Fi / Toy Shop,gray,blue,-,modern,,No,No,-,1,1,-,1,-,-,-,,-,-,アーウィン,Arwing,Arwing,Arwing,Arwing,Arwing,Arwing,아윙,0041,0042,0096,0096,0067,0067,0056,0093,0930,1.0,840,2BEB,2C95,int_nin_arwing,No,,,,-,Arwing,-
0044,asteroid,asteroid,,,Nooklings,A,Yes,"1,800",-,450,360,-,-,1x1,No,No,No,,,-,Always,-,151,space,Theme,Sci-Fi / Toy Shop,gray,brown,-,flashy,,No,No,-,1,1,-,1,-,-,-,,-,-,いんせき,asteroide,asteroide,astéroïde,astéroïde,Sternensplitter,asteroide,운석,0042,0138,0106,0106,0073,0073,1468,0101,1059,1.0,1800,2A5D,2B07,int_uvs_meteo,No,,,,asteroid,asteroid,asteroid
0045,astro bed,astro bed (Orange and white),,,Nooklings,A,Yes,"3,200",-,800,640,-,Bed,2x1,No,No,No,,,Sleep,-,Sleep,151,astro,Series,Trendy / Sci-Fi,orange,white,-,flashy,,No,Yes,320,3,3,the body color,1,-,-,-,,-,-,きんみらいなベッド,cama futurista,cama futurista,lit astro,lit astro,Astrobett,letto futuro,미래형 침대,0043,0464,0317,0315,0953,0951,0063,0682,0544,1.0,3200,2D46,2DF0,rmk_fut_bedS,Yes,,,,,astro bed,-
0046,astro CD player,astro CD player (Orange and white),,,Nooklings,A,Yes,"3,600",-,900,720,-,Music Player,1x1,No,No,No,,,Music player,,Music,151,astro,Series,Trendy / Sci-Fi,orange,white,-,flashy,,No,Yes,360,3,3,the body color,1,-,-,-,,-,-,きんみらいなオーディオ,cadena futurista,cadena futurista,lecteur CD astro,lecteur CD astro,Astro-Anlage,stereo futuro,미래형 오디오,0044,0456,0262,0260,0944,0942,0062,1415,0541,1.0,3600,2D45,2DEF,rmk_fut_audioM,Yes,,,,,astro CD player,-
0047,astro chair,astro chair (Orange and white),,,Nooklings,A,Yes,"2,800",-,700,560,-,Seat,1x1,No,No,No,,,Sit,-,Sit,151,astro,Series,Trendy / Sci-Fi,orange,white,-,flashy,,No,Yes,280,3,3,the body color,1,-,-,-,,-,-,きんみらいなイス,silla futurista,silla futurista,fauteuil astro,fauteuil astro,Astrostuhl,sedia futuro,미래형 의자,0045,0455,1440,1440,0656,0654,0070,1214,0543,1.0,2800,2D48,2DF2,rmk_fut_chairS,Yes,,,,,astro chair,-
0048,astro clock,astro clock (Orange and white),,,Nooklings,-,Yes,"2,980",-,745,596,-,Clock,2x1,Yes,No,No,,,,,,151,astro,Series,Trendy / Sci-Fi,orange,white,-,flashy,,No,Yes,298,3,3,the body color,1,-,-,-,,-,-,きんみらいなとけい,reloj futurista,reloj futurista,horloge astro,horloge astro,Astrouhr,orologio futuro,미래형 시계,0046,0463,1310,1310,0781,0779,0072,0873,0540,1.0,2980,2D4B,2DF5,rmk_fut_clockD,Yes,,,,,astro clock,-
0049,astro closet,astro closet (Orange and white),,,Nooklings,A,Yes,"3,480",-,870,696,-,Closet,1x1,No,No,No,,,Storage,Press,Press,151,astro,Series,Trendy / Sci-Fi,orange,white,-,flashy,,No,Yes,348,3,3,the body color,1,-,-,-,,-,-,きんみらいなクロゼット,armario futurista,armario futurista,armoire astro,armoire astro,Astroschrank,armadio futuro,미래형 옷장,0047,0457,0065,0065,0028,0028,0068,0064,0542,1.0,3480,2D4A,2DF4,rmk_fut_chestF,Yes,,,,,astro closet,-
0050,astro dresser,astro dresser (Orange and white),,,Nooklings,A,Yes,"3,400",-,850,680,-,Dresser,2x1,No,No,No,,,Storage,Press,Press,151,astro,Series,Trendy / Sci-Fi,orange,white,-,flashy,,No,Yes,340,3,3,the body color,1,-,-,-,,-,-,きんみらいなタンス,cómoda futurista,cómoda futurista,commode astro,commode astro,Astrokommode,comò futuro,미래형 서랍장,0048,0460,0472,0470,0473,0472,0065,0331,0537,1.0,3400,2D49,2DF3,rmk_fut_chestA,Yes,,,,,astro dresser,-
