Name,Image,DIY,Buy,Sell,Color 1,Color 2,Size,Size Category,Exchange Price,Exchange Currency,Source,Source Notes,Season/Event,Season/Event Exclusive,HHA Base Points,HHA Concept 1,HHA Concept 2,HHA Series,Tag,Catalog,Version Added,Unlocked?,Filename,Internal ID,Unique Entry ID
blue wedding rug,,No,NFS,375,Aqua,Aqua,3x2,Medium,4,Heart Crystals,Cyrus,,Wedding Season,Yes,437,party,fancy,wedding,Slender Pattern Rugs,Not for sale,1.2.0,Yes,RugRectJuneBrideM00,12462,ghEfAZG8Lt5sb8nt3
blue-design kitchen mat,,No,1000,250,Blue,Black,2x1,Small,NA,NA,Saharah; Saharah's Co-op,,NA,NA,89,kitchen,None,None,Kitchen Rugs,For sale,1.0.0,Yes,RugRectNativeKitchenS01,7595,DiEHu3wPobZXzhhp8
bone entrance mat,,No,1000,250,Green,Green,2x1,Small,NA,NA,Saharah's Co-op,,NA,NA,89,living room,child's room,None,Icon Rugs,For sale,2.0.0,Yes,RugOtherBoneS00,12363,udGT7fiMezZW5ptrC
botanical rug,,No,2000,500,Green,Green,4x3,Large,NA,NA,Saharah; Saharah's Co-op,,NA,NA,253,living room,None,None,Slender Pattern Rugs,For sale,1.0.0,Yes,RugRectBotanicalL00,7353,nEqsaya7wt6FsWwDC
brown argyle rug,,No,2000,500,Brown,Yellow,4x3,Large,NA,NA,Saharah; Saharah's Co-op,,NA,NA,253,living room,expensive,None,Slender Pattern Rugs,For sale,1.0.0,Yes,RugRectArgyleL03,8468,yrQTuyQr2m6axKkr2
brown cow-print rug,,No,1500,375,Brown,White,3x2,Medium,NA,NA,Saharah's Co-op,,NA,NA,137,living room,expensive,None,Slender Pattern Rugs,For sale,2.0.0,Yes,RugOtherAnimalM00,14191,KJwqjJp9YWCALKSNd
brown kitchen mat,,No,1000,250,Brown,Brown,2x1,Small,NA,NA,Saharah; Saharah's Co-op,,NA,NA,89,kitchen,None,None,Kitchen Rugs,For sale,1.0.0,Yes,RugRectKitchenS00,7341,2ya9gAeftrSe4YSmE
brown shaggy rug,,No,2000,500,Brown,Brown,5x5,Large,NA,NA,Saharah; Saharah's Co-op,,NA,NA,253,living room,None,None,Pattern Rugs,For sale,1.0.0,Yes,RugSquareShaggyL01,9563,cAFej6s3C7T3DYykj
brown wooden-deck rug,,No,1500,375,Brown,Brown,3x2,Medium,NA,NA,Saharah; Saharah's Co-op,,NA,NA,137,outdoors,garden,None,Wood Rugs,For sale,1.0.0,Yes,RugRectDeckM00,7323,MSPQjkRRMRGNRTeEt
Bunny Day rug,,Yes,NFS,2400,Colorful,Colorful,3x3,Medium,NA,NA,Crafting,,Bunny Day (days before); Bunny Day,Yes,351,fancy,child's room,Bunny Day,Icon Rugs,Not for sale,1.1.0,Yes,RugOtherEasterM00,7546,6tC8Zhswobdah6ftE
cherry rug,,Yes,NFS,1200,Red,Red,3x3,Medium,NA,NA,Crafting,,NA,NA,103,fancy,child's room,fruits,Fruit Rugs,Not for sale,1.0.0,Yes,RugOtherCherryM00,7328,R9Bxb8FQw7Fj2YuCa
cherry-blossom rug,,Yes,NFS,2400,Pink,Pink,3x3,Medium,NA,NA,Crafting,,cherry-blossom petals,Yes,103,fancy,harmonious,cherry blossoms,Icon Rugs,Not for sale,2.0.0,Yes,RugOtherSakuraM00,12351,CcifD7vuYJm5bwrZ5
Cinnamoroll rug,,No,1500,375,White,Aqua,3x3,Medium,NA,NA,Nook Shopping Promotion,Scan the associated Sanrio amiibo card,NA,NA,201,fancy,child's room,Cinnamoroll,Sanrio Rugs,Not in catalog,1.9.0,Yes,RugOtherCinnamonM00,12288,QGLTyMNpsBoKRTcZ7
coconut mat,,No,1000,250,Brown,Brown,2x1,Small,NA,NA,Saharah's Co-op,,NA,NA,89,café,None,None,Slender Rugs,For sale,2.0.0,Yes,RugRectCoconutmatS00,13057,EjrmBRgYWehusZa2N
colorful vinyl sheet,,No,1500,375,Colorful,Colorful,3x2,Medium,NA,NA,Saharah; Saharah's Co-op,,NA,NA,137,ocean,resort,None,Slender Pattern Rugs,For sale,1.0.0,Yes,RugRectVinylM00,7359,FAAQgrJJM4svoYJb8
cookie rug,,No,1500,375,Orange,Yellow,3x3,Medium,NA,NA,Saharah's Co-op,,NA,NA,137,None,None,None,Icon Rugs,For sale,2.0.0,Yes,RugRoundBiscuitM00,12219,fZLyR8EQBdjPaM3DL
dark bamboo bath mat,,Yes,NFS,480,Brown,Brown,2x1,Small,NA,NA,Crafting,,NA,NA,103,harmonious,public bath,bamboo,Wood Rugs,Not for sale,2.0.0,Yes,RugRectBambooS01,12400,Zsefv3Y8qxYqEy3HE
dark bamboo rug,,Yes,NFS,960,Brown,Brown,3x2,Medium,NA,NA,Crafting,,NA,NA,103,harmonious,retro,bamboo,Wood Rugs,Not for sale,1.0.0,Yes,RugRectBambooM01,11114,yC3qR56GTSs3PZuJi
dark square tile,,No,1000,250,Black,Black,2x2,Small,NA,NA,Saharah's Co-op,,NA,NA,89,living room,facility,None,Wood Rugs,For sale,2.0.0,Yes,RugSquareWoodS03,13592,RTxLCmZR43xEhpShK
dark stones rug,,No,1000,250,Black,Black,2x2,Small,NA,NA,Saharah's Co-op,,NA,NA,89,garden,European,None,Pattern Rugs,For sale,2.0.0,Yes,RugSquareStoneS01,13594,bJHqqykWdvmzJ9EJT
dark-wood flooring sheet,,No,1000,250,Brown,Brown,2x1,Small,NA,NA,Saharah's Co-op,,NA,NA,89,shop,apparel shop,None,Wood Rugs,For sale,2.0.0,Yes,RugRectDisplayStandS02,14039,x2syTNwYeaW4Mxq87
dark-wood flooring tile,,No,1000,250,Brown,Brown,1x1,Small,NA,NA,Saharah's Co-op,,NA,NA,89,apparel shop,facility,None,Wood Rugs,For sale,2.0.0,Yes,RugSquareDisplayStandS02,14036,4mY6nD2swycxSXQku
Earth rug,,No,1500,375,Blue,White,3x3,Medium,NA,NA,Saharah; Saharah's Co-op,,NA,NA,137,space,sci-fi,None,Icon Rugs,For sale,1.0.0,Yes,RugRoundEarthM00,7357,RPF9JQeXN8cD4afuE
elegant beige rug,,No,2000,500,Beige,Beige,4x4,Large,NA,NA,Saharah's Co-op,,NA,NA,253,None,None,None,Pattern Rugs,For sale,2.0.0,Yes,RugSquareElegantL01,14144,uz8vNGT54vMG3XjvJ
elegant black rug,,No,2000,500,Black,Black,4x4,Large,NA,NA,Saharah's Co-op,,NA,NA,253,None,None,None,Pattern Rugs,For sale,2.0.0,Yes,RugSquareElegantL02,14146,FqtWjzFN4t2zfbSFw
elegant blue rug,,No,2000,500,Blue,Aqua,4x4,Large,NA,NA,Saharah's Co-op,,NA,NA,253,None,None,None,Pattern Rugs,For sale,2.0.0,Yes,RugSquareElegantL03,14145,Lrv8sqJR58fnEBoCH
elegant brown rug,,No,2000,500,Brown,Brown,4x4,Large,NA,NA,Saharah's Co-op,,NA,NA,253,None,None,None,Pattern Rugs,For sale,2.0.0,Yes,RugSquareElegantL00,14012,TFoCKovb9EWhomZRA
festive rug,,Yes,NFS,1500,Brown,Colorful,4x4,Large,NA,NA,Crafting,,ornaments,Yes,201,party,fancy,festive,Pattern Rugs,Not for sale,1.6.0,Yes,RugSquareChristmasL00,7544,gtnhB8Je9YTRgmJgE
fish rug,,No,NFS,375,Aqua,Aqua,3x3,Medium,NA,NA,C.J.,,Fishing Tourney (Spring); Fishing Tourney (Summer); Fishing Tourney (Fall); Fishing Tourney (Winter),Yes,501,ocean,child's room,None,Icon Rugs,Not for sale,1.0.0,Yes,RugOtherFishM00,7361,iWb2Ca8YMDYnpyDrx
fluffy rug,,No,1500,375,White,White,3x3,Medium,NA,NA,Saharah; Saharah's Co-op,,NA,NA,137,fancy,child's room,None,Icon Rugs,For sale,1.0.0,Yes,RugOtherCloudM00,7329,DKPzh943uZYKHKsX7
football rug,,No,2000,500,Brown,White,3x3,Medium,NA,NA,Nook Shopping Seasonal,,Big Game Celebration,Yes,201,fitness,child's room,None,Icon Rugs,Seasonal,1.7.0,Yes,RugOtherFootballM00,13904,r5zaZS3Ar6oHTkTGM
fossil rug,,No,1500,375,Purple,White,3x3,Medium,NA,NA,Saharah; Saharah's Co-op,,NA,NA,137,fancy,child's room,None,Park Rugs,For sale,1.0.0,Yes,RugOtherFossilM00,7366,P2tKuDsb8sxfpKXh3
frozen floor tiles,,Yes,NFS,3200,Aqua,Aqua,2x2,Small,NA,NA,Crafting,,snowflakes,Yes,103,freezing cold,None,frozen,Pattern Rugs,Not for sale,2.0.0,Yes,RugSquareIceS00,13572,RLGupv2AHKtPZSiMu
glowing-moss rug,,Yes,NFS,300,Green,Green,3x2,Medium,NA,NA,Crafting,,NA,NA,103,nature,fantasy,None,Slender Pattern Rugs,Not for sale,2.0.0,Yes,RugRectGlowMossM00,13877,h4TbbaAX8yuK99GcD
gray brick rug,,No,1000,250,Gray,Gray,2x2,Small,NA,NA,Saharah's Co-op,,NA,NA,89,garden,European,None,Pattern Rugs,For sale,2.0.0,Yes,RugSquareBrickS01,13597,ioDyQEaC2DhRyXQ67
gray floor tiles,,No,1000,250,Black,Black,2x2,Small,NA,NA,Saharah's Co-op,,NA,NA,89,living room,facility,None,Pattern Rugs,For sale,2.0.0,Yes,RugSquareTileS00,13566,BwxnCvAdHi2ipphjj
green bamboo mat,,Yes,NFS,480,Green,Green,2x1,Small,NA,NA,Crafting,,NA,NA,201,harmonious,garden,bamboo,Kitchen Rugs,Not for sale,2.0.0,Yes,RugRectBambooBathmatS00,12329,ZB86Sp2wk7jjmPFf8
green checked rug,,No,2000,500,Green,Purple,4x4,Large,NA,NA,Saharah; Saharah's Co-op,,NA,NA,253,living room,child's room,None,Pattern Rugs,For sale,1.0.0,Yes,RugSquareCheckQuiltL03,7464,hAYpTXLShJh7p5gcB
green exercise mat,,No,1500,375,Green,Green,3x2,Medium,NA,NA,Saharah's Co-op,,NA,NA,137,sports,school,None,Slender Rugs,For sale,2.0.0,Yes,RugRectMatM02,12388,x2HEgGGPNS9b5tgGD
green exquisite rug,,No,1000,250,Green,Yellow,2x1,Small,NA,NA,Saharah's Co-op,,NA,NA,89,harmonious,restaurant,None,Slender Pattern Rugs,For sale,2.0.0,Yes,RugRectChinamatS01,12221,HSAXrcHbfgF4KEG5F
green Hawaiian quilt rug,,No,2000,500,Green,White,4x4,Large,NA,NA,Saharah's Co-op,,NA,NA,253,None,None,None,Pattern Rugs,For sale,2.0.0,Yes,RugSquareHawaiianL03,12392,KosWdPvmbZa9LCDn8
green kilim-style carpet,,No,2000,500,Green,Green,5x5,Large,NA,NA,Saharah; Saharah's Co-op,,NA,NA,253,living room,None,None,Pattern Rugs,For sale,1.0.0,Yes,RugSquareKirimL02,9314,86w3TxnYsZLSzeX2q
green kitchen mat,,No,1000,250,Green,Green,2x1,Small,NA,NA,Saharah; Saharah's Co-op,,NA,NA,89,kitchen,None,None,Kitchen Rugs,For sale,1.0.0,Yes,RugRectKitchenS03,8393,QpRcMgKRTNvayFdy9
green shaggy rug,,No,2000,500,Green,Green,5x5,Large,NA,NA,Saharah; Saharah's Co-op,,NA,NA,253,living room,None,None,Pattern Rugs,For sale,1.0.0,Yes,RugSquareShaggyL00,7354,hNWup2nSxzMMsGfyy
green stripes rug,,No,2000,500,Green,White,4x3,Large,NA,NA,Saharah; Saharah's Co-op,,NA,NA,253,fancy,child's room,None,Slender Pattern Rugs,For sale,1.0.0,Yes,RugRectBorderL03,7534,DEEzqeCYXaxA8i63W
Hello Kitty rug,,No,1500,375,White,Red,3x3,Medium,NA,NA,Nook Shopping Promotion,Scan the associated Sanrio amiibo card,NA,NA,201,fancy,child's room,Hello Kitty,Sanrio Rugs,Not in catalog,1.9.0,Yes,RugOtherKittyM00,12291,gk42LeDJJsjsTeGfv
imperial rug,,No,2000,500,Red,Red,4x4,Large,NA,NA,Saharah's Co-op,,NA,NA,253,harmonious,restaurant,None,Pattern Rugs,For sale,2.0.0,Yes,RugSquareChinaL00,12395,ggoGewuex9epXNZaB
iron entrance mat,,No,1000,250,Black,Black,2x1,Small,NA,NA,Saharah; Saharah's Co-op,,NA,NA,89,shop,café,iron,Slender Rugs,For sale,1.0.0,Yes,RugRectIronmatS00,7337,KaHhjd5QbpmmmhkCg
ivory medium round mat,,No,1500,375,Beige,White,3x3,Medium,NA,NA,Saharah; Saharah's Co-op,,NA,NA,137,living room,child's room,None,Shaggy Round Rugs,For sale,1.0.0,Yes,RugRoundSimpleM00,7325,ucw27wEffTFj9DK4v
ivory simple bath mat,,No,1000,250,Beige,Beige,2x1,Small,NA,NA,Saharah; Saharah's Co-op,,NA,NA,89,bathroom,public bath,None,Slender Rugs,For sale,1.0.0,Yes,RugRectBathmatS00,7333,iFx2DHj9qJsY8vzsT
ivory small round mat,,No,1000,250,Beige,White,2x2,Small,NA,NA,Saharah; Saharah's Co-op,,NA,NA,89,living room,child's room,None,Shaggy Round Rugs,For sale,1.0.0,Yes,RugRoundSimpleS00,7334,8to7AD6FkrkZkaKX5
Kerokerokeroppi rug,,No,1500,375,Green,Beige,3x3,Medium,NA,NA,Nook Shopping Promotion,Scan the associated Sanrio amiibo card,NA,NA,201,garden,harmonious,Kerokerokeroppi,Sanrio Rugs,Not in catalog,1.9.0,Yes,RugRoundKeroppiM00,12289,smABvGpiNirHZ449q
Kiki & Lala rug,,No,1500,375,Pink,Aqua,3x3,Medium,NA,NA,Nook Shopping Promotion,Scan the associated Sanrio amiibo card,NA,NA,201,fancy,child's room,Kiki & Lala,Sanrio Rugs,Not in catalog,1.9.0,Yes,RugOtherKikilalaM00,12290,7t6nDHA4oEok4fjPr
lacy rug,,No,1500,375,Beige,White,3x3,Medium,NA,NA,Saharah; Saharah's Co-op,,NA,NA,137,fancy,expensive,None,Shaggy Round Rugs,For sale,1.0.0,Yes,RugRoundLaceM00,7368,bzWc6Hh3tAnYcgh3f
ladybug rug,,No,NFS,375,Red,Black,3x3,Medium,NA,NA,Flick,,Bug-Off (1); Bug-Off (2); Bug-Off (3); Bug-Off (4),Yes,501,fancy,child's room,None,Icon Rugs,Not for sale,1.0.0,Yes,RugRoundLadybirdM00,7360,T7T3r6GJqfhndy5xp
Lakitu's Cloud rug,,No,1500,375,White,White,3x3,Medium,NA,NA,Nook Shopping Promotion,Not available before March 1st 2021,NA,NA,201,fancy,child's room,Mario,Icon Rugs,Not in catalog,1.8.0,Yes,RugOtherMarioBM00,13873,H66iRYRxAHNP8bZdf
large Paradise Planning rug,,No,NFS,500,Red,Red,4x4,Large,1800,Poki,Wardell,,Happy Home Paradise,Yes,151,None,None,None,Pattern Rugs,Not for sale,2.0.0,Yes,RugSquarePatternL00,14706,9Nsr7mTBvgd4R7sxR
light bamboo bath mat,,Yes,NFS,1200,Beige,Brown,2x1,Small,NA,NA,Crafting,,young spring bamboo,Yes,201,harmonious,public bath,bamboo,Wood Rugs,Not for sale,2.0.0,Yes,RugRectBambooS00,12399,c8ssiZHTGjWaSrBtw
light bamboo rug,,Yes,NFS,2400,Beige,Brown,3x2,Medium,NA,NA,Crafting,,young spring bamboo,Yes,201,harmonious,retro,bamboo,Wood Rugs,Not for sale,1.0.0,Yes,RugRectBambooM00,11113,c34AemWJDW8WvYGrm
light square tile,,No,1000,250,Beige,Beige,2x2,Small,NA,NA,Saharah's Co-op,,NA,NA,89,living room,facility,None,Wood Rugs,For sale,2.0.0,Yes,RugSquareWoodS00,13568,iTXijyHZredEYXZDZ
light stones rug,,No,1000,250,Gray,Gray,2x2,Small,NA,NA,Saharah's Co-op,,NA,NA,89,garden,European,None,Pattern Rugs,For sale,2.0.0,Yes,RugSquareStoneS00,13567,MPfMGMqdjmur7L67z
light-brown cow-print rug,,No,1500,375,Brown,White,3x2,Medium,NA,NA,Saharah's Co-op,,NA,NA,137,living room,expensive,None,Slender Pattern Rugs,For sale,2.0.0,Yes,RugOtherAnimalM01,14245,oe9tHv9xzH3pgEPvJ
light-wood flooring sheet,,No,1000,250,Beige,Beige,2x1,Small,NA,NA,Saharah's Co-op,,NA,NA,89,shop,apparel shop,None,Wood Rugs,For sale,2.0.0,Yes,RugRectDisplayStandS00,13860,E2TyniSoRxLaPTe7P
light-wood flooring tile,,No,1000,250,Beige,Beige,1x1,Small,NA,NA,Saharah's Co-op,,NA,NA,89,apparel shop,facility,None,Wood Rugs,For sale,2.0.0,Yes,RugSquareDisplayStandS00,13861,3oPdNhD9Q9ueWso2N
magic-circle rug,,No,1500,375,Purple,Purple,3x3,Medium,NA,NA,Saharah; Saharah's Co-op,,NA,NA,137,horror,None,None,Shaggy Round Rugs,For sale,1.0.0,Yes,RugRoundMagicM00,7367,77PHyfuxLmPTgriT2
maple-leaf rug,,Yes,NFS,2400,Red,Orange,3x3,Medium,NA,NA,Crafting,,maple leaves,Yes,201,harmonious,garden,tree's bounty or leaves,Icon Rugs,Not for sale,2.0.0,Yes,RugOtherMapleM00,12390,2SeNZcru6oTK6S8YJ
mermaid rug,,Yes,NFS,10360,Aqua,Pink,3x3,Medium,NA,NA,Crafting,,NA,NA,451,ocean,fancy,mermaid,Icon Rugs,Not for sale,1.3.0,Yes,RugOtherMermaidM00,12563,WfJHsYQ4KETP2yDEs
modern wavy rug,,No,2000,500,Colorful,Colorful,4x3,Large,NA,NA,Saharah; Saharah's Co-op,,NA,NA,253,living room,child's room,None,Slender Pattern Rugs,For sale,1.0.0,Yes,RugRectWaveL00,7350,tfdJqWZ2ETosBdHem
Mom's cool kitchen mat,,No,NFS,88,Aqua,Aqua,2x1,Small,NA,NA,Mom,Received in November in the Northern Hemisphere and received in May in the Southern Hemisphere,NA,NA,365,fancy,kitchen,motherly,Kitchen Rugs,Not for sale,1.0.0,Yes,RugRectMomS00,7402,QR6HWdrKgLeoFAkzR
Mom's lively kitchen mat,,No,NFS,88,Yellow,Yellow,2x1,Small,NA,NA,Mom,Received in November in the Northern Hemisphere and received in May in the Southern Hemisphere,NA,NA,365,fancy,kitchen,motherly,Kitchen Rugs,Not for sale,1.0.0,Yes,RugRectMomS02,9543,MvLXeraTpCoKRqmWA
Mom's playful kitchen mat,,No,NFS,88,Pink,Pink,2x1,Small,NA,NA,Mom,Received in November in the Northern Hemisphere and received in May in the Southern Hemisphere,NA,NA,365,fancy,kitchen,motherly,Kitchen Rugs,Not for sale,1.0.0,Yes,RugRectMomS01,9542,3F5HHssaHXMit7YMH
Mom's reliable kitchen mat,,No,NFS,88,Purple,Purple,2x1,Small,NA,NA,Mom,Received in November in the Northern Hemisphere and received in May in the Southern Hemisphere,NA,NA,365,fancy,kitchen,motherly,Kitchen Rugs,Not for sale,1.0.0,Yes,RugRectMomS03,9541,pe2KbbDbmkWPyd56c
monochromatic dotted rug,,No,2000,500,Black,White,4x3,Large,NA,NA,Saharah; Saharah's Co-op,,NA,NA,253,fancy,child's room,None,Slender Pattern Rugs,For sale,1.0.0,Yes,RugRectDotL00,7349,n7kdsLeGa9sFzPfYR
monochromatic wavy rug,,No,2000,500,Black,White,4x3,Large,NA,NA,Saharah; Saharah's Co-op,,NA,NA,253,living room,child's room,None,Slender Pattern Rugs,For sale,1.0.0,Yes,RugRectWaveL01,7456,KEQx7PcEYYP5C8QGW
moon rug,,No,2000,500,Yellow,Yellow,3x3,Medium,NA,NA,Nook Shopping Seasonal,,Moon-Viewing Day,Yes,201,space,harmonious,stars,Shaggy Round Rugs,Seasonal,1.4.0,Yes,RugRoundMoonM00,13287,ZSc6ADmEcAnG92DWv
mush rug,,No,1500,375,Red,Red,3x3,Medium,NA,NA,Saharah; Saharah's Co-op,,NA,NA,137,fancy,child's room,mush,Icon Rugs,For sale,1.0.0,Yes,RugOtherMushM00,7363,deKdNh2bu4udJ5zYx
My Melody rug,,No,1500,375,Pink,White,3x3,Medium,NA,NA,Nook Shopping Promotion,Scan the associated Sanrio amiibo card,NA,NA,201,fancy,child's room,My Melody,Sanrio Rugs,Not in catalog,1.9.0,Yes,RugOtherMymelodyM00,12292,yrbMifhEWhbM6A7nv
natural wooden-deck rug,,No,1500,375,Brown,Brown,3x2,Medium,NA,NA,Saharah; Saharah's Co-op,,NA,NA,137,outdoors,garden,None,Wood Rugs,For sale,1.0.0,Yes,RugRectDeckM01,7380,4xyhHztk2b3GbRKu6
natural-wood flooring sheet,,No,1000,250,Beige,Beige,2x1,Small,NA,NA,Saharah's Co-op,,NA,NA,89,shop,apparel shop,None,Wood Rugs,For sale,2.0.0,Yes,RugRectDisplayStandS01,14040,AZNySSdAmQkzWn6XX
natural-wood flooring tile,,No,1000,250,Beige,Beige,1x1,Small,NA,NA,Saharah's Co-op,,NA,NA,89,apparel shop,facility,None,Wood Rugs,For sale,2.0.0,Yes,RugSquareDisplayStandS01,14037,pfHmxKED8rbMj57XC
natural-wood square tile,,No,1000,250,Brown,Brown,2x2,Small,NA,NA,Saharah's Co-op,,NA,NA,89,living room,facility,None,Wood Rugs,For sale,2.0.0,Yes,RugSquareWoodS02,13593,yhxQcsvCcLgMFcCmN
Nook Inc. botanical rug,,No,NFS,5000,Yellow,Green,3x3,Medium,1000,Nook Miles,Nook Miles Redemption,,NA,NA,151,fancy,living room,None,Park Rugs,Not for sale,1.1.0,Yes,RugOtherTanukiM00,12325,WiHenFMXuxj7q2rgq
Nook Inc. rug,,No,NFS,5000,Green,Green,3x3,Medium,1000,Nook Miles,Nook Miles Redemption,,NA,NA,151,fancy,child's room,None,Park Rugs,Not for sale,1.0.0,Yes,RugOtherLeafM00,7364,HFmdcXn43ApSRKdk4
Nook Inc. silk rug,,No,NFS,3000,Green,Green,4x3,Large,600,Nook Miles,Nook Miles Redemption,Requires a Nintendo Switch Online membership,NA,NA,89,facility,shop,None,Slender Pattern Rugs,Not for sale,1.1.0,Yes,RugRectTanukiL00,12396,XQ72LLzAakWbavKFr
