Name,Image,Variation,Body Title,Pattern,Pattern Title,DIY,Body Customize,Pattern Customize,Pattern Customize Options,Kit Cost,Kit Type,Cyrus Customize Price,Buy,Sell,Color 1,Color 2,Exchange Price,Exchange Currency,Size,Source,Source Notes,Season/Event,Season/Event Exclusive,HHA Base Points,HHA Concept 1,HHA Concept 2,HHA Series,HHA Set,HHA Category,Interact,Tag,Outdoor,Lighting Type,Door Deco,Catalog,Version Added,Unlocked?,Filename,Variant ID,Internal ID,Unique Entry ID
autograph cards,,Words of wisdom,Variation,Comedian's signature,Signature,No,No,Yes,Default; Custom,1,Normal,1000,1400,350,Beige,White,1300,Poki,2x1,Nook's Cranny,"Available in Nook's Cranny (upgraded only), in the unique furniture slot",NA,NA,151,shop,restaurant,None,None,None,No,Study,No,No lighting,No,For sale,1.0.0,Yes,FtrAutograph_Remake_3_1,3_1,1899,yRB4GuGA6L86EBg5K
bamboo wall decoration,,Green bamboo,Bamboo,NA,NA,Yes,Yes,No,NA,1,Normal,1000,NFS,160,Green,Red,NA,NA,0.5x1,Crafting,,NA,NA,201,harmonious,None,bamboo,None,Plant,No,Plants,No,No lighting,No,Not for sale,1.0.0,Yes,FtrBambooFlowerwall_Remake_0_0,0_0,3558,pbECjLkaDPDQ5dNXp
bamboo wall decoration,,Dried bamboo,Bamboo,NA,NA,Yes,Yes,No,NA,1,Normal,1000,NFS,160,Yellow,Red,NA,NA,0.5x1,Crafting,,NA,NA,201,harmonious,None,bamboo,None,Plant,No,Plants,No,No lighting,No,Not for sale,1.0.0,Yes,FtrBambooFlowerwall_Remake_1_0,1_0,3558,QRLmHZaqguF5iy3hC
bamboo wall decoration,,Smoke-cured bamboo,Bamboo,NA,NA,Yes,Yes,No,NA,1,Normal,1000,NFS,160,Brown,Green,NA,NA,0.5x1,Crafting,,NA,NA,201,harmonious,None,bamboo,None,Plant,No,Plants,No,No lighting,No,Not for sale,1.0.0,Yes,FtrBambooFlowerwall_Remake_2_0,2_0,3558,mNdcYvRwAHytnXPkp
bathroom towel rack,,Silver,Color,NA,NA,No,No,No,NA,NA,None,1000,1400,350,Gray,White,1300,Poki,1x1,Nook's Cranny,Available in Nook's Cranny (either upgrade tier) in the unique furniture slot,NA,NA,151,bathroom,public bath,None,None,None,No,Bathroom Things,No,No lighting,No,For sale,1.0.0,Yes,FtrTowelrackWall_Remake_0_0,0_0,4030,3mD27HBCBkjy4beMd
bathroom towel rack,,Gold,Color,NA,NA,No,No,No,NA,NA,None,1000,1400,350,Yellow,Brown,1300,Poki,1x1,Nook's Cranny,Available in Nook's Cranny (either upgrade tier) in the unique furniture slot,NA,NA,151,bathroom,public bath,None,None,None,No,Bathroom Things,No,No lighting,No,For sale,1.0.0,Yes,FtrTowelrackWall_Remake_1_0,1_0,4030,diaLMBMgpNoGW7dmg
bathroom towel rack,,Copper,Color,NA,NA,No,No,No,NA,NA,None,1000,1400,350,Brown,Pink,1300,Poki,1x1,Nook's Cranny,Available in Nook's Cranny (either upgrade tier) in the unique furniture slot,NA,NA,151,bathroom,public bath,None,None,None,No,Bathroom Things,No,No lighting,No,For sale,1.0.0,Yes,FtrTowelrackWall_Remake_2_0,2_0,4030,WKsy8zDRasXY5xQTt
bathroom towel rack,,Black,Color,NA,NA,No,No,No,NA,NA,None,1000,1400,350,Black,Gray,1300,Poki,1x1,Nook's Cranny,Available in Nook's Cranny (either upgrade tier) in the unique furniture slot,NA,NA,151,bathroom,public bath,None,None,None,No,Bathroom Things,No,No lighting,No,For sale,1.0.0,Yes,FtrTowelrackWall_Remake_3_0,3_0,4030,o9DTtEZtFwAwXyZw2
blue rose wreath,,NA,NA,NA,NA,Yes,No,No,NA,NA,None,NA,NFS,20000,Blue,Blue,NA,NA,1x1,Crafting,,NA,NA,103,fancy,nature,flowers,None,None,No,House Door Decor,No,No lighting,Yes,Not for sale,1.0.0,Yes,FtrDoorOrnamentWreathRoseUrtraRare,NA,5772,WAhbxkq89fSuMSSNa
bone doorplate,,Brown,Color,NA,NA,Yes,Yes,No,NA,1,Normal,1000,NFS,360,Brown,Beige,NA,NA,1x1,Crafting,,NA,NA,103,child's room,living room,None,None,None,No,House Door Decor,No,No lighting,Yes,Not for sale,1.0.0,Yes,FtrDoorPlateBone_Remake_0_0,0_0,4751,GWsheTRiG46HjezX3
bone doorplate,,White,Color,NA,NA,Yes,Yes,No,NA,1,Normal,1000,NFS,360,White,Red,NA,NA,1x1,Crafting,,NA,NA,103,child's room,living room,None,None,None,No,House Door Decor,No,No lighting,Yes,Not for sale,1.0.0,Yes,FtrDoorPlateBone_Remake_1_0,1_0,4751,DKpXvEcErego2mzTR
bone doorplate,,Black,Color,NA,NA,Yes,Yes,No,NA,1,Normal,1000,NFS,360,Black,Beige,NA,NA,1x1,Crafting,,NA,NA,103,child's room,living room,None,None,None,No,House Door Decor,No,No lighting,Yes,Not for sale,1.0.0,Yes,FtrDoorPlateBone_Remake_2_0,2_0,4751,NzaREJBzeZgh5Dj8Z
bone doorplate,,Pink,Color,NA,NA,Yes,Yes,No,NA,1,Normal,1000,NFS,360,Pink,Red,NA,NA,1x1,Crafting,,NA,NA,103,child's room,living room,None,None,None,No,House Door Decor,No,No lighting,Yes,Not for sale,1.0.0,Yes,FtrDoorPlateBone_Remake_3_0,3_0,4751,ZWgvwP6XWE92ueBg7
bone doorplate,,Red,Color,NA,NA,Yes,Yes,No,NA,1,Normal,1000,NFS,360,Red,Beige,NA,NA,1x1,Crafting,,NA,NA,103,child's room,living room,None,None,None,No,House Door Decor,No,No lighting,Yes,Not for sale,1.0.0,Yes,FtrDoorPlateBone_Remake_4_0,4_0,4751,srNuKC9nZL6Tq8dCL
bone doorplate,,Yellow,Color,NA,NA,Yes,Yes,No,NA,1,Normal,1000,NFS,360,Yellow,Brown,NA,NA,1x1,Crafting,,NA,NA,103,child's room,living room,None,None,None,No,House Door Decor,No,No lighting,Yes,Not for sale,1.0.0,Yes,FtrDoorPlateBone_Remake_5_0,5_0,4751,zL68LPrwNxepQii85
bone doorplate,,Blue,Color,NA,NA,Yes,Yes,No,NA,1,Normal,1000,NFS,360,Blue,White,NA,NA,1x1,Crafting,,NA,NA,103,child's room,living room,None,None,None,No,House Door Decor,No,No lighting,Yes,Not for sale,1.0.0,Yes,FtrDoorPlateBone_Remake_6_0,6_0,4751,TRnRBfdFBygGPv3To
bone doorplate,,Natural wood,Color,NA,NA,Yes,Yes,No,NA,1,Normal,1000,NFS,360,Beige,Brown,NA,NA,1x1,Crafting,,NA,NA,103,child's room,living room,None,None,None,No,House Door Decor,No,No lighting,Yes,Not for sale,1.0.0,Yes,FtrDoorPlateBone_Remake_7_0,7_0,4751,dpi3G97osXcuEgpQv
boomerang,,Natural,Paint color,NA,NA,Yes,Yes,No,NA,1,Normal,1000,NFS,360,Brown,Beige,NA,NA,1x0.5,Crafting,,NA,NA,103,child's room,None,None,None,None,No,Toy,No,No lighting,No,Not for sale,1.0.0,Yes,FtrBoomerang_Remake_0_0,0_0,682,ckBkMWTsoQs9DqJyY
boomerang,,Green & orange,Paint color,NA,NA,Yes,Yes,No,NA,1,Normal,1000,NFS,360,Green,Orange,NA,NA,1x0.5,Crafting,,NA,NA,103,child's room,None,None,None,None,No,Toy,No,No lighting,No,Not for sale,1.0.0,Yes,FtrBoomerang_Remake_1_0,1_0,682,vzCmcxEKbdd3QwJZC
boomerang,,Dark brown,Paint color,NA,NA,Yes,Yes,No,NA,1,Normal,1000,NFS,360,Brown,Black,NA,NA,1x0.5,Crafting,,NA,NA,103,child's room,None,None,None,None,No,Toy,No,No lighting,No,Not for sale,1.0.0,Yes,FtrBoomerang_Remake_2_0,2_0,682,CDsTmvKkhfAfvRM29
boomerang,,Red & black,Paint color,NA,NA,Yes,Yes,No,NA,1,Normal,1000,NFS,360,Red,Black,NA,NA,1x0.5,Crafting,,NA,NA,103,child's room,None,None,None,None,No,Toy,No,No lighting,No,Not for sale,1.0.0,Yes,FtrBoomerang_Remake_3_0,3_0,682,gxzuuSAcAGoXWT7gy
boomerang,,White & blue,Paint color,NA,NA,Yes,Yes,No,NA,1,Normal,1000,NFS,360,White,Aqua,NA,NA,1x0.5,Crafting,,NA,NA,103,child's room,None,None,None,None,No,Toy,No,No lighting,No,Not for sale,1.0.0,Yes,FtrBoomerang_Remake_4_0,4_0,682,FyvCZvwaADP3n5jMt
breaker,,NA,NA,NA,NA,No,No,No,NA,NA,None,NA,820,205,White,Black,740,Poki,1x1,Nook's Cranny,"Available in Nook's Cranny (upgraded only), in the unique furniture slot",NA,NA,151,workshop,facility,None,None,Appliance,No,Home Appliances,No,No lighting,No,For sale,1.0.0,Yes,FtrBreaker,NA,875,qkoNJc3xgRsWMkDiy
bronze HHA plaque,,NA,NA,NA,NA,No,No,No,NA,NA,None,NA,NFS,400,Brown,Red,NA,NA,1x1,HHA,,NA,NA,573,living room,expensive,None,None,None,No,Seasonal Decor,No,No lighting,No,Not for sale,1.0.0,Yes,FtrShieldHhaBronze,NA,7037,PN2tS6ktAtJor7dYQ
broom and dustpan,,Natural,Color,NA,NA,No,No,No,NA,NA,None,1000,910,227,Brown,Gray,820,Poki,1x1.5,Nook's Cranny,Available in Nook's Cranny (either upgrade tier) in the unique furniture slot,NA,NA,151,school,retro,None,None,None,No,Supplies,No,No lighting,No,For sale,1.0.0,Yes,FtrCleaningset_Remake_0_0,0_0,3967,ng3LSLuHpPTEwNfED
broom and dustpan,,White,Color,NA,NA,No,No,No,NA,NA,None,1000,910,227,White,Gray,820,Poki,1x1.5,Nook's Cranny,Available in Nook's Cranny (either upgrade tier) in the unique furniture slot,NA,NA,151,school,retro,None,None,None,No,Supplies,No,No lighting,No,For sale,1.0.0,Yes,FtrCleaningset_Remake_1_0,1_0,3967,3XZn5qtRhWhh5J8TH
broom and dustpan,,Dark brown,Color,NA,NA,No,No,No,NA,NA,None,1000,910,227,Brown,Black,820,Poki,1x1.5,Nook's Cranny,Available in Nook's Cranny (either upgrade tier) in the unique furniture slot,NA,NA,151,school,retro,None,None,None,No,Supplies,No,No lighting,No,For sale,1.0.0,Yes,FtrCleaningset_Remake_2_0,2_0,3967,AP7AP7JTcGdCpkYwA
broom and dustpan,,Colorful,Color,NA,NA,No,No,No,NA,NA,None,1000,910,227,Pink,Brown,820,Poki,1x1.5,Nook's Cranny,Available in Nook's Cranny (either upgrade tier) in the unique furniture slot,NA,NA,151,school,retro,None,None,None,No,Supplies,No,No lighting,No,For sale,1.0.0,Yes,FtrCleaningset_Remake_3_0,3_0,3967,zbGz5Z3N9daD8vogA
bug plaque,,NA,NA,NA,NA,No,No,No,NA,NA,None,NA,NFS,2500,Yellow,Brown,NA,NA,1x1,Blathers,Reward for completing the Stamp Rally in the bug exhibit during International Museum Day,International Museum Day,Yes,437,expensive,den,None,None,None,No,Seasonal Decor,No,No lighting,No,Not for sale,1.2.0,Yes,FtrMuseumInsectWall,NA,12485,qpp8eyzBrCe7eFFfg
bug poster,,NA,NA,NA,NA,No,No,No,NA,NA,None,NA,5000,1250,Colorful,Beige,NA,NA,1x1.5,Donating all bugs,,NA,NA,251,school,lab,None,None,None,No,Seasonal Decor,No,No lighting,No,Not for sale,2.0.0,Yes,FtrInsectPoster,NA,12039,ozCKxd5Hgpd9y7HDT
bulletin board,,Standard,Style,Scenery,Displayed image,No,No,Yes,Default; Custom,1,Normal,1000,1400,350,Green,Aqua,1300,Poki,2x1,Nook's Cranny; HHP Office,,NA,NA,151,school,office,None,None,None,No,Study,No,No lighting,No,For sale,2.0.0,Yes,FtrBulletinboard_Remake_0_0,0_0,12715,RpPwNiQnbPuGeQzha
bulletin board,,Standard,Style,People,Displayed image,No,No,Yes,Default; Custom,1,Normal,1000,1400,350,Green,Beige,1300,Poki,2x1,Nook's Cranny; HHP Office,,NA,NA,151,school,office,None,None,None,No,Study,No,No lighting,No,For sale,2.0.0,Yes,FtrBulletinboard_Remake_0_1,0_1,12715,Ap6LekwnaR8J3CpYX
bulletin board,,Standard,Style,Illustration,Displayed image,No,No,Yes,Default; Custom,1,Normal,1000,1400,350,Green,White,1300,Poki,2x1,Nook's Cranny; HHP Office,,NA,NA,151,school,office,None,None,None,No,Study,No,No lighting,No,For sale,2.0.0,Yes,FtrBulletinboard_Remake_0_2,0_2,12715,XHtZSyz8RGR8fm8Xf
bulletin board,,Bright,Style,Scenery,Displayed image,No,No,Yes,Default; Custom,1,Normal,1000,1400,350,Blue,Aqua,1300,Poki,2x1,Nook's Cranny; HHP Office,,NA,NA,151,school,office,None,None,None,No,Study,No,No lighting,No,For sale,2.0.0,Yes,FtrBulletinboard_Remake_1_0,1_0,12715,bjH2SNB5jgRaLeKFG
bulletin board,,Bright,Style,People,Displayed image,No,No,Yes,Default; Custom,1,Normal,1000,1400,350,Blue,Beige,1300,Poki,2x1,Nook's Cranny; HHP Office,,NA,NA,151,school,office,None,None,None,No,Study,No,No lighting,No,For sale,2.0.0,Yes,FtrBulletinboard_Remake_1_1,1_1,12715,JymHZtbqF98tn9KA2
bulletin board,,Bright,Style,Illustration,Displayed image,No,No,Yes,Default; Custom,1,Normal,1000,1400,350,Blue,White,1300,Poki,2x1,Nook's Cranny; HHP Office,,NA,NA,151,school,office,None,None,None,No,Study,No,No lighting,No,For sale,2.0.0,Yes,FtrBulletinboard_Remake_1_2,1_2,12715,oraRPQLJCkhs6baPQ
bulletin board,,Happy,Style,Scenery,Displayed image,No,No,Yes,Default; Custom,1,Normal,1000,1400,350,White,Aqua,1300,Poki,2x1,Nook's Cranny; HHP Office,,NA,NA,151,school,office,None,None,None,No,Study,No,No lighting,No,For sale,2.0.0,Yes,FtrBulletinboard_Remake_2_0,2_0,12715,cT8q5LP9NqNEpmKya
bulletin board,,Happy,Style,People,Displayed image,No,No,Yes,Default; Custom,1,Normal,1000,1400,350,White,Beige,1300,Poki,2x1,Nook's Cranny; HHP Office,,NA,NA,151,school,office,None,None,None,No,Study,No,No lighting,No,For sale,2.0.0,Yes,FtrBulletinboard_Remake_2_1,2_1,12715,qLH6pbArEpYkzChqL
bulletin board,,Happy,Style,Illustration,Displayed image,No,No,Yes,Default; Custom,1,Normal,1000,1400,350,White,White,1300,Poki,2x1,Nook's Cranny; HHP Office,,NA,NA,151,school,office,None,None,None,No,Study,No,No lighting,No,For sale,2.0.0,Yes,FtrBulletinboard_Remake_2_2,2_2,12715,skSMzhZGkYvd3PZ89
Bunny Day glowy garland,,NA,NA,NA,NA,Yes,No,No,NA,NA,None,NA,NFS,2400,Colorful,Colorful,NA,NA,2x1,Crafting,,Bunny Day (days before); Bunny Day,Yes,351,fancy,party,Bunny Day,None,None,Yes,Supplies,No,Emission,No,Not for sale,1.1.0,Yes,FtrEggLampWall,NA,12417,5BcF8Sk7rTzrG3pzr
Bunny Day wall clock,,NA,NA,NA,NA,Yes,No,No,NA,NA,None,NA,NFS,1200,Aqua,Colorful,NA,NA,1x1.5,Crafting,,Bunny Day (days before); Bunny Day,Yes,351,fancy,None,Bunny Day,None,Clock,Yes,Clock,No,No lighting,No,Not for sale,1.1.0,Yes,FtrEggClock,NA,12418,Tb7KSuoRanow4ekqm
Bunny Day wreath,,NA,NA,NA,NA,Yes,No,No,NA,NA,None,NA,NFS,2400,Colorful,Yellow,NA,NA,1x1,Crafting,,Bunny Day (days before); Bunny Day,Yes,351,fancy,party,Bunny Day,None,None,No,House Door Decor,No,No lighting,Yes,Not for sale,1.1.0,Yes,FtrDoorOrnamentWreathEaster,NA,12517,4HcJP4W3RFWRSbspS
butterfly-fish model,,NA,NA,NA,NA,No,No,No,NA,NA,None,NA,1300,325,Yellow,Yellow,1200,Poki,1x1,Nook's Cranny,"Available in Nook's Cranny (upgraded only), in the unique furniture slot",NA,NA,151,ocean,facility,None,None,None,No,Special Fish,No,No lighting,No,For sale,1.0.0,Yes,FtrFishChouchouuoWall,NA,11182,QgzRi2QqTEcpKac5q
cherry lamp,,Cherry,Fruit color,NA,NA,Yes,Yes,No,NA,4,Normal,3100,NFS,2400,Red,Green,NA,NA,1x1,Crafting,,NA,NA,103,fancy,None,fruits,cherry,Lighting,Yes,Lamp,No,Fluorescent,No,Not for sale,1.0.0,Yes,FtrFruitsLampW_Remake_0_0,0_0,4012,LvZKcdaWM6pSLdxni
cherry lamp,,Black cherry,Fruit color,NA,NA,Yes,Yes,No,NA,4,Normal,3100,NFS,2400,Red,Green,NA,NA,1x1,Crafting,,NA,NA,103,fancy,None,fruits,cherry,Lighting,Yes,Lamp,No,Fluorescent,No,Not for sale,1.0.0,Yes,FtrFruitsLampW_Remake_1_0,1_0,4012,NWu6WpRu8MpRXPwii
cherry-blossom clock,,Pink,Color,NA,NA,Yes,Yes,No,NA,4,Normal,3100,NFS,2750,Pink,Pink,NA,NA,1x1,Crafting,,cherry-blossom petals,Yes,201,harmonious,fancy,cherry blossoms,None,Clock,Yes,Clock,No,No lighting,No,Not for sale,1.0.0,Yes,FtrSakuraClockW_Remake_0_0,0_0,6832,tb9y9v6vrf98WExq7
cherry-blossom clock,,Pink-white,Color,NA,NA,Yes,Yes,No,NA,4,Normal,3100,NFS,2750,Pink,White,NA,NA,1x1,Crafting,,cherry-blossom petals,Yes,201,harmonious,fancy,cherry blossoms,None,Clock,Yes,Clock,No,No lighting,No,Not for sale,1.0.0,Yes,FtrSakuraClockW_Remake_1_0,1_0,6832,iw6Qpmkn6qEaenEtP
chic cosmos wreath,,NA,NA,NA,NA,Yes,No,No,NA,NA,None,NA,NFS,4800,Black,Black,NA,NA,1x1,Crafting,,NA,NA,103,fancy,nature,flowers,None,None,No,House Door Decor,No,No lighting,Yes,Not for sale,1.0.0,Yes,FtrDoorOrnamentWreathCosmosRare,NA,5764,DgLEZbDS2BsJ59K78
chic windflower wreath,,NA,NA,NA,NA,Yes,No,No,NA,NA,None,NA,NFS,4800,Purple,Purple,NA,NA,1x1,Crafting,,NA,NA,103,fancy,nature,flowers,None,None,No,House Door Decor,No,No lighting,Yes,Not for sale,1.0.0,Yes,FtrDoorOrnamentWreathAnemoneRare,NA,5765,tBJvNsSQvk8ajonsT
coconut wall planter,,NA,NA,NA,NA,Yes,No,No,NA,NA,None,NA,NFS,600,Green,Beige,NA,NA,1x1.5,Crafting,,NA,NA,103,ocean,living room,None,None,Plant,No,Plants,No,No lighting,No,Not for sale,1.0.0,Yes,FtrPlanterPalm,NA,4130,wsXGBE5N9NwenYTRj
cool hyacinth wreath,,NA,NA,NA,NA,Yes,No,No,NA,NA,None,NA,NFS,1440,Blue,Orange,NA,NA,1x1,Crafting,,NA,NA,103,fancy,nature,flowers,None,None,No,House Door Decor,No,No lighting,Yes,Not for sale,1.0.0,Yes,FtrDoorOrnamentWreathHyacinthMix,NA,5750,MLMnpWFmufqDeg479
cool pansy wreath,,NA,NA,NA,NA,Yes,No,No,NA,NA,None,NA,NFS,4800,Purple,Purple,NA,NA,1x1,Crafting,,NA,NA,103,fancy,nature,flowers,None,None,No,House Door Decor,No,No lighting,Yes,Not for sale,1.0.0,Yes,FtrDoorOrnamentWreathPansyRare,NA,5767,wS4t24ixhhAnsRXFB
cool windflower wreath,,NA,NA,NA,NA,Yes,No,No,NA,NA,None,NA,NFS,1200,Blue,Blue,NA,NA,1x1,Crafting,,NA,NA,103,fancy,nature,flowers,None,None,No,House Door Decor,No,No lighting,Yes,Not for sale,1.0.0,Yes,FtrDoorOrnamentWreathAnemoneMix,NA,5746,uZT5wfceZaKMP2nZZ
corkboard,,Natural,Frame,Apple,Favorite card,No,No,Yes,Default; Custom; Sable,1,Normal,1000,1400,350,Beige,Red,1300,Poki,2x1,Nook's Cranny,Available in Nook's Cranny (either upgrade tier) in the unique furniture slot,NA,NA,151,school,office,None,None,None,No,Study,No,No lighting,No,For sale,1.0.0,Yes,FtrCorkboard_Remake_0_0,0_0,1783,5QL4Epdhwtt3e6CKB
corkboard,,Natural,Frame,Fish,Favorite card,No,No,Yes,Default; Custom; Sable,1,Normal,1000,1400,350,Beige,Blue,1300,Poki,2x1,Nook's Cranny,Available in Nook's Cranny (either upgrade tier) in the unique furniture slot,NA,NA,151,school,office,None,None,None,No,Study,No,No lighting,No,For sale,1.0.0,Yes,FtrCorkboard_Remake_0_1,0_1,1783,QBTmJYYjs9Bjx9fvz
