#,Name,Image,Icon,Equip Type,Type,Source,Reorderable,Buy Price (Bells),Buy Price (Medals),Sell Price (Re-Tail),Sell Price (Nooklings),Sell Price (Leila),HHA Base Points,Series,HHA Theme Challenge,When HHA Lucky,Color 1,Color 2,Fashion,Gender,Category,Catalog Keyword,Notes,Name (English EU),Name (Japanese),Name (Spanish NA),Name (Spanish EU),Name (French NA),Name (French EU),Name (German),Name (Italian),Name (Korean),Version Added,Hex ID (1.0),Hex ID (1.4),Model Filename,Name (NH),Name (HHD),Name (PC)
037,Flower Fairy boots,,,Shoes,Tall Boots,Puzzle League,No,-,-,300,-,15,551,-,-,-,brown,brown,cute,Female,Manufactured,,,-,はなのようせいのブーツ,bota hada flores,bota hada flores,p. bottes églantine,p. bottes églantine,Blumenelfenstiefel,p. stiv. fata fiori,꽃 요정 부츠,1.4,-,27E5,botH_panepon,,,-
038,flower loafers,,,Shoes,Shoes,Kicks,Yes,480,-,120,96,6,3,-,-,-,brown,yellow,iconic,Female,Nature,,,-,エスニックなローファー,mocasín flores,mocasín flores,p. mocassins fleurs,p. mocassins fleurs,Blümchenslipper,paio mocassini fiore,에스닉 로퍼,1.0,2731,27B9,nml_loafer_ethnic,,,-
039,gladiator sandals,,,Shoes,Tall Boots,Gulliver,Yes,"1,200",-,300,240,15,1051,-,Antique,-,brown,brown,iconic,Female,-,,,-,グラディエーターサンダル,sandalia gladiador,sandalia gladiador,paire de spartiates,paire de spartiates,Gladiator-Sandale,p. sandali gladiat.,글레디에이터 샌들,1.0,2735,27BD,botH_gladiator,,,-
040,gold-armor shoes,,,Shoes,Shoes,Kicks,Yes,"1,200",-,300,240,15,3,centurion,Antique / Quirky,-,yellow,yellow,historical,Male,V-Striped,,,-,きんのかっちゅうぐつ,escarpe de oro,escarpe de oro,paire de solerets or,paire de solerets or,Goldrüstungsschuh,p. scarpe armat. oro,금갑 신발,1.0,2740,27C8,nml_armor_gld,,,-
041,gray leggings,,,Socks,Tights,Kicks,Yes,240,-,60,48,3,3,-,-,-,gray,gray,cute,Female,-,,,-,グレーのレギンス,legging gris,legging gris,legging gris,legging gris,Baumwollgamasche,paio leggings grigi,회색 레깅스,1.0,2705,2789,sock_leggins_gry,,,gray leggings
042,gray socks,,,Socks,Socks,Kicks,Yes,160,-,40,32,2,3,-,-,-,gray,gray,basic,Unisex,-,,,-,グレーのメランジ,calcetín gris,calcetín gris,paire chauss. grises,paire chauss. grises,Grausocke,paio calzini grigi,회색 멜란지,1.0,2714,2798,sock_melange_gry,,,gray socks
043,gray tights,,,Socks,Tights,Kicks,Yes,160,-,40,32,2,3,-,-,-,gray,gray,basic,Female,-,,,-,グレータイツ,media gris,media gris,collant gris,collant gris,Graustrumpfhose,paio calze grigie,회색 타이츠,1.0,26FC,2780,sock_tights_gry,,,gray tights
044,green buckled shoes,,,Shoes,Shoes,Kicks,Yes,420,-,105,84,5,3,-,-,-,green,yellow,basic,Male,-,,,-,みどりのベルトシューズ,mercedita verde,mercedita verde,p. souliers V boucle,p. souliers V boucle,Grün-Schnallenschuh,paio sandali verdi,초록 메리제인 슈즈,1.0,2744,27CC,nml_doek_grn,,,green buckled shoes
045,green loafers,,,Shoes,Shoes,Toby's RV,No,-,-,150,-,7,300,-,Fairy Tale / Toy Shop,-,green,green,cute,Unisex,-,,,-,けろけろけろっぴなくつ,zapato jardín zen,zapato jardín zen,p. de sandales étang,p. de sandales étang,Teich-Schuh,p. scarpe ranocchio,케로케로케로피 신발,1.4,-,27E4,nml_keroppi,,,-
046,green polka pumps,,,Shoes,Shoes,GracieGrace,No,"4,000",-,"1,000",-,50,251,-,-,-,green,white,cute,Female,Dotted,,,-,みずたまのパンプス,manoletina topos,manoletina topos,p. ballerines V pois,p. ballerines V pois,Tüpfel-Damenschuh,paio ballerine verdi,물방울무늬 펌프스,1.0,2724,27AC,nml_pumps_dotgrn,,,-
047,green sandals,,,Shoes,Shoes,Kicks,Yes,480,-,120,96,6,3,-,-,-,green,brown,basic,Unisex,-,,,-,サンダル,sandalia verde,sandalia verde,p. sandales vertes,p. sandales vertes,Grünsandale,paio ciabatte verdi,샌들,1.0,272E,27B6,nml_sandal_wood,,,-
048,green tights,,,Socks,Tights,Kicks,Yes,200,-,50,40,2,3,-,-,-,green,green,cute,Female,-,,,-,みどりのタイツ,media verde,media verde,collant vert,collant vert,Grünstrumpfhose,paio calze verdi,초록 타이츠,1.0,2716,279A,sock_tights_grn,,,-
049,green-stripe shoes,,,Shoes,Shoes,Kicks,Yes,420,-,105,84,5,3,-,-,-,green,white,sporty,Unisex,-,,,-,ストライプのスニーカー,zapato franjas,zapato franjas,p. souliers rayés V,p. souliers rayés V,Streifenturnschuh,p. scarpe verdi,줄무늬 스니커,1.0,2750,27D8,nml_doek_stripe,,,green-stripe shoes
050,green-stripe socks,,,Socks,Socks,Kicks,Yes,160,-,40,32,2,3,-,-,-,green,white,basic,Unisex,H-Striped,,,-,みどりボーダーソックス,calcetín rayas verde,calcetín rayas verde,paire chauss. vertes,paire chauss. vertes,Grünringelsocke,paio calzini verdi,초록 줄무늬 양말,1.0,270D,2791,sock_border_grn,,,green-stripe socks
051,heart-print tights,,,Socks,Tights,Kicks,Yes,240,-,60,48,3,3,-,Fairy Tale,-,white,pink,cute,Female,Nature,,,-,ハートがらタイツ,media corazones,media corazones,collant cœurs,collant cœurs,Herzchenstrumpfhose,paio calze cuoricini,하트무늬 타이츠,1.0,26F6,277A,sock_tights_heart,,,-
052,Hello Kitty shoes,,,Shoes,Shoes,Rilla's RV,No,-,-,150,-,7,300,-,Fairy Tale / Toy Shop,-,white,red,cute,Female,-,,,-,ハローキティなくつ,zapato Hello Kitty,zapato Hello Kitty,p. ball. Hello Kitty,p. ball. Hello Kitty,Hello-Kitty-Schuh,p. scar. Hello Kitty,헬로키티 신발,1.4,-,27DF,nml_kitty,,,-
053,hero's boots,,,Shoes,Tall Boots,Fortune,No,-,-,210,-,10,151,hero,Antique / Toy Shop,-,brown,brown,iconic,Male,-,,,-,ゆうしゃのブーツ,bota del héroe,bota del héroe,p. bottes héroïques,p. bottes héroïques,Heldenstiefel,paio stivali Link,용사 부츠,1.0,271D,27A5,botH_link,,,-
054,hiking boots,,,Shoes,Boots,Kicks,Yes,800,-,200,160,10,3,-,-,-,black,red,sporty,Unisex,Manufactured,,,-,とざんぐつ,bota de montaña,bota de montaña,paire bottes rando,paire bottes rando,Wanderschuh,p. stivali trekking,등산화,1.0,2720,27A8,botL_climbing,,,hiking boots
055,hiking gaiters,,,Socks,Tights,Kicks,Yes,240,-,60,48,3,3,-,-,-,yellow,brown,sporty,Unisex,-,,,-,とざんタイツ,calcetín montaña,calcetín montaña,paire chauss. rando,paire chauss. rando,Wanderstrumpf,p. calze da trekking,등산 타이츠,1.0,26FE,2782,sock_spats_climbing,,,hiking gaiters
056,jester's shoes,,,Shoes,Boots,Kicks,Yes,600,-,150,120,7,3,jester,Fairy Tale / Toy Shop,-,purple,red,flashy,Unisex,Plaid,,,-,ピエロのくつ,zapato de bufón,zapato de bufón,p. bottes bouffon,p. bottes bouffon,Narrenschuh,p. scarpe giullare,피에로 신발,1.0,273D,27C5,botL_pierrot,,,-
057,Kiki and Lala shoes,,,Shoes,Shoes,Étoile's RV,No,-,-,150,-,7,300,-,Fairy Tale / Toy Shop,-,pink,pink,cute,Female,-,,,-,キキ&ララなくつ,zapato Kiki & Lala,zapato Kiki & Lala,p. ball. Kiki & Lala,p. ball. Kiki & Lala,Kiki-&-Lala-Schuh,p. sc. Kiki and Lala,리틀 트윈 스타 신발,1.4,-,27E1,nml_kikirara,,,-
058,Kiki and Lala socks,,,Socks,Socks,Étoile's RV,No,-,-,200,-,10,300,-,Fairy Tale / Toy Shop,-,white,-,cute,Unisex,-,,,-,キキ&ララなくつした,calcetín Kiki & Lala,calcetín Kiki & Lala,p. chau. Kiki & Lala,p. chau. Kiki & Lala,Kiki-&-Lala-Socke,p. calzini stellari,리틀 트윈 스타 양말,1.4,-,279D,sock_high_kikirara,,,-
059,kimono sandals,,,Shoes,Shoes,Kicks,Yes,480,-,120,96,6,3,geisha,Harmonious,-,pink,black,iconic,Female,Manufactured,,,-,げた,sandalia kimono,sandalia kimono,p. sandales kimono,p. sandales kimono,Kimono-Sandale,p. zoccoli kimono,일본풍 샌들,1.0,2721,27A9,nml_geta,,,kimono sandals
060,lace-up boots,,,Shoes,Tall Boots,Kicks,Yes,720,-,180,144,9,3,-,-,-,red,red,rock 'n' roll,Male,-,,,-,あみあげブーツ,bota alta,bota alta,paire bottes lacets,paire bottes lacets,Schnürstiefel,p. stivali con lacci,레이스업 부츠,1.0,271E,27A6,botH_laceup,,,lace-up boots
061,leg warmers,,,Socks,Socks,Kicks,Yes,160,-,40,32,2,3,-,-,-,gray,white,sporty,Unisex,-,,,-,レッグウォーマー,calentador,calentador,paire de guêtres,paire de guêtres,Beinwärmer,paio scaldamuscoli,발토시,1.0,270E,2792,sock_legwarmer,,,leg warmers
062,leopard pumps,,,Shoes,Shoes,GracieGrace,No,"4,000",-,"1,000",-,50,251,-,-,-,yellow,brown,ornate,Female,Animal,,,-,アニマルパンプス,manoletina leopardo,manoletina leopardo,p. ballerin. léopard,p. ballerin. léopard,Leopardenschuh,p. ballerine leopar.,애니멀 펌프스,1.0,2725,27AD,nml_pumps_animal,,,leopard pumps
063,Marie shoes,,,Shoes,Boots,Viché's RV,No,-,-,150,-,7,300,-,Toy Shop,-,black,green,rock 'n' roll,Female,-,,,-,ホタルのクツ,zapato de Tina,zapato de Tina,p. de baskets Oly,p. de baskets Oly,Limone-Schuh,p. scarpe Marina,호타루 신발,1.4,-,27DE,botL_hotaru,,,-
064,Marie tights,,,Socks,Tights,Viché's RV,No,-,-,200,-,10,300,-,Toy Shop,-,green,green,rock 'n' roll,Unisex,-,,,-,ホタルのタイツ,media de Tina,media de Tina,collant Oly,collant Oly,Limone-Strumpfhose,paio calze Marina,호타루 타이츠,1.4,-,279C,sock_tights_hotaru,,,-
065,mary janes,,,Shoes,Shoes,Kicks,Yes,800,-,200,160,10,3,-,-,-,black,black,official,Female,-,,,school shoes,ベルトつきシューズ,mercedita negra,mercedita negra,paire babies noires,paire babies noires,Riemchenschuh,p. scarpe cinturino,메리제인 슈즈,1.0,273E,27C6,nml_enamel_blk,,,mary janes
066,monochrome shoes,,,Shoes,Shoes,GracieGrace,No,"4,000",-,"1,000",-,50,251,-,Trendy,-,white,black,official,Male,Manufactured,,,-,モノトーンなかわぐつ,zapato formal,zapato formal,p. souliers N&B,p. souliers N&B,Zweifarb-Lederschuh,paio scarpe tip tap,모노톤 가죽 구두,1.0,272D,27B5,nml_leather_mono,,,monochrome shoes
067,My Melody shoes,,,Shoes,Boots,Chelsea's RV,No,-,-,150,-,7,300,-,Fairy Tale / Toy Shop,-,pink,pink,cute,Female,-,,,-,マイメロディなくつ,bota My Melody,bota My Melody,p. bottes My Melody,p. bottes My Melody,My-Melody-Schuh,p. scarpe My Melody,마이 멜로디 신발,1.4,-,27E0,botL_mymelo,,,-
068,navy socks,,,Socks,Socks,Kicks,Yes,160,-,40,32,2,3,-,-,-,blue,blue,official,Unisex,-,,,-,こんいろハイソックス,calcetín azul marino,calcetín azul marino,paire chauss. marine,paire chauss. marine,Nachtblausocke,p. calzini blu scuro,남색 니삭스,1.0,26FD,2781,sock_high_nvy,,,-
069,ninja sandals,,,Shoes,Shoes,Kicks,Yes,480,-,120,96,6,3,ninja,Harmonious,-,brown,blue,historical,Male,-,,,-,せった,sandalia ninja,sandalia ninja,p. sandales ninja,paire de tongs ninja,Ninjasandale,paio sandali ninja,가락신,1.0,2736,27BE,nml_setta,,,-
070,orange sandals,,,Shoes,Shoes,Kicks,Yes,420,-,105,84,5,3,-,-,-,orange,orange,cute,Female,-,,,-,オレンジのサンダル,sandalia naranja,sandalia naranja,p. sandales orange,p. sandales orange,Sommersandale,p. sandali arancioni,오렌지색 샌들,1.0,274B,27D3,nml_sandal_org,,,-
071,orange shoes,,,Shoes,Shoes,Kicks,Yes,420,-,105,84,5,3,-,-,-,orange,white,sporty,Unisex,-,,,-,オレンジのスニーカー,zapato naranja,zapato naranja,paire tennis orange,paire tennis orange,Orangeturnschuh,p. scarpe arancioni,오렌지색 스니커,1.0,2754,27DC,nml_doek_org,,,-
072,pink slip-ons,,,Shoes,Shoes,Kicks,Yes,420,-,105,84,5,3,-,Fairy Tale,-,pink,pink,cute,Female,Plaid,,,-,ピンクのスニーカー,pantufla rosa,pantufla rosa,p. pantoufles roses,p. pantoufles roses,Girlie-Schuh,paio scarpe rosa,핑크색 스니커,1.0,2746,27CE,nml_doek_pnk,,,pink slip-ons
073,pink sneakers,,,Shoes,Shoes,Kicks,Yes,480,-,120,96,6,3,-,Fairy Tale,-,pink,pink,cute,Female,-,,,-,ピンクのヒモつきシューズ,zapatilla rosa,zapatilla rosa,paire tennis roses,paire tennis roses,Girlie-Turnschuh,p. scarpe sport rosa,끈 달린 핑크색 신발,1.0,2751,27D9,nml_sneaker_pnk,,,-
074,polka-dot rain boots,,,Shoes,Tall Boots,Kicks,Yes,600,-,150,120,7,3,-,-,-,red,white,cute,Female,Dotted,,,-,みずたまレインブーツ,katiuska topos,katiuska topos,p. bottes pluie pois,p. bottes pluie pois,Fliegenpilzstiefel,paio stivali rossi,물방울무늬 레인부츠,1.0,2727,27AF,botH_rain_dot,,,-
075,polka-dot socks,,,Socks,Socks,Kicks,Yes,200,-,50,40,2,3,-,Trendy,-,pink,pink,cute,Unisex,Dotted,,,-,みずたまハイソックス,calcetín topos,calcetín topos,paire chauss. à pois,paire chauss. à pois,Fliegenpilzsocke,paio calzini a pois,물방울무늬 니삭스,1.0,2712,2796,sock_high_dot,,,-
076,Pompompurin shoes,,,Shoes,Boots,Marty's RV,No,-,-,150,-,7,300,-,Fairy Tale / Toy Shop,-,brown,brown,cute,Unisex,-,,,-,ポムポムプリンなくつ,bota Pompompurin,bota Pompompurin,p. bott. Pompompurin,p. bott. Pompompurin,Pompompurin-Schuh,p. scar. Pompompurin,폼폼푸린 신발,1.4,-,27E2,botL_prin,,,-
077,purple dot shoes,,,Shoes,Shoes,Kicks,Yes,460,-,115,92,5,3,-,Trendy,-,purple,white,cute,Female,Dotted,,,-,みずたまスニーカー,zapato lunares,zapato lunares,p. souliers à pois,p. souliers à pois,Pünktchenturnschuh,p. scarpe viola pois,물방울무늬 스니커,1.0,274E,27D6,nml_doek_ppl,,,purple dot shoes
078,purple high-tops,,,Shoes,Boots,GracieGrace,No,"4,000",-,"1,000",-,50,251,-,-,-,purple,black,sporty,Male,V-Striped,,,-,ハイカットスニーカー,zapatilla alta,zapatilla alta,p. baskets montantes,p. baskets montantes,Basketballstiefel,p. scarpe alte viola,하이탑 스니커,1.0,2730,27B8,botL_sneaker_highcut,,,purple high-tops
079,purple pumps,,,Shoes,Shoes,Kicks,Yes,480,-,120,96,6,3,-,-,-,purple,purple,official,Female,-,,,-,むらさきのパンプス,manoletina morada,manoletina morada,p. ballerines mauves,p. ballerines mauves,Lila-Damenschuh,p. ballerine porpora,보라색 펌프스,1.0,2719,27A1,nml_pumps_ppl,,,purple pumps
080,purple star socks,,,Socks,Socks,Kicks,Yes,160,-,40,32,2,3,-,-,-,purple,yellow,cute,Unisex,-,,,-,ほしがらハイソックス,calcetín estrellas,calcetín estrellas,paire chaus. étoiles,paire chaus. étoiles,Sternchensocke,p. calzini a stelle,별무늬 니삭스,1.0,2704,2788,sock_high_star,,,purple star socks
