#,Name,Image,Type,Source,Season,Reorderable,Buy Price (Bells),Buy Price (Medals),Sell Price (Re-Tail),Sell Price (Nooklings),Sell Price (Leila),HHA Base Points,Series,HHA Theme Challenge,Color 1,Color 2,Fashion,Gender,Category,Catalog Keyword,Name (Japanese),Name (Spanish NA),Name (Spanish EU),Name (French),Name (German),Name (Italian),Name (Korean),Version Added,Hex ID (1.0),Hex ID (1.4),Model Filename,Hex ID [Wall] (1.4),Name (NH),Name (HHD),Name (PC)
036,Flower Fairy dress,,Short Sleeve Dress,Puzzle League,-,No,-,-,250,-,12,551,-,-,yellow,pink,cute,Female,Manufactured,,はなのようせいのドレス,vestido hada flores,vestido hada flores,robe églantine,Blumenelfenkleid,vest. fata dei fiori,꽃 요정 드레스,1.4,-,26EC,tops_pnp_dress,3725,,,-
037,fluffy dress,,Long Sleeve Dress,Able Sisters,-,Yes,720,-,180,144,9,3,bunny,-,pink,white,cute,Unisex,Animal,,うさぎなふく,vestido de conejito,vestido de conejito,robe coton,Hasenkleid,vestito morbido,토끼털 옷,1.0,2646,26BC,tops_cstm_rabbit,36F5,,,fluffy dress
038,fluffy tank dress,,Sleeveless Dress,Able Sisters,Summer,Yes,800,-,200,160,10,3,bunny,-,pink,white,cute,Unisex,Animal,,うさぎなノースリーブ,vestido conejo sisa,vestido conejo sisa,robe d'été coton,Hasen-Trägerkleid,scamiciato morbido,토끼 민소매 원피스,1.0,266C,26E2,tops_cstm_rabbit,371B,,,-
039,frock coat,,Long Sleeve Dress,Able Sisters,-,Yes,"1,000",-,250,200,12,3,-,Antique,purple,yellow,ornate,Unisex,-,,きぞくのコート,vestido formal,vestido formal,redingote,Purpurkleid,redingote,귀족 코트,1.0,2649,26BF,tops_coat_noble,36F8,,,-
040,gaudy dress,,Short Sleeve Dress,Able Sisters,Spring,Yes,800,-,200,160,10,3,-,Harmonious,colorful,colorful,iconic,Female,Nature,,アジアなれいふく,vestido alegre,vestido alegre,robe flashy,Kontrastkleid,vestito vistoso,아시아풍 예복,1.0,261C,2692,tops_asia_formal,36CB,,,-
041,graduation gown,,Long Sleeve Dress,Able Sisters,-,Yes,800,-,200,160,10,3,scholar,-,brown,white,official,Unisex,-,,がくしのふく,túnica graduación,túnica graduación,tenue de diplômée,Uni-Robe,toga da laurea,학사 가운,1.0,2639,26AF,tops_graduation,36E8,,,-
042,green dress,,Long Sleeve Dress,Able Sisters,-,Yes,640,-,160,128,8,3,-,-,green,green,basic,Female,-,,シンプルなみどりワンピ,vestido simple verde,vestido simple verde,robe verte,Tunikakleid,vestito verde,심플한 녹색 원피스,1.0,261A,2690,tops_onp_smp_grn,36C9,,,-
043,green lace-up dress,,Long Sleeve Dress,Able Sisters,-,Yes,700,-,175,140,8,3,-,-,green,beige,official,Female,-,,グリーンのコルセット,vestido lazo verde,vestido lazo verde,robe cirque verte,Smaragdkleid,vestito bolero verde,그린 코르셋,1.0,2633,26A9,tops_corset_grn,36E2,,,-
044,gumdrop dress,,Short Sleeve Dress,Able Sisters,Spring,Yes,720,-,180,144,9,3,-,-,colorful,colorful,cute,Female,Dotted,,はるのみずたまワンピ,vestido esferas,vestido esferas,robe bonbons,Kaugummikleid,vestito gommoso,봄 물방울무늬 원피스,1.0,2663,26D9,tops_dot_spring,3712,,,gumdrop dress
045,Hello Kitty dress,,Long Sleeve Dress,Rilla's RV,-,No,-,-,250,-,12,300,-,Fairy Tale / Toy Shop,blue,white,cute,Female,H-Striped,,ハローキティなワンピース,vestido Hello Kitty,vestido Hello Kitty,ensemble Hello Kitty,Hello-Kitty-Kleid,vestito Hello Kitty,헬로키티 원피스,1.4,-,26E8,tops_snr_kittyonp,3721,,,Hello Kitty dress
046,Kiki and Lala dress,,Short Sleeve Dress,Étoile's RV,-,No,-,-,250,-,12,300,-,Fairy Tale / Toy Shop,pink,pink,cute,Female,-,,キキ&ララなワンピース,vestido Kiki & Lala,vestido Kiki & Lala,robe Kiki & Lala,Kiki-&-Lala-Kleid,vest. Kiki and Lala,리틀 트윈 스타 원피스,1.4,-,26EA,tops_snr_kikiraraonp,3723,,,Kiki and Lala dress
047,kimono,,Long Sleeve Dress,Able Sisters,-,Yes,820,-,205,164,10,3,geisha,Harmonious,red,aqua,iconic,Female,Nature,,きもの,kimono,kimono,kimono,Kimono,kimono,기모노,1.0,263C,26B2,tops_jpn_kimono,36EB,,,kimono
048,lime dress,,Short Sleeve Dress,Able Sisters,Spring,Yes,640,-,160,128,8,3,-,Rustic,green,white,cute,Female,-,,なのはなのボレロ,vestido lima,vestido lima,robe citron vert,Maikleid,vestito lime,유채꽃 볼레로,1.0,2634,26AA,tops_bolero_ylw,36E3,,,lime dress
049,lotus tank dress,,Sleeveless Dress,Able Sisters,Summer,Yes,640,-,160,128,8,3,-,Rustic,aqua,pink,cute,Female,Nature,,ロータスなワンピース,vestido loto,vestido loto,robe d'été nénuphar,Lotus-Trägerkleid,scamiciato loto,연꽃무늬 원피스,1.0,262A,26A0,tops_flw_lotus,36D9,,,-
050,loud bloom dress,,Sleeveless Dress,Able Sisters,Summer,Yes,640,-,160,128,8,3,-,Rustic,green,purple,flashy,Female,Nature,,はでなはなのワンピース,vestido edén,vestido edén,robe d'été flashy,Nachtblumenkleid,scamiciato esplosivo,화려한 꽃무늬 원피스,1.0,2627,269D,tops_flw_loud,36D6,,,-
051,lovely dress,,Short Sleeve Dress,Able Sisters,Spring,Yes,720,-,180,144,9,3,-,Fairy Tale,pink,pink,cute,Female,Nature,,ラブリーなワンピース,vestido corazones,vestido corazones,robe amour,Herzchenkleid,vestito cuoricini,러블리 원피스,1.0,266D,26E3,tops_ptn_heart,371C,,,lovely dress
052,maid dress,,Short Sleeve Dress,GracieGrace,-,No,"7,200",-,"1,800",-,90,251,-,Fairy Tale,white,black,iconic,Female,-,,メイドのふく,vestido doncella,vestido doncella,robe de servante,Magdkleid,vestito domestica,메이드 옷,1.0,264B,26C1,tops_dress_maid,36FA,,,-
053,Marie dress,,Sleeveless Dress,Viché's RV,-,No,-,-,250,-,12,300,-,Toy Shop,black,green,rock 'n' roll,Female,-,,ホタルのワンピース,vestido de Tina,vestido de Tina,robe paillettes Oly,Limone-Kleid,scamiciato Marina,호타루 원피스,1.4,-,26E7,tops_spl_hotaruonp,3720,,,-
054,milkmaid dress,,Short Sleeve Dress,Able Sisters,-,Yes,720,-,180,144,9,3,milkmaid,-,white,pink,iconic,Female,-,,オランダなふく,vestido holandés,vestido holandés,robe hollandaise,Trachtenkleid,vestito olandese,네덜란드풍 옷,1.0,263D,26B3,tops_dutch,36EC,,,-
055,moldy dress,,Long Sleeve Dress,Able Sisters,-,Yes,40,-,10,8,,3,-,Quirky,beige,brown,flashy,Female,-,,カビたワンピース,vestido borrones,vestido borrones,robe élimée,Schimmelkleid,vestito ammuffito,곰팡이 핀 원피스,1.0,262E,26A4,tops_musty,36DD,,,-
056,musician's outfit,,Long Sleeve Dress,Able Sisters,-,Yes,800,-,200,160,10,3,-,Antique / Fairy Tale,gray,gray,official,Unisex,-,,おんがくかのふく,vestido de orquesta,vestido de orquesta,tenue de musicienne,Pianistinnenkostüm,vestito da musicista,음악가 의상,1.4,-,26E5,tops_musician,371E,,,-
057,muumuu,,Sleeveless Dress,Souvenir Shop,-,No,-,15,187,149,9,451,-,Fairy Tale,blue,orange,iconic,Female,Nature,,ムームー,vestido hawaiano,vestido hawaiano,robe d'été hawaïenne,Strandkleid,scamiciato hawaiano,열대풍 원피스,1.0,260D,2683,tops_muumuu,36BC,,,-
058,My Melody dress,,Long Sleeve Dress,Chelsea's RV,-,No,-,-,250,-,12,300,-,Fairy Tale / Toy Shop,pink,pink,cute,Female,-,,マイメロディなワンピース,vestido My Melody,vestido My Melody,ensemble My Melody,My-Melody-Kleid,vestito My Melody,마이 멜로디 원피스,1.4,-,26E9,tops_snr_mymeloonp,3722,,,My Melody dress
059,natty dress,,Short Sleeve Dress,Able Sisters,Summer,Yes,800,-,200,160,10,3,-,Fairy Tale,pink,blue,cute,Female,Plaid,,ピンクツイードワンピース,vestido paseo rosa,vestido paseo rosa,robe filet,Mohair-Kleid,vestito di classe,핑크 트웨이드 원피스,1.0,2661,26D7,tops_tweed_pnk,3710,,,natty dress
060,nurse's uniform,,Short Sleeve Dress,Able Sisters,-,Yes,800,-,200,160,10,3,-,-,pink,pink,official,Female,-,,ナースのふく,vestido de enfermera,vestido de enfermera,blouse d'infirmière,Schwesternkittel,vestito infermiera,간호사 옷,1.0,2654,26CA,tops_nurse,3703,,,-
061,orange lace-up dress,,Long Sleeve Dress,Able Sisters,-,Yes,700,-,175,140,8,3,-,-,orange,beige,official,Female,-,,オレンジのコルセット,vestido lazo naranja,vestido lazo naranja,robe cirque orange,Clownskleid,vestito bolero fuoco,오렌지 코르셋,1.0,2632,26A8,tops_corset_org,36E1,,,orange lace-up dress
062,orange retro dress,,Long Sleeve Dress,Able Sisters,-,Yes,680,-,170,136,8,3,-,-,orange,beige,official,Female,Plaid,,レトロオレンジワンピース,vestido con cinturón,vestido con cinturón,robe rétro orange,Glamour-Kleid,vestito pesca rétro,복고풍 오렌지 원피스,1.0,262C,26A2,tops_onp_orgretro,36DB,,,-
063,overall dress,,Short Sleeve Dress,Able Sisters,-,Yes,580,-,145,116,7,3,-,-,blue,white,cute,Female,H-Striped,,ジャンパースカート,vestido de campo,vestido de campo,robe salopette,Jeanskleid,vestito salopette,점퍼스커트,1.0,2611,2687,tops_jumper_skirt,36C0,,,overall dress
064,palatial tank dress,,Sleeveless Dress,Able Sisters,Summer,Yes,640,-,160,128,8,3,-,Antique,white,yellow,iconic,Unisex,-,,ナイルなふく,vestido del Nilo,vestido del Nilo,robe d'été Nil,Oasen-Trägerkleid,scamiciato egizio,이집트풍 옷,1.0,2644,26BA,tops_nile,36F3,,,-
065,pastel-stripe dress,,Sleeveless Dress,Able Sisters,Summer,Yes,680,-,170,136,8,3,-,-,colorful,white,iconic,Female,H-Striped,,アメリカンなワンピース,vestido heladería,vestido heladería,robe d'été berlingot,Pastell-Trägerkleid,scamiciato pastello,아메리칸 원피스,1.0,2669,26DF,tops_american,3718,,,-
066,pharaoh's outfit,,Sleeveless Dress,Able Sisters,Summer,Yes,640,-,160,128,8,3,pharaoh,Antique,white,yellow,historical,Unisex,Manufactured,,エジプトのふく,vestido egipcio,vestido egipcio,tenue de pharaon,Pharao-Robe,vestito faraonico,파라오 옷,1.0,264D,26C3,tops_egyptian,36FC,,,pharaoh's outfit
067,pinafore,,Long Sleeve Dress,Able Sisters,-,Yes,580,-,145,116,7,3,-,Harmonious,white,beige,iconic,Female,-,,かっぽうぎ,vestido blanco,vestido blanco,robe tablier,Küchenkleid,vestito grembiulone,조리복,1.0,2618,268E,tops_kappougi,36C7,,,-
068,pink lace-up dress,,Long Sleeve Dress,GracieGrace,-,No,"7,200",-,"1,800",-,90,251,-,Fairy Tale,pink,pink,ornate,Female,-,,ロリータなワンピース,vestido muñequita,vestido muñequita,robe à lacets rose,Prinzessinnenkleid,vestito rosa lacci,핑크 레이스 원피스,1.0,2612,2688,tops_gothic_lollita,36C1,,,-
069,pink party dress,,Short Sleeve Dress,GracieGrace,-,No,"8,000",-,"2,000",-,100,299,-,Fairy Tale,pink,pink,official,Female,-,,ピンクパーティードレス,vestido fiesta rosa,vestido fiesta rosa,robe de soirée rose,Landpartiekleid,vestito lusso rosa,핑크 파티드레스,1.0,2616,268C,tops_party_pnk,36C5,,,-
070,pink polka dress,,Short Sleeve Dress,Able Sisters,-,Yes,620,-,155,124,7,3,-,-,pink,black,iconic,Female,-,,スパニッシュなワンピース,vestido flamenco,vestido flamenco,robe Espagne,Flamencokleid,vestito spagnolo,스페인풍 옷,1.0,2643,26B9,tops_spanish,36F2,,,-
071,pink-zap suit,,Long Sleeve Dress,Able Sisters,-,Yes,760,-,190,152,9,3,pink superheroine,Fairy Tale / Toy Shop,white,pink,sporty,Female,-,,ヒロインスーツ,supertraje rosa,supertraje rosa,tenue d'héroïne,Heldinnenkleid,vestito eroina,히어로 슈트 P,1.0,261E,2694,tops_hero_pnk,36CD,,,-
072,plaid cami dress,,Long Sleeve Dress,Able Sisters,-,Yes,600,-,150,120,7,3,-,-,black,gray,cute,Female,Plaid,,チェックのキャミワンピ,vestido tartán,vestido tartán,robe écossaise,Flanellkleid,vestito spalline,체크무늬 캐미솔 원피스,1.0,2619,268F,tops_camionp_check,36C8,,,-
073,plum coat,,Long Sleeve Dress,Able Sisters,Winter,Yes,800,-,200,160,10,3,-,-,red,white,ornate,Female,-,,ボアつきのコート,vestido ciruela,vestido ciruela,manteau prune,Lederkleid,giaccone prugna,털 달린 코트,1.0,2648,26BE,tops_coat_boa,36F7,,,plum coat
074,polka-dot dress,,Short Sleeve Dress,Able Sisters,-,Yes,"2,000",-,500,400,25,3,-,Trendy,red,white,cute,Female,Dotted,,みずたまワンピース,vestido motas,vestido motas,robe à pois rouge,Fliegenpilzkleid,vestito rosso a pois,물방울 원피스,1.0,264F,26C5,tops_onp_dot,36FE,,,polka-dot dress
075,Pompompurin dress,,Long Sleeve Dress,Marty's RV,-,No,-,-,250,-,12,300,-,Fairy Tale / Toy Shop,yellow,brown,cute,Female,Plaid,,ポムポムプリンなワンピ,vestido Pompompurin,vestido Pompompurin,habit Pompompurin,Pompompurin-Kleid,vestito Pompompurin,폼폼푸린 원피스,1.4,-,26EB,tops_snr_prinonp,3724,,,Pompompurin dress
076,poncho,,Long Sleeve Dress,Able Sisters,-,Yes,580,-,145,116,7,3,vaquero,-,brown,orange,iconic,Unisex,Nature,,ポンチョ,vestido mexicano,vestido mexicano,poncho,Poncho,poncho,판초,1.0,2645,26BB,tops_poncho,36F4,,,poncho
077,pop bloom dress,,Sleeveless Dress,Able Sisters,Summer,Yes,640,-,160,128,8,3,-,Rustic,green,red,flashy,Female,Nature,,ポップなはなのワンピース,vestido jardín,vestido jardín,robe d'été pop,Blumenbeetkleid,scamiciato sgargian.,발랄한 꽃무늬 원피스,1.0,2625,269B,tops_flw_pop,36D4,,,-
078,prep-school uniform,,Long Sleeve Dress,Able Sisters,-,Yes,760,-,190,152,9,3,-,-,brown,brown,official,Female,Plaid,,ローウェストワンピース,vestido escolar,vestido escolar,robe d'écolière,Schulkleid,vestito scolaretta,로웨이스트 원피스,1.0,2614,268A,tops_onp_lowwaist,36C3,,,-
079,prim outfit,,Long Sleeve Dress,Able Sisters,-,Yes,620,-,155,124,7,3,-,-,white,aqua,basic,Female,-,,せいそなアンサンブル,vestido recatado,vestido recatado,ensemble soigné,Adrett-Kleid,completo carino,청순한 원피스,1.0,2610,2686,tops_ensemble_clean,36BF,,,-
080,princess dress,,Short Sleeve Dress,Able Sisters,-,Yes,"1,000",-,250,200,12,3,-,Fairy Tale,aqua,blue,ornate,Female,-,,プリンセスなふく,vestido princesa,vestido princesa,robe de princesse,Rüschenkleid,vestito principessa,공주풍 옷,1.0,2641,26B7,tops_princes,36F0,,,-
081,Princess Zelda dress,,Long Sleeve Dress,W. Link's RV,-,No,-,-,250,-,12,300,-,Antique / Fairy Tale / Toy Shop,gray,pink,official,Female,-,,ゼルダひめのドレス,vestido de Zelda,vestido de Zelda,robe princesse Zelda,Zelda-Kleid,vestito princ. Zelda,젤다 공주 드레스,1.4,-,26E6,tops_nin_zelda,371F,,,-
082,red dress,,Long Sleeve Dress,Able Sisters,-,Yes,640,-,160,128,8,3,-,-,pink,pink,basic,Female,-,,シンプルなあかワンピ,vestido granate,vestido granate,robe rouge,Gute-Laune-Kleid,vestito rosso,심플한 빨간색 원피스,1.0,265A,26D0,tops_onp_smp_red,3709,,,-
083,red riding dress,,Long Sleeve Dress,Able Sisters,Fall,Yes,680,-,170,136,8,3,-,Fairy Tale,red,red,cute,Female,-,,あかずきんのふく,vestido caperucita,vestido caperucita,robe cavalière rouge,Reitkleid,vestito cappuccetto,빨간 망토,1.0,2637,26AD,tops_redhood,36E6,,,red riding dress
