#,Name,Image,Icon,Availability,Availability 1,Time 1,Availability 2,Time 2,Availability 3,Time 3,Availability 4,Time 4,Location,Tortimer Island Time,Spawn in Island Tour,Sell Price (Re-Tail),Sell Price (Nooklings),Sell Price (Leila),Season (Encyclopedia),Time (Encyclopedia),Size Range (Encyclopedia),Furniture Size,HHA Base Points,Furniture Image,When HHA Lucky,Source Group,Museum Description,Catch Quote,Catch Quote 2,Name (Japanese),Name (Spanish NA),Name (Spanish EU),Name (French),Name (German),Name (Italian),Name (Korean),Hex ID (1.0),Hex ID (1.4),Model Filename,New To Series,Name (GCN),Name (WW),Name (CF),Name (NH)
11,oak silk moth,,,Jun - Sep,Jun - Sep,7 PM - 4 AM,-,-,-,-,-,-,On trees (any kind),7 PM - 4 AM,No,"1,200",960,60,Summer,Night,,1x1,3,,-,0D,"Oak silk moths are seen in the summer and are one of the largest moth species in the world. They make silk from their mouths as they transition into the pupa stage. As adults, they don't eat anything and only live off the nutrients they stored while they were caterpillars.",I caught an oak silk moth! Who's smooth now?,-,ヤママユガ,polilla de seda,polilla de seda,coscinocera hercules,Seidenspinner,macaone,산누에나방,2290,2298,int_ins_ymmga,,,,,-
12,honeybee,,,Mar - Jul,Mar - Jun,8 AM - 5 PM,Jul,8 AM - 4 PM,-,-,-,-,Flying near flowers,-,No,100,80,-,Spring-Summer,Morning-Evening,,1x1,3,,-,0D,"Honeybees gather nectar from flowers and make honey, making them integral in many ecosystems. The worker bees are females and the only ones capable of stinging, though that is rather rare. The hive does contain males, but after mating season, they are all sent away. Honey has been consumed since ancient times. Cave paintings 8,000 years old show people eating honey.",I caught a honeybee! What a sweet catch!,-,ミツバチ,abeja melífera,abeja melífera,abeille naine,Honigbiene,ape operaia,꿀벌,2291,2299,int_ins_mitsu,,,,,honeybee
13,bee,,,All year,All year,All day,-,-,-,-,-,-,Shaking trees,-,No,"2,500","2,000",-,Year-round,Always,,1x1,3,,-,0D,"Bees are prone to attacking anyone who comes too close to their hive, so be careful when approaching! The yellow and black you see on their bodies are colors often used to convey danger. This danger is pretty significant, as many varieties of bees are capable of stinging multiple times.",I caught a bee! Bzzz! Bzzz! Bzzz! Phew! ...But why am I still holding it?!,-,ハチ,abeja,abeja,abeille,Biene,ape,벌,2292,229A,int_ins_suzume,,,,,wasp
14,long locust,,,May - Nov,May - Nov,8 AM - 7 PM,-,-,-,-,-,-,On the ground,8 AM – 7 PM,No,200,160,10,Summer-Fall,Morning-Evening,,1x1,3,,-,0D,"When male long locusts jump, you can hear the trademark stridulation noise they make. Long locusts can be green as well as brown. The brown ones usually hide near dried grass or brown areas. While males are long, females are consistently much longer, making it simple to tell them apart.",I caught a long locust! It got the short end of the stick!,-,ショウリョウバッタ,langosta alargada,langosta alargada,acrida cinerea,Nasenschrecke,acrida cinerea,방아깨비,2293,229B,int_ins_syouryou,,,,,long locust
15,migratory locust,,,Aug - Nov,Aug - Nov,8 AM - 7 PM,-,-,-,-,-,-,On the ground,8 AM - 7 PM,No,600,480,30,Summer-Fall,Morning-Evening,,1x1,3,,-,0D,"Migratory locusts are large insects that can jump up to 32 feet, as they open their wings when they jump. These locusts love to eat and can consume their own weight in food every single day. As a group, their hunger is enough that a million locusts can consume one ton of food per day. Oddly, when migratory locusts grow up surrounded only by other locusts, their shells will be entirely black.",I caught a migratory locust! It migrated to a good spot!,-,トノサマバッタ,langosta migratoria,langosta migratoria,criquet pèlerin,Wanderschrecke,locusta migratoria,섬풀무치,2294,229C,int_ins_tonosama,,,,,migratory locust
16,rice grasshopper,,,Aug - Nov,Aug - Nov,8 AM - 7 PM,-,-,-,-,-,-,On the ground,-,No,400,320,-,Summer-Fall,Morning-Evening,,1x1,3,,-,0D,"Rice grasshoppers are typically known as pests that eat farmers' crops, making them undesirable. But they're also edible, and boiling them in soy sauce is a typical way to prepare them in certain regions. While they are generally green, their shells will turn a darker color when heavily crowded in groups.",I caught a rice grasshopper! Now I just need a soy-sauce mantis!,-,イナゴ,langosta,langosta,criquet,Heuschrecke,locusta,메뚜기,2295,229D,int_ins_inago,,,,,rice grasshopper
17,mantis,,,Apr - Nov,Apr - Nov,8 AM - 5 PM,-,-,-,-,-,-,On flowers,8 AM – 5 PM,No,430,344,21,Spring-Fall,Morning-Evening,,1x1,3,,-,0D,"Mantises are known for the praying pose they sit in while ambushing unsuspecting prey. They'll snatch whatever is moving nearby and can even capture creatures larger than themselves. When threatened, mantises will spread their thin green wings to appear more intimidating.",I caught a mantis! Time to pay your respects!,-,カマキリ,mantis religiosa,mantis religiosa,mante religieuse,Gottesanbeterin,mantide,사마귀,2296,229E,int_ins_kama,,,,,mantis
18,orchid mantis,,,Apr - Nov,Apr - Nov,8 AM - 5 PM,-,-,-,-,-,-,On white flowers,8 AM - 5 PM,No,"2,400","1,920",120,Spring-Fall,Morning-Evening,,1x1,3,,-,0D,"Orchid mantises look like orchids and use them as camouflage for protection from predators. While this camouflage keeps them safe, it also helps them to surprise any prey that comes to the flowers. They are usually carnivorous, but they still eat the occasional banana to balance their vitamin intake.",I caught an orchid mantis! My eyes see all!,-,ハナカマキリ,mantis orquídea,mantis orquídea,mante orchidée,Orchideenmantis,mantide orchidea,연꽃사마귀,2297,229F,int_ins_hanakama,,,,,orchid mantis
19,brown cicada,,,Jul - Aug,Jul - Aug,8 AM - 5 PM,-,-,-,-,-,-,On trees (hardwood and cedar),-,No,200,160,-,Summer,Morning-Evening,,1x1,3,,Jun 1 - Aug 31,76,"The crying of brown cicadas is usually associated with the sound of hot oil sputtering. Their wings are brown instead of being transparent, making them a rare species throughout the world. While completely harmless by themselves, in swarms they can cause devastation to crops.",I caught a brown cicada! These things are everywhere!,-,アブラゼミ,cigarra marrón,cigarra marrón,cigale cercope,Erdzikade,cicala marrone,유지매미,2298,22A0,int_ins_abura,,,,,brown cicada
20,robust cicada,,,Jul - Aug,Jul - Aug,8 AM - 5 PM,-,-,-,-,-,-,On trees (hardwood and cedar),-,No,300,240,-,Summer,Morning-Evening,,1x1,3,,Jun 1 - Aug 31,76,"Robust cicadas are distinguished by the shortness of their bodies in relation to their wing size. They used to share territories with brown cicadas, but robust cicadas tend to prefer dry locales. As you'd expect, they make a rather robust call, though males actually change their sound around females.",I caught a robust cicada! It seems pretty lively to me!,I caught a robust cicada! They're pretty docile on rainy days.,ミンミンゼミ,cigarra oriental,cigarra oriental,cigale hyalessa,Mannazikade,cicala robusta,참매미,2299,22A1,int_ins_minmin,,,,,robust cicada
21,giant cicada,,,Jul - Aug,Jul - Aug,8 AM - 5 PM,-,-,-,-,-,-,On trees (hardwood and cedar),-,No,500,400,-,Summer,Morning-Evening,,1x1,3,,Jun 1 - Aug 31,76,"As the name might indicate, giant cicadas are one of the largest species of cicada in the world. They used to live mostly in warmer western Japan, but they've now also moved to urban eastern Japan. Though they're now common in these areas, they aren't well known in other parts of the world.",I caught a giant cicada! Luckily I didn't need a bean stalk!,I caught a giant cicada! Scratch that: a giant WET cicada!,クマゼミ,cigarra gigante,cigarra gigante,cigale géante,Riesenzikade,cicala gigante,곰매미,229A,22A2,int_ins_kuma,,,,,giant cicada
22,walker cicada,,,Jul - Sep,Jul - Sep,8 AM - 5 PM,-,-,-,-,-,-,On trees (hardwood and cedar),-,No,400,320,-,Summer,Morning-Evening,,1x1,3,,Jun 1 - Aug 31,76,"Walker cicadas have a unique crying sound that gives the impression they're all singing in harmony. They usually start crying late in the summer, so people can associate their sound with summer's end. This call is so related with summer in general, TV shows regularly use this cicada to indicate the season.",I caught a walker cicada! I'm the one walkin' the walk now!,"I caught a walker cicada! Walking in the rain, it seems!",ツクツクホウシ,cigarra común,cigarra común,cigale cicadelle,Bergzikade,cicala sputacchina,애매미,229B,22A3,int_ins_tsuku,,,,,walker cicada
23,evening cicada,,,Jul - Aug,Jul - Aug,4 AM - 8 AM & 4 PM - 7 PM,-,-,-,-,-,-,On trees (hardwood and cedar),-,No,550,440,-,Summer,Evening,,1x1,3,,-,0D,"Evening cicadas cry when it's dark out, regardless of what time of day it actually is. People tend to think it's the end of summer when they hear the cry of evening cicadas. However, this species of cicada starts crying at the end of the rainy season, which generally falls in July.",I caught an evening cicada! It just wasn't its night!,I caught an evening cicada! More like a RAINY-evening cicada!,ヒグラシ,cigarrilla,cigarrilla,cigale higurashi,Abendzikade,cicala notturna,쓰르라미,229C,22A4,int_ins_higu,,,,,evening cicada
24,cicada shell,,,Jul - Aug,Jul - Aug,All day,-,-,-,-,-,-,On trees (hardwood and cedar),-,No,100,80,-,Summer,Always,,1x1,3,,Jun 1 - Aug 31,76,"Cicada larvae emerge from the ground in the evening and molt on trees, leaving behind empty shells. It's possible to find out the species of cicadas just by looking at these shells. Collecting the shells will tell you how many and what kind of cicadas inhabit a certain area.",I found a cicada shell! It's just a shell of its former self!,-,セミのぬけがら,muda de cigarra,muda de cigarra,mue de cigale,Zikadenlarvenhaut,esuvia di cicala,매미 허물,229D,22A5,int_ins_seminuke,,,,,cicada shell
25,lantern fly,,,Jun - Sep,Jun; Sep,4 PM - 7 PM & 11 PM - 8 AM,Jul - Aug,4 PM - 8 AM,-,-,-,-,On trees (hardwood and cedar),4 PM – 8 AM,No,"1,800","1,440",90,Summer,Night-Morning,,1x1,3,,-,0D,"Lantern flies stay on trees to drink tree sap, which is where you'll most commonly find them. Their heads are shaped like alligators, though this is just an odd coincidence. Their wings have patterns that look like eyes so when they're open they can scare off predators. They don't really cry that much, but they are still related to cicadas to some extent.",I caught a lantern fly! Hmm. Must have run out of gas.,-,ビワハゴロモ,machaca,machaca,laternaria,Laternenträger,lanternaria,뿔매미,229E,22A6,int_ins_biwa,,,,,-
26,red dragonfly,,,Sep - Oct,Sep - Oct,8 AM - 7 PM,-,-,-,-,-,-,Flying,-,No,80,64,-,Fall,Morning-Evening,,1x1,3,,Sep 1 - Nov 24,77,"Red dragonflies are seen in the fall, as they're rather sensitive to the heat of summer. They stay in the mountains during summer and come down to the plains in cooler weather. The males' bodies turn red when they mature, but their heads and thoraxes are brownish. The females have a more yellowish color and aren't as red as the males, making them easy to tell apart.",I caught a red dragonfly! Wonder if it breathes fire...,-,アキアカネ,libélula roja,libélula roja,demoiselle,Feuerlibelle,libellula rossa,고추잠자리,229F,22A7,int_ins_akane,,,,,red dragonfly
27,darner dragonfly,,,Jun - Aug,Jun - Aug,8 AM - 5 PM,-,-,-,-,-,-,Flying,-,Yes,200,160,10,Summer,Morning-Evening,,1x1,3,,-,0D,"The heads and thoraxes of darner dragonflies are colored a lovely yellow green. The males have a light-blue spot on their bellies, which is not a trait the females share. Darner dragonflies can usually be seen flying around bodies of water such as lakes or ponds.",I caught a darner dragonfly! I got darn lucky!,-,ギンヤンマ,libélula cab. diablo,libélula cab. diablo,anax napolitain,Königslibelle,libellula depressa,왕잠자리,22A0,22A8,int_ins_ginyan,,,,,darner dragonfly
28,banded dragonfly,,,Jun - Aug,Jun - Aug,8 AM - 5 PM,-,-,-,-,-,-,Flying,-,Yes,"4,500","3,600",225,Summer,Morning-Evening,,1x1,3,,-,0D,"Banded dragonflies have black- and-yellow-striped bodies and bright-green eyes. They are large and can fly quite fast. They have strong jaws, so it might be painful if you're bitten. Their larval stage lasts two to four years, where they live near water, feeding on tadpoles and small fish.",I did it! I caught a banded dragonfly! Now to find the rest of its band!,-,オニヤンマ,libélula tigre,libélula tigre,cordulégastre,Quelljungfer,libellula striata,장수잠자리,22A1,22A9,int_ins_oniyan,,,,,banded dragonfly
29,petaltail dragonfly,,,Aug - Oct,Aug - Oct,5 PM - 7 PM,-,-,-,-,-,-,Flying,-,No,"8,000","6,400",-,Summer-Fall,Evening,,1x1,3,,-,0D,"Dragonflies very similar to petaltail dragonflies have been found in fossils from the Jurassic period. They are considered ""living fossils"" that haven't changed much since prehistoric times. Their wingspan is over 16 cm, making them the world's largest dragonfly.","I caught a petaltail dragonfly! It may be big, but I'm bigger!",-,テイオウムカシヤンマ,libélula gigante,libélula gigante,libellule géante,Riesenlibelle,libellula gigante,꽃잎꼬리잠자리,22A2,22AA,int_ins_mukashi,,,,,-
30,ant,,,All year,All year,All day,-,-,-,-,-,-,On rotten Turnips/Candy,-,No,80,64,-,Year-round,Always,,1x1,3,,-,0D,"Ants are small but very powerful and are able to carry items far heavier than they are. In the nest, there is a queen and also worker ants, making them somewhat similar to bees. In some habitats, ants actually make up between 15-20% of the area's total terrestrial-animal biomass.",I caught an ant! I'm exuber-ant! Well...not really...,-,アリ,hormiga,hormiga,fourmi,Ameise,formica,개미,22A3,22AB,int_ins_ari,,,,,ant
31,pondskater,,,May - Sep,May - Sep,8 AM - 7 PM,-,-,-,-,-,-,On rivers and ponds,-,No,130,104,-,Summer,Morning-Evening,,1x1,3,,-,0D,"Pondskaters distinguish themselves by having the ability to run on the surface of water. They have a mouth part that lets them suck up bugs that fall on the water's surface. Their wings allow them to freely move to different parts of the water's surface if the need arises. Some say they smell like candy, which is a rather curious association to make in the insect world.",I caught a pondskater! Why aren't they called pondskiers?,-,アメンボ,zapatero,zapatero,patineur,Wasserläufer,gerride,소금쟁이,22A4,22AC,int_ins_amembo,,,,,pondskater
32,diving beetle,,,May - Sep,May - Sep,8 AM - 5 PM,-,-,-,-,-,-,On rivers and ponds,-,No,800,640,-,Summer,Morning-Evening,,1x1,3,,-,0D,"Diving beetles swim using thick, hairy hind legs and clean the water by eating dead insects. They store a supply of air under their wings to breathe underwater and surface to replenish as needed. When they're caught by predators, they release a foul-smelling bluish fluid from their heads in defense.",I caught a diving beetle! It's like I have sonar or something!,-,ゲンゴロウ,escarabajo nadador,escarabajo nadador,dytique,Schwimmkäfer,ditisco,물방개,22A5,22AD,int_ins_gengorou,,,,,diving beetle
33,stinkbug,,,Apr - Oct,Apr - Oct,All day,-,-,-,-,-,-,On trees (hardwood and cedar),-,No,120,96,-,Spring-Fall,Always,,1x1,3,,-,0D,"Stinkbugs are known for their foul smell, enough to drive away most predators and people. The smell is so strong that if they release it in an airtight place, they pass out from their own smell. They like to gather in clumps to stay warm in sunshine, though they will seek out warm houses as well.","I caught a stinkbug! Yup, yup, that stinks all right!",-,カメムシ,chinche,chinche,punaise,Stinkwanze,cimice,노린재,22A6,22AE,int_ins_kamemushi,,,,,stinkbug
34,snail,,,Apr - Sep,Apr - Sep,All day,-,-,-,-,-,-,On Hibiscus Bushes (raining),-,No,250,200,-,Spring-Fall,Always,,1x1,3,,-,0D,"Snails are mollusks that live on land and are related to shellfish like clams and oysters. One snail can play the role of both a male and a female, so it can lay eggs all by itself. Newly hatched snails already have a tiny shell, so right from birth they are easily identified. Most species have clockwise spirals on their shells, though spirals that go counterclockwise are possible.","I caught a snail! OK, well, maybe I found a snail.",-,カタツムリ,caracol,caracol,escargot,Schnecke,chiocciola,달팽이,22A7,22AF,int_ins_kata,,,,,snail
35,cricket,,,Sep - Nov,Sep - Nov,5 PM - 8 AM,-,-,-,-,-,-,On the ground,-,No,130,104,-,Fall,Night-Morning,,1x1,3,,-,0D,"The chirping sound you often hear from male crickets is emitted by the stridulation of their wings. Crickets' ears are located just below the middle joint of each front leg. While this seems odd to us, it helps them easily pinpoint where various sounds are coming from.","I caught a cricket! That's a sticky wicket, isn't it?",-,コオロギ,grillo común,grillo común,grillon des prés,Grille,grillo,귀뚜라미,22A8,22B0,int_ins_koorogi,,,,,cricket
36,bell cricket,,,Sep - Oct,Sep - Oct,5 PM - 8 AM,-,-,-,-,-,-,On the ground,-,No,430,344,-,Fall,Night-Morning,,1x1,3,,-,0D,"The chirping sound of bell crickets is considered beautiful and tends to represent the coming of fall. This easily recognizable chirping is created when males of the species rub their forewings together. The resulting sound is much higher in pitch than the human voice, so it can't be heard over a phone.","I caught a bell cricket! Odd, it doesn't look like money...",-,スズムシ,grillo campana,grillo campana,grillon du Midi,Singgrille,suzumushi,방울벌레,22A9,22B1,int_ins_suzu,,,,,bell cricket
37,grasshopper,,,Jul - Sep,Jul,4 PM - 5 PM,Aug - Sep,8 AM - 5 PM,-,-,-,-,On the ground,8 AM - 5 PM,No,160,128,8,Summer,Morning-Evening,,1x1,3,,-,0D,"Grasshoppers are known for their unique songs, but unlike crickets, it doesn't come from their wings. Rather, the chirping sound comes from their rubbing their legs together. They look like a thicker version of locusts, but some species of grasshoppers actually eat locusts.",I caught a grasshopper! Seems it's hopped its last!,-,キリギリス,saltamontes,saltamontes,sauterelle,Grashüpfer,cavalletta,여치,22AA,22B2,int_ins_kirigiri,,,,,grasshopper
38,mole cricket,,,Nov - May,Nov - May,All day,-,-,-,-,-,-,Underground,-,No,280,224,-,Winter-Spring,Always,,1x1,3,,Nov 25 - Feb 24,78,"Mole crickets live underground in tunnels they dig themselves, moving freely through the soil. Their forelimbs resemble those of moles and are very suitable for the task of digging. They have large wings that allow them to fly, but they can also swim  if the need arises. In the past, people used to think the noise they made underground was actually coming from worms.",I caught a mole cricket! And I didn't even have to reset!,-,オケラ,grillo cebollero,grillo cebollero,taupe-grillon,Maulwurfsgrille,grillotalpa,땅강아지,22AB,22B3,int_ins_okera,,,,,mole cricket
39,walking leaf,,,Jul - Sep,Jul - Sep,8 AM - 5 PM,-,-,-,-,-,-,On the ground,-,No,600,480,-,Summer,Morning-Evening,,1x1,3,,-,0D,"Walking leaves look just like real leaves. They're related to walking sticks, which resemble twigs. The females are better at mimicking leaves than the males, though they can't fly. Their mimicking is so thorough that some of them even have fake bite marks on their bodies.",I caught a walking leaf! I'm glad it can't run!,-,コノハムシ,insecto hoja,insecto hoja,phyllie,Blattschrecke,insetto foglia,잎사귀벌레,22AC,22B4,int_ins_konoha,,,,,walking leaf
40,walking stick,,,Jul - Nov,Jul - Aug,4 AM - 8 AM & 5 PM - 7 PM,Sep - Nov,4 AM - 7 PM,-,-,-,-,On trees (any kind),4 AM - 8 AM & 5 PM - 7 PM,No,600,480,30,Summer-Fall,Morning-Evening,,1x1,3,,-,0D,"Walking sticks disguise themselves to confuse predators and are very closely related to walking leaves. They have cylindrical bodies that look like sticks. Some of them can even change their pigmentation. Females can lay eggs without the males, so most of the walking sticks you see are females.",I caught a walking stick! Check out its walking schtick!,-,ナナフシ,insecto palo,insecto palo,phasme,Stabschrecke,insetto stecco,긴수염대벌레,22AD,22B5,int_ins_nana,,,,,walking stick
41,bagworm,,,Oct - Feb,Oct - Feb,All day,-,-,-,-,-,-,Shaking trees (hardwood and cedar),-,No,300,240,-,Fall-Winter,Always,,1x1,3,,Nov 25 - Feb 24,78,"Bagworms are certain moths in caterpillar phase. They stay in cases or cocoons for warmth in winter. They construct their cases by sticking silk threads together between leaves or branches. Females don't have wings, and some simply wait inside their cocoons for males to come by to mate.",I caught a bagworm! Ain't no one baggin' on me now!,-,ミノムシ,oruga de bolsón,oruga de bolsón,psyché,Sackträger,bruco dal fodero,주머니나방,22AE,22B6,int_ins_mino,,,,,bagworm
42,ladybug,,,Mar - Jun; Oct,Mar - Jun; Oct,8 AM - 5 PM,-,-,-,-,-,-,On flowers,-,No,200,160,-,Spring,Morning-Evening,,1x1,3,,-,0D,"Despite the name, not all ladybugs are ""ladies."" There are also male ladybugs. Though you'll see different ladybugs with different numbers of spots, they don't get more as they age. Ladybugs eat insects harmful to crops. A few species eat the leaves of crops, but most are beneficial. They're tough against the cold, but during winter they stay in groups under dry leaves for warmth.",I caught a ladybug! Or is this one a man?,-,テントウムシ,catarina,mariquita,coccinelle,Marienkäfer,coccinella,무당벌레,22AF,22B7,int_ins_tentou,,,,,ladybug
43,violin beetle,,,Jun; Sep - Nov,Jun,4 AM - 7 PM,Sep - Oct,4 AM - 5 PM,Nov,8 AM - 5 PM,-,-,On tree stumps,-,No,260,208,-,Fall,Morning-Evening,,1x1,3,,-,0D,"As the name indicates, these bugs resemble violins. They're very thin and roughly five mm thick. They stay on top of fungi on trees and prey upon small bugs that happen by. When predators come near, violin beetles emit a noxious fluid to protect themselves. The fluid is toxic and can be painful if it touches your hands or eyes, so be careful!",I caught a violin beetle! But how do I tune it?,-,バイオリンムシ,escarabajo violín,escarabajo violín,mormolyce,Laufkäfer,carabo violino,바이올린벌레,22B0,22B8,int_ins_violin,,,,,violin beetle
44,longhorn beetle,,,Jul - Aug,Jul - Aug,11 PM - 7 PM,-,-,-,-,-,-,On tree stumps,11 PM - 7 PM,No,260,208,13,Summer,Morning-Night,,1x1,3,,-,0D,"Longhorn beetles have very strong mandibles, and both adult and larval forms eat through the bark of trees. They have extremely long antennae that are sometimes even longer than their bodies. The adults have such strong mandibles that they can bite off people's hair. And keep in mind that hair isn't the only thing they'll bite, so be careful when handling them!",I caught a longhorn beetle! I had to steer it toward my net!,-,カミキリムシ,longicornio,longicornio,longicorne,Fichtenbock,aromia,장수하늘소,22B1,22B9,int_ins_kamikiri,,,,,citrus long-horned beetle
