Name,Image,Outdoor Image,Icon,Source,Buy Price (Bells),Buy Price (Medals),Sell Price (Re-Tail),Sell Price (Nooklings),Sell Price (Leila),HHA Base Points,HHA Theme Challenge,Color 1,Color 2,When HHA Lucky,Fashion,Clothing Type,Consumable,Notes,Name (English EU),Name (Japanese),Name (Spanish NA),Name (Spanish EU),Name (French NA),Name (French EU),Name (German),Name (Italian),Name (Korean),Version Added,Hex ID (1.0),Hex ID (1.4),Model Filename,New To Series,Name (GCN),Name (WW),Name (CF),Name (NH)
party popper,,,,Nooklings,-,-,75,60,-,0,-,-,-,-,-,Party Popper,No,Disappears when used,-,クラッカー,cañón de confeti,cañón de confeti,pétard,pétard,Partyknaller,sparacoriandoli,파티용 폭죽,1.0,3059,336A,cracker,No,cracker,party popper,party popper,party popper
bubble wand,,,,Happy Home Showcase,-,-,125,100,-,0,-,-,-,-,-,Bubble Wand,No,,-,しゃぼんだま,lanzapompas,lanzapompas,lance-bulles,lance-bulles,Seifenblasenset,sparabolle,비눗방울,1.0,305A,336B,soapbubble,No,,,bubble wand,bubble blower
bunny r. balloon,,,,Happy Home Showcase,500,-,125,100,-,3,Toy Shop,red,red,-,cute,Balloon,No,,-,あかいうさぎふうせん,globonejito rojo,globonejito rojo,ballon lapin rouge,ballon lapin rouge,Hasenballon (rot),coniglio rosso,빨간 토끼 풍선,1.0,305B,336C,balloon_rbt,No,,,bunny R. balloon,
bunny o. balloon,,,,Happy Home Showcase,500,-,125,100,-,3,Toy Shop,orange,orange,-,cute,Balloon,No,,-,オレンジうさぎふうせん,globonejito naranja,globonejito naranja,ballon lapin orange,ballon lapin orange,Hasenballon (orange),coniglio arancione,오렌지 토끼 풍선,1.0,305C,336D,balloon_rbt,No,bunny o. balloon,,bunny O. balloon,
bunny y. balloon,,,,Happy Home Showcase,500,-,125,100,-,3,Toy Shop,yellow,yellow,-,cute,Balloon,No,,-,きいろいうさぎふうせん,globonejito amarillo,globonejito amarillo,ballon lapin jaune,ballon lapin jaune,Hasenballon (gelb),coniglio giallo,노란 토끼 풍선,1.0,305D,336E,balloon_rbt,No,,,bunny Y. balloon,
bunny g. balloon,,,,Happy Home Showcase,500,-,125,100,-,3,Toy Shop,green,green,-,cute,Balloon,No,,-,みどりのうさぎふうせん,globonejito verde,globonejito verde,ballon lapin vert,ballon lapin vert,Hasenballon (grün),coniglio verde,초록 토끼 풍선,1.0,305E,336F,balloon_rbt,No,,,bunny G. balloon,
bunny c. balloon,,,,Happy Home Showcase,500,-,125,100,-,3,Toy Shop,aqua,aqua,-,cute,Balloon,No,,-,みずいろうさぎふうせん,globonejito celeste,globonejito celeste,ballon lapin b. ciel,ballon lapin b. ciel,Hasenballon (türkis),coniglio celeste,하늘색 토끼 풍선,1.0,305F,3370,balloon_rbt,No,,,bunny C. balloon,
bunny b. balloon,,,,Happy Home Showcase,500,-,125,100,-,3,Toy Shop,blue,blue,-,cute,Balloon,No,,-,あおいうさぎふうせん,globonejito azul,globonejito azul,ballon lapin bleu,ballon lapin bleu,Hasenballon (blau),coniglio blu,파란 토끼 풍선,1.0,3060,3371,balloon_rbt,No,bunny b. balloon,,bunny B. balloon,
bunny i. balloon,,,,Happy Home Showcase,500,-,125,100,-,3,Toy Shop,purple,purple,-,cute,Balloon,No,,-,むらさきうさぎふうせん,globonejito morado,globonejito morado,ballon lapin violet,ballon lapin violet,Hasenballon (lila),coniglio viola,보라 토끼 풍선,1.0,3061,3372,balloon_rbt,No,,,bunny I. balloon,
bunny p. balloon,,,,Happy Home Showcase,500,-,125,100,-,3,Fairy Tale / Toy Shop,pink,pink,-,cute,Balloon,No,,-,ピンクうさぎふうせん,globonejito rosa,globonejito rosa,ballon lapin rose,ballon lapin rose,Hasenballon (rosa),coniglio rosa,핑크 토끼 풍선,1.0,3062,3373,balloon_rbt,No,bunny p. balloon,,bunny P. balloon,
red balloon,,,,Happy Home Showcase,500,-,125,100,-,3,Toy Shop,red,red,-,cute,Balloon,No,,-,あかいふうせん,globo rojo,globo rojo,ballon rouge,ballon rouge,Ballon (rot),palloncino rosso,빨간 풍선,1.0,3063,3374,balloon_nml,No,red balloon,,red balloon,red balloon
orange balloon,,,,Happy Home Showcase,500,-,125,100,-,3,Toy Shop,orange,orange,-,cute,Balloon,No,,-,オレンジのふうせん,globo naranja,globo naranja,ballon orange,ballon orange,Ballon (orange),palloncino arancione,오렌지 풍선,1.0,3064,3375,balloon_nml,No,,,orange balloon,
yellow balloon,,,,Happy Home Showcase,500,-,125,100,-,3,Toy Shop,yellow,yellow,-,cute,Balloon,No,,-,きいろいふうせん,globo amarillo,globo amarillo,ballon jaune,ballon jaune,Ballon (gelb),palloncino giallo,노란 풍선,1.0,3065,3376,balloon_nml,No,yellow balloon,,yellow balloon,yellow balloon
green balloon,,,,Happy Home Showcase,500,-,125,100,-,3,Toy Shop,green,green,-,cute,Balloon,No,,-,みどりのふうせん,globo verde,globo verde,ballon vert,ballon vert,Ballon (grün),palloncino verde,초록 풍선,1.0,3066,3377,balloon_nml,No,green balloon,,green balloon,green balloon
cyan balloon,,,,Happy Home Showcase,500,-,125,100,-,3,Toy Shop,aqua,aqua,-,cute,Balloon,No,,-,みずいろふうせん,globo celeste,globo celeste,ballon bleu ciel,ballon bleu ciel,Ballon (türkis),palloncino celeste,하늘색 풍선,1.0,3067,3378,balloon_nml,No,,,cyan balloon,
blue balloon,,,,Happy Home Showcase,500,-,125,100,-,3,Toy Shop,blue,blue,-,cute,Balloon,No,,-,あおいふうせん,globo azul,globo azul,ballon bleu ciel,ballon bleu,Ballon (blau),palloncino blu,파란 풍선,1.0,3068,3379,balloon_nml,No,blue balloon,,blue balloon,blue balloon
indigo balloon,,,,Happy Home Showcase,500,-,125,100,-,3,Toy Shop,purple,purple,-,cute,Balloon,No,,-,むらさきのふうせん,globo morado,globo morado,ballon violet,ballon violet,Ballon (lila),palloncino viola,보라 풍선,1.0,3069,337A,balloon_nml,No,purple balloon,,indigo balloon,
pink balloon,,,,Happy Home Showcase,500,-,125,100,-,3,Fairy Tale / Toy Shop,pink,pink,-,cute,Balloon,No,,-,ピンクのふうせん,globo rosa,globo rosa,ballon rose,ballon rose,Ballon (rosa),palloncino rosa,핑크 풍선,1.0,306A,337B,balloon_nml,No,,,pink balloon,pink balloon
heart r. balloon,,,,Happy Home Showcase,500,-,125,100,-,3,Toy Shop,red,red,-,cute,Balloon,No,,-,あかいハートふうせん,globorazón rojo,globorazón rojo,ballon cœur rouge,ballon cœur rouge,Herzballon (rot),pallone cuore rosso,빨간 하트 풍선,1.0,306B,337C,balloon_hrt,Yes,,,,
heart o. balloon,,,,Happy Home Showcase,500,-,125,100,-,3,Toy Shop,orange,orange,-,cute,Balloon,No,,-,オレンジハートふうせん,globorazón naranja,globorazón naranja,ballon cœur orange,ballon cœur orange,Herzballon (orange),pallone cuore aranc.,오렌지 하트 풍선,1.0,306C,337D,balloon_hrt,Yes,,,,
heart y. balloon,,,,Happy Home Showcase,500,-,125,100,-,3,Toy Shop,yellow,yellow,-,cute,Balloon,No,,-,きいろいハートふうせん,globorazón amarillo,globorazón amarillo,ballon cœur jaune,ballon cœur jaune,Herzballon (gelb),pallone cuore giallo,노란 하트 풍선,1.0,306D,337E,balloon_hrt,Yes,,,,
heart g. balloon,,,,Happy Home Showcase,500,-,125,100,-,3,Toy Shop,green,green,-,cute,Balloon,No,,-,みどりのハートふうせん,globorazón verde,globorazón verde,ballon cœur vert,ballon cœur vert,Herzballon (grün),pallone cuore verde,초록 하트 풍선,1.0,306E,337F,balloon_hrt,Yes,,,,
heart c. balloon,,,,Happy Home Showcase,500,-,125,100,-,3,Toy Shop,aqua,aqua,-,cute,Balloon,No,,-,みずいろハートふうせん,globorazón celeste,globorazón celeste,ballon cœur b. ciel,ballon cœur b. ciel,Herzballon (türkis),pallone cuore azzur.,하늘색 하트 풍선,1.0,306F,3380,balloon_hrt,Yes,,,,
heart b. balloon,,,,Happy Home Showcase,500,-,125,100,-,3,Toy Shop,blue,blue,-,cute,Balloon,No,,-,あおいハートふうせん,globorazón azul,globorazón azul,ballon cœur bleu,ballon cœur bleu,Herzballon (blau),pallone cuore blu,파란 하트 풍선,1.0,3070,3381,balloon_hrt,Yes,,,,
heart i. balloon,,,,Happy Home Showcase,500,-,125,100,-,3,Toy Shop,purple,purple,-,cute,Balloon,No,,-,むらさきハートふうせん,globorazón morado,globorazón morado,ballon cœur violet,ballon cœur violet,Herzballon (lila),pallone cuore viola,보라 하트 풍선,1.0,3071,3382,balloon_hrt,Yes,,,,
heart p. balloon,,,,Happy Home Showcase,500,-,125,100,-,3,Fairy Tale / Toy Shop,pink,pink,-,cute,Balloon,No,,-,ピンクのハートふうせん,globorazón rosa,globorazón rosa,ballon cœur rose,ballon cœur rose,Herzballon (rosa),pallone cuore rosa,핑크 하트 풍선,1.0,3072,3383,balloon_hrt,Yes,,,,
red pinwheel,,,,Happy Home Showcase,-,-,125,100,-,0,-,-,-,-,-,Pinwheel,No,,-,あかいかざぐるま,molinete rojo,molinete rojo,moulin rouge,moulin rouge,Windrad (rot),girandola rossa,빨간 바람개비,1.0,3073,3384,windmill,No,red pinwheel,,red pinwheel,
orange pinwheel,,,,Happy Home Showcase,-,-,125,100,-,0,-,-,-,-,-,Pinwheel,No,,-,オレンジのかざぐるま,molinete naranja,molinete naranja,moulin orange,moulin orange,Windrad (orange),girandola arancione,오렌지 바람개비,1.0,3074,3385,windmill,No,,,orange pinwheel,
yellow pinwheel,,,,Happy Home Showcase,-,-,125,100,-,0,-,-,-,-,-,Pinwheel,No,,-,きいろいかざぐるま,molinete amarillo,molinete amarillo,moulin jaune,moulin jaune,Windrad (gelb),girandola gialla,노란 바람개비,1.0,3075,3386,windmill,No,,,yellow pinwheel,
green pinwheel,,,,Happy Home Showcase,-,-,125,100,-,0,-,-,-,-,-,Pinwheel,No,,-,みどりのかざぐるま,molinete verde,molinete verde,moulin vert,moulin vert,Windrad (grün),girandola verde,초록 바람개비,1.0,3076,3387,windmill,No,green pinwheel,,green pinwheel,
cyan pinwheel,,,,Happy Home Showcase,-,-,125,100,-,0,-,-,-,-,-,Pinwheel,No,,-,みずいろのかざぐるま,molinete celeste,molinete celeste,moulin bleu ciel,moulin bleu ciel,Windrad (türkis),girandola celeste,하늘색 바람개비,1.0,3077,3388,windmill,No,,,cyan pinwheel,
blue pinwheel,,,,Happy Home Showcase,-,-,125,100,-,0,-,-,-,-,-,Pinwheel,No,,-,あおいかざぐるま,molinete azul,molinete azul,moulin bleu,moulin bleu,Windrad (blau),girandola blu,파란 바람개비,1.0,3078,3389,windmill,No,,,blue pinwheel,
indigo pinwheel,,,,Happy Home Showcase,-,-,125,100,-,0,-,-,-,-,-,Pinwheel,No,,-,むらさきのかざぐるま,molinete morado,molinete morado,moulin mauve,moulin mauve,Windrad (lila),girandola viola,보라 바람개비,1.0,3079,338A,windmill,No,,,indigo pinwheel,
pink pinwheel,,,,Happy Home Showcase,-,-,125,100,-,0,-,-,-,-,-,Pinwheel,No,,-,ピンクのかざぐるま,molinete rosa,molinete rosa,moulin rose,moulin rose,Windrad (rosa),girandola rosa,핑크 바람개비,1.0,307A,338B,windmill,No,pink pinwheel,,pink pinwheel,
coffee,,,,The Roost,800,-,200,160,-,0,-,-,-,-,-,Drink,Yes,Consumed after 5 drinks,-,コーヒー,café,café,café,café,Kaffeebecher,caffè,커피,1.0,307B,338C,takeout_coffee,Yes,,,,takeout coffee
sparkling cider,,,,Isabelle,-,-,200,160,-,0,-,-,-,-,-,Drink,Yes,Consumed after 5 drinks,fizzy apple juice,スパークリングサイダー,zumo de manzana,zumo de manzana,cocktail de fruits,cocktail de fruits,Apfelschorle,cocktail alla frutta,스파클링 사이다,1.0,307C,338D,sparkling_cider,Yes,,,,sparkling cider
beans,,,,Harvey,800,-,200,160,-,0,-,-,-,-,-,Beans,No,,-,まめ,caja de habichuelas,caja de habichuelas,panier de haricots,panier de haricots,Bohnenkörbchen,scatola di fagioli,콩,1.0,307D,338E,mamemaki,Yes,,,,bean-tossing kit
good-luck roll,,,,Nooklings,800,-,200,160,-,0,-,-,-,-,-,Food,Yes,,-,えほうまき,rollo de sushi,rollo de sushi,maki porte-bonheur,maki porte-bonheur,Sushi-Rolle,sushi di Setsubun,통김밥,1.0,307E,338F,ehoumaki,Yes,,,,
vanilla soft-serve,,,,Happy Home Showcase,-,-,200,160,-,0,-,-,-,-,-,Food,Yes,,-,バニラソフトクリーム,helado de vainilla,helado de vainilla,cornet vanille,cornet vanille,Vanille-Softeis,gelato soft vaniglia,바닐라 소프트아이스크림,1.0,307F,3390,softcream01,Yes,,,,vanilla soft serve
choco soft-serve,,,,Happy Home Showcase,-,-,200,160,-,0,-,-,-,-,-,Food,Yes,,-,チョコソフトクリーム,helado de chocolate,helado de chocolate,cornet chocolat,cornet chocolat,Schoko-Softeis,gelato soft nocciola,초콜릿 소프트아이스크림,1.0,3080,3391,softcream02,Yes,,,,chocolate soft serve
matcha soft-serve,,,,Happy Home Showcase,-,-,200,160,-,0,-,-,-,-,-,Food,Yes,,-,まっちゃソフトクリーム,helado de pistacho,helado de pistacho,cornet pistache,cornet pistache,Pfefferminz-Softeis,gelato soft menta,녹차 소프트아이스크림,1.0,3081,3392,softcream03,Yes,,,,matcha-vanilla soft serve
swirl soft-serve,,,,Happy Home Showcase,-,-,200,160,-,0,-,-,-,-,-,Food,Yes,,-,ミックスソフトクリーム,helado de nata,helado de nata,cornet fraise,cornet fraise,Erdbeer-Softeis,gelato soft lampone,믹스 소프트아이스크림,1.0,3082,3393,softcream04,Yes,,,,berry-vanilla soft serve
vanilla ice cream,,,,Happy Home Showcase,-,-,200,160,-,0,-,-,-,-,-,Food,Yes,,-,バニラアイスクリーム,cucurucho de nata,cucurucho de nata,glace fruits confits,glace fruits confits,Vanilleeis,cono gelato crema,바닐라 아이스크림,1.0,3083,3394,icecream01,Yes,,,,vanilla cone
strawberry ice cream,,,,Happy Home Showcase,-,-,200,160,-,0,-,-,-,-,-,Food,Yes,,-,いちごアイスクリーム,cucurucho de fresa,cucurucho de fresa,glace à la framboise,glace à la framboise,Erdbeereis,cono gelato fragola,딸기 아이스크림,1.0,3084,3395,icecream02,Yes,,,,strawberry cone
lemon double scoop,,,,Happy Home Showcase,-,-,200,160,-,0,-,-,-,-,-,Food,Yes,,-,レモンダブルアイス,cucurucho de limón,cucurucho de limón,glace citron-menthe,glace citron-menthe,Zitrone-Minz-Eis,cono bigusto limone,레몬 더블 아이스크림,1.0,3085,3396,icecream03,Yes,,,,
mint double scoop,,,,Happy Home Showcase,-,-,200,160,-,0,-,-,-,-,-,Food,Yes,,-,ミントダブルアイス,cucurucho de frutas,cucurucho de frutas,glace tropical-melon,glace tropical-melon,Erdbeer-Minz-Eis,cono bigusto menta,민트 더블 아이스크림,1.0,3086,3397,icecream04,Yes,,,,
blue glow wand,,,,Isabelle,-,-,200,-,-,499,-,-,-,-,-,Glow Wand,No,,-,あおいスティックライト,varita luminosa azul,varita luminosa azul,baguette fluo bleue,baguette fluo bleue,Leuchtstab (blau),bacchetta fluo blu,파란 형광봉,1.0,3087,3398,sticklight_blu,Yes,,,,
green glow wand,,,,Nooklings,800,-,200,160,-,0,-,-,-,-,-,Glow Wand,No,,-,みどりのスティックライト,varita lum. verde,varita lum. verde,baguette fluo verte,baguette fluo verte,Leuchtstab (grün),bacchetta fluo verde,초록 형광봉,1.0,3088,3399,sticklight_grn,Yes,,,,
pink glow wand,,,,Nooklings,800,-,200,160,-,0,-,-,-,-,-,Glow Wand,No,,-,ピンクのスティックライト,varita luminosa rosa,varita luminosa rosa,baguette fluo rose,baguette fluo rose,Leuchtstab (rosa),bacchetta fluo rosa,핑크 형광봉,1.0,3089,339A,sticklight_pnk,Yes,,,,
yellow glow wand,,,,Nooklings,800,-,200,160,-,0,-,-,-,-,-,Glow Wand,No,,-,きいろいスティックライト,varita lum. amarilla,varita lum. amarilla,baguette fluo jaune,baguette fluo jaune,Leuchtstab (gelb),bacchetta fluo gial.,노란 형광봉,1.0,308A,339B,sticklight_ylw,Yes,,,,
Flower Fairy wand,,,,Puzzle League,-,-,300,-,-,300,-,-,-,-,-,Glow Wand,No,,-,はなのようせいのステッキ,varita hada flores,varita hada flores,baguette églantine,baguette églantine,Blumenelfenstab,bacc. fata dei fiori,꽃 요정 지팡이,1.4,-,339C,stick_panepon,Yes,,,,
Kiki and Lala wand,,,,Étoile's RV,-,-,300,-,-,300,-,-,-,-,-,Glow Wand,No,,-,キキ&ララなステッキ,varita Kiki & Lala,varita Kiki & Lala,baguette Kiki & Lala,baguette Kiki & Lala,Kiki-&-Lala-Stab,bacc. Kiki and Lala,리틀 트윈 스타 지팡이,1.4,-,339D,stick_kikirara,Yes,,,,Kiki & Lala wand
tweeter,,,,Happy Home Showcase,-,-,200,-,-,499,-,-,-,-,-,Tweeter,No,,-,ふきもどし,matasuegras,matasuegras,sans-gêne,sans-gêne,Tröte,trombetta Capodanno,파티나팔,1.0,308B,339E,blowouts,Yes,,,,tweeter
Santa bag,,,,Jingle,-,-,0,-,-,0,-,-,-,-,-,Santa Bag,No,,-,サンタのふくろ,saco festivo,saco festivo,sac de père Noël,sac de père Noël,Geschenkesack,sacco dei regali,산타의 보따리,1.0,308E,33A1,santa_bag,,,,,
mystery bag,,,,Santa bag,-,-,-200,-,-,0,-,-,-,-,-,Santa Bag,No,,-,なぞのふくろ,bolsa misteriosa,bolsa misteriosa,sac mystère,sac mystère,Sack,sacco misterioso,의문의 보따리,1.0,308F,33A2,santa_bag,,,,,
