#,Name,Body Name,Pattern Name,Name (Variant),Image,Source,Reorderable,Buy Price (Bells),Sell Price (Re-Tail),Size,Interactivity,Animated,Sound,HHA Base Points,HHA Theme Challenge,Color 1,Color 2,Fashion,Customizable Body Name,Customizable Pattern Name,Customization Cost,Name (Japanese),Name (Spanish NA),Name (Spanish EU),Name (French NA),Name (French EU),Name (German),Name (Italian),Name (Korean),# (JP),# (ES-NA),# (ES-EU),# (FR),# (GER),# (ITA),# (KOR),Version Added,Source Group,Hex ID,Body Flag,Pattern Flag,Flag,ID-Flag,Model Filename,New To Series,Name (NH),Name (HHD),Name (PC),Body Name (English EU),Pattern Name (English EU),Body Name (Japanese),Pattern Name (Japanese),Body Name (Spanish),Pattern Name (Spanish),Body Name (French NA),Pattern Name (French NA),Body Name (French EU),Pattern Name (French EU),Body Name (German),Pattern Name (German),Body Name (Italian),Pattern Name (Italian),Body Name (Korean),Pattern Name (Korean)
04,giant stew pot,Green liquid,-,giant stew pot (Green liquid),,HHD Save File,Yes,"8,000","2,000",3x3,-,Always,Always,777,Toy Shop,green,gray,rock 'n' roll,the menu,-,800,とくだいなべ,olla gigante,olla gigante,fait-tout géant,fait-tout géant,Riesenschmortopf,pentolone gigante,특대형 냄비,13,10,11,03,15,11,17,1.4,B2,3036,0C,00,0C00,3036-0C00,rmk_big_pan,No,-,giant stew pot,-,Green liquid,-,みどりの液体,-,Sopa de verduras,-,Brouet louche.,-,Brouet louche.,-,Grüner Schleim,-,Minestrone,-,초록 액체,-
05,giant teddy bear,Beige,Green-stripe shirt,giant teddy bear (Beige - Green-stripe shirt),,HHD Save File,Yes,"8,000","2,000",3x3,-,-,-,777,Fairy Tale / Toy Shop,beige,green,cute,the fabric,the outfit,800,くまのトクダイちゃん,papá oso gigante,papá oso gigante,nounours géant,nounours géant,Riesenteddy,orsacchiotto gigante,특대 곰인형,06,12,13,10,16,10,16,1.4,B2,3039,00,00,0000,3039-0000,rmk_big_bear,No,giant teddy bear,giant teddy bear,-,Beige,Green-stripe shirt,ベージュ,グリーンボーダー,Marrón,Camiseta verde,Beige.,T-shirt rayures vertes.,Beige.,T-shirt rayures vertes.,Beige,Grün gestreift,Beige,Camicia verde a righe,베이지,그린 스트라이프
05,giant teddy bear,Beige,Collared shirt,giant teddy bear (Beige - Collared shirt),,HHD Save File,Yes,"8,000","2,000",3x3,-,-,-,777,Fairy Tale / Toy Shop,beige,red,cute,the fabric,the outfit,800,くまのトクダイちゃん,papá oso gigante,papá oso gigante,nounours géant,nounours géant,Riesenteddy,orsacchiotto gigante,특대 곰인형,06,12,13,10,16,10,16,1.4,B2,3039,00,01,0001,3039-0001,rmk_big_bear,No,giant teddy bear,giant teddy bear,-,Beige,Collared shirt,ベージュ,えり付きシャツ,Marrón,Camiseta con cuello,Beige.,Polo.,Beige.,Polo.,Beige,Mit Kragen,Beige,Camicia con colletto,베이지,칼라 셔츠
05,giant teddy bear,Beige,fluffy jacket,giant teddy bear (Beige - fluffy jacket),,HHD Save File,Yes,"8,000","2,000",3x3,-,-,-,777,Fairy Tale / Toy Shop,beige,white,cute,the fabric,the outfit,800,くまのトクダイちゃん,papá oso gigante,papá oso gigante,nounours géant,nounours géant,Riesenteddy,orsacchiotto gigante,특대 곰인형,06,12,13,10,16,10,16,1.4,B2,3039,00,02,0002,3039-0002,rmk_big_bear,No,giant teddy bear,giant teddy bear,-,Beige,fluffy jacket,ベージュ,モコモコジャケット,Marrón,Chaqueta acolchada,Beige.,Veste en duvet.,Beige.,Doudoune.,Beige,Flauschig,Beige,Giacca morbida,베이지,퍼 재킷
05,giant teddy bear,Pink,Green-stripe shirt,giant teddy bear (Pink - Green-stripe shirt),,HHD Save File,Yes,"8,000","2,000",3x3,-,-,-,777,Fairy Tale / Toy Shop,pink,green,cute,the fabric,the outfit,800,くまのトクダイちゃん,papá oso gigante,papá oso gigante,nounours géant,nounours géant,Riesenteddy,orsacchiotto gigante,특대 곰인형,06,12,13,10,16,10,16,1.4,B2,3039,04,00,0400,3039-0400,rmk_big_bear,No,giant teddy bear,giant teddy bear,-,Pink,Green-stripe shirt,ピンク,グリーンボーダー,Rosa,Camiseta verde,Rose.,T-shirt rayures vertes.,Rose.,T-shirt rayures vertes.,Pink,Grün gestreift,Rosa,Camicia verde a righe,핑크,그린 스트라이프
05,giant teddy bear,Pink,Collared shirt,giant teddy bear (Pink - Collared shirt),,HHD Save File,Yes,"8,000","2,000",3x3,-,-,-,777,Fairy Tale / Toy Shop,pink,red,cute,the fabric,the outfit,800,くまのトクダイちゃん,papá oso gigante,papá oso gigante,nounours géant,nounours géant,Riesenteddy,orsacchiotto gigante,특대 곰인형,06,12,13,10,16,10,16,1.4,B2,3039,04,01,0401,3039-0401,rmk_big_bear,No,giant teddy bear,giant teddy bear,-,Pink,Collared shirt,ピンク,えり付きシャツ,Rosa,Camiseta con cuello,Rose.,Polo.,Rose.,Polo.,Pink,Mit Kragen,Rosa,Camicia con colletto,핑크,칼라 셔츠
05,giant teddy bear,Pink,fluffy jacket,giant teddy bear (Pink - fluffy jacket),,HHD Save File,Yes,"8,000","2,000",3x3,-,-,-,777,Fairy Tale / Toy Shop,pink,white,cute,the fabric,the outfit,800,くまのトクダイちゃん,papá oso gigante,papá oso gigante,nounours géant,nounours géant,Riesenteddy,orsacchiotto gigante,특대 곰인형,06,12,13,10,16,10,16,1.4,B2,3039,04,02,0402,3039-0402,rmk_big_bear,No,giant teddy bear,giant teddy bear,-,Pink,fluffy jacket,ピンク,モコモコジャケット,Rosa,Chaqueta acolchada,Rose.,Veste en duvet.,Rose.,Doudoune.,Pink,Flauschig,Rosa,Giacca morbida,핑크,퍼 재킷
05,giant teddy bear,Blue,Green-stripe shirt,giant teddy bear (Blue - Green-stripe shirt),,HHD Save File,Yes,"8,000","2,000",3x3,-,-,-,777,Fairy Tale / Toy Shop,blue,green,cute,the fabric,the outfit,800,くまのトクダイちゃん,papá oso gigante,papá oso gigante,nounours géant,nounours géant,Riesenteddy,orsacchiotto gigante,특대 곰인형,06,12,13,10,16,10,16,1.4,B2,3039,08,00,0800,3039-0800,rmk_big_bear,No,giant teddy bear,giant teddy bear,-,Blue,Green-stripe shirt,ブルー,グリーンボーダー,Azul,Camiseta verde,Bleue.,T-shirt rayures vertes.,Bleue.,T-shirt rayures vertes.,Blau,Grün gestreift,Blu,Camicia verde a righe,블루,그린 스트라이프
05,giant teddy bear,Blue,Collared shirt,giant teddy bear (Blue - Collared shirt),,HHD Save File,Yes,"8,000","2,000",3x3,-,-,-,777,Fairy Tale / Toy Shop,blue,red,cute,the fabric,the outfit,800,くまのトクダイちゃん,papá oso gigante,papá oso gigante,nounours géant,nounours géant,Riesenteddy,orsacchiotto gigante,특대 곰인형,06,12,13,10,16,10,16,1.4,B2,3039,08,01,0801,3039-0801,rmk_big_bear,No,giant teddy bear,giant teddy bear,-,Blue,Collared shirt,ブルー,えり付きシャツ,Azul,Camiseta con cuello,Bleue.,Polo.,Bleue.,Polo.,Blau,Mit Kragen,Blu,Camicia con colletto,블루,칼라 셔츠
05,giant teddy bear,Blue,fluffy jacket,giant teddy bear (Blue - fluffy jacket),,HHD Save File,Yes,"8,000","2,000",3x3,-,-,-,777,Fairy Tale / Toy Shop,blue,white,cute,the fabric,the outfit,800,くまのトクダイちゃん,papá oso gigante,papá oso gigante,nounours géant,nounours géant,Riesenteddy,orsacchiotto gigante,특대 곰인형,06,12,13,10,16,10,16,1.4,B2,3039,08,02,0802,3039-0802,rmk_big_bear,No,giant teddy bear,giant teddy bear,-,Blue,fluffy jacket,ブルー,モコモコジャケット,Azul,Chaqueta acolchada,Bleue.,Veste en duvet.,Bleue.,Doudoune.,Blau,Flauschig,Blu,Giacca morbida,블루,퍼 재킷
05,giant teddy bear,Yellow green,Green-stripe shirt,giant teddy bear (Yellow green - Green-stripe shirt),,HHD Save File,Yes,"8,000","2,000",3x3,-,-,-,777,Fairy Tale / Toy Shop,green,green,cute,the fabric,the outfit,800,くまのトクダイちゃん,papá oso gigante,papá oso gigante,nounours géant,nounours géant,Riesenteddy,orsacchiotto gigante,특대 곰인형,06,12,13,10,16,10,16,1.4,B2,3039,0C,00,0C00,3039-0C00,rmk_big_bear,No,giant teddy bear,giant teddy bear,-,Yellow green,Green-stripe shirt,イエローグリーン,グリーンボーダー,Amarillo verdoso,Camiseta verde,Vert-jaune.,T-shirt rayures vertes.,Vert-jaune.,T-shirt rayures vertes.,Gelbgrün,Grün gestreift,Gialloverde,Camicia verde a righe,옐로 그린,그린 스트라이프
05,giant teddy bear,Yellow green,Collared shirt,giant teddy bear (Yellow green - Collared shirt),,HHD Save File,Yes,"8,000","2,000",3x3,-,-,-,777,Fairy Tale / Toy Shop,green,red,cute,the fabric,the outfit,800,くまのトクダイちゃん,papá oso gigante,papá oso gigante,nounours géant,nounours géant,Riesenteddy,orsacchiotto gigante,특대 곰인형,06,12,13,10,16,10,16,1.4,B2,3039,0C,01,0C01,3039-0C01,rmk_big_bear,No,giant teddy bear,giant teddy bear,-,Yellow green,Collared shirt,イエローグリーン,えり付きシャツ,Amarillo verdoso,Camiseta con cuello,Vert-jaune.,Polo.,Vert-jaune.,Polo.,Gelbgrün,Mit Kragen,Gialloverde,Camicia con colletto,옐로 그린,칼라 셔츠
05,giant teddy bear,Yellow green,fluffy jacket,giant teddy bear (Yellow green - fluffy jacket),,HHD Save File,Yes,"8,000","2,000",3x3,-,-,-,777,Fairy Tale / Toy Shop,green,white,cute,the fabric,the outfit,800,くまのトクダイちゃん,papá oso gigante,papá oso gigante,nounours géant,nounours géant,Riesenteddy,orsacchiotto gigante,특대 곰인형,06,12,13,10,16,10,16,1.4,B2,3039,0C,02,0C02,3039-0C02,rmk_big_bear,No,giant teddy bear,giant teddy bear,-,Yellow green,fluffy jacket,イエローグリーン,モコモコジャケット,Amarillo verdoso,Chaqueta acolchada,Vert-jaune.,Veste en duvet.,Vert-jaune.,Doudoune.,Gelbgrün,Flauschig,Gialloverde,Giacca morbida,옐로 그린,퍼 재킷
05,giant teddy bear,Black,Green-stripe shirt,giant teddy bear (Black - Green-stripe shirt),,HHD Save File,Yes,"8,000","2,000",3x3,-,-,-,777,Fairy Tale / Toy Shop,black,green,cute,the fabric,the outfit,800,くまのトクダイちゃん,papá oso gigante,papá oso gigante,nounours géant,nounours géant,Riesenteddy,orsacchiotto gigante,특대 곰인형,06,12,13,10,16,10,16,1.4,B2,3039,10,00,1000,3039-1000,rmk_big_bear,No,giant teddy bear,giant teddy bear,-,Black,Green-stripe shirt,ブラック,グリーンボーダー,Negro,Camiseta verde,Noire.,T-shirt rayures vertes.,Noire.,T-shirt rayures vertes.,Schwarz,Grün gestreift,Nero,Camicia verde a righe,블랙,그린 스트라이프
05,giant teddy bear,Black,Collared shirt,giant teddy bear (Black - Collared shirt),,HHD Save File,Yes,"8,000","2,000",3x3,-,-,-,777,Fairy Tale / Toy Shop,black,red,cute,the fabric,the outfit,800,くまのトクダイちゃん,papá oso gigante,papá oso gigante,nounours géant,nounours géant,Riesenteddy,orsacchiotto gigante,특대 곰인형,06,12,13,10,16,10,16,1.4,B2,3039,10,01,1001,3039-1001,rmk_big_bear,No,giant teddy bear,giant teddy bear,-,Black,Collared shirt,ブラック,えり付きシャツ,Negro,Camiseta con cuello,Noire.,Polo.,Noire.,Polo.,Schwarz,Mit Kragen,Nero,Camicia con colletto,블랙,칼라 셔츠
05,giant teddy bear,Black,fluffy jacket,giant teddy bear (Black - fluffy jacket),,HHD Save File,Yes,"8,000","2,000",3x3,-,-,-,777,Fairy Tale / Toy Shop,black,white,cute,the fabric,the outfit,800,くまのトクダイちゃん,papá oso gigante,papá oso gigante,nounours géant,nounours géant,Riesenteddy,orsacchiotto gigante,특대 곰인형,06,12,13,10,16,10,16,1.4,B2,3039,10,02,1002,3039-1002,rmk_big_bear,No,giant teddy bear,giant teddy bear,-,Black,fluffy jacket,ブラック,モコモコジャケット,Negro,Chaqueta acolchada,Noire.,Veste en duvet.,Noire.,Doudoune.,Schwarz,Flauschig,Nero,Giacca morbida,블랙,퍼 재킷
06,iceberg,-,-,iceberg,,HHD Save File,Yes,"6,000","1,500",3x3,-,-,-,777,Rustic / Toy Shop,white,aqua,iconic,-,-,-,ひょうざん,iceberg,iceberg,iceberg,iceberg,Eisberg,iceberg,빙산,16,07,07,06,04,07,08,1.4,B2,3033,00,00,0000,3033-0000,int_big_iceberg,No,-,iceberg,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
07,inflatable Resetti,Normal,-,inflatable Resetti (Normal),,HHD Save File,Yes,"8,000","2,000",3x3,Press,Press,Press,777,Toy Shop,brown,blue,cute,the expression,-,800,エアゆうぐ,Rese T. Ado inflable,objeto hinchable,personnage gonflable,personnage gonflable,Aufblasfigur,Resetti gonfiabile,에어 도루묵씨,02,14,10,13,01,12,11,1.4,B2,3041,00,00,0000,3041-0000,rmk_big_moo,No,-,inflatable Resetti,-,Normal,-,通常,-,Normal,-,Gaie.,-,Gaie.,-,Normal,-,Normale,-,평소 얼굴,-
07,inflatable Resetti,Annoyed,-,inflatable Resetti (Annoyed),,HHD Save File,Yes,"8,000","2,000",3x3,Press,Press,Press,777,Toy Shop,brown,blue,cute,the expression,-,800,エアゆうぐ,Rese T. Ado inflable,objeto hinchable,personnage gonflable,personnage gonflable,Aufblasfigur,Resetti gonfiabile,에어 도루묵씨,02,14,10,13,01,12,11,1.4,B2,3041,04,00,0400,3041-0400,rmk_big_moo,No,-,inflatable Resetti,-,Annoyed,-,怒り顔,-,Enfadado,-,Fâchée.,-,Fâchée.,-,Genervt,-,Arrabbiata,-,화난 얼굴,-
08,large egg,Simple,-,large egg (Simple),,HHD Save File,Yes,"8,000","2,000",3x3,-,-,-,777,Toy Shop,beige,beige,flashy,the shell,-,800,おおきなたまご,huevo gigante,huevo gigante,œuf géant,œuf géant,Riesenei,uovo gigante,큰 달걀,03,06,06,11,14,20,13,1.4,B2,3040,00,00,0000,3040-0000,rmk_big_egg,No,-,large egg,large egg,Simple,-,そのまま,-,Normal,-,Normal.,-,Normal.,-,Einfach,-,Normale,-,그대로,-
08,large egg,Cracked,-,large egg (Cracked),,HHD Save File,Yes,"8,000","2,000",3x3,-,-,-,777,Toy Shop,beige,beige,flashy,the shell,-,800,おおきなたまご,huevo gigante,huevo gigante,œuf géant,œuf géant,Riesenei,uovo gigante,큰 달걀,03,06,06,11,14,20,13,1.4,B2,3040,04,00,0400,3040-0400,rmk_big_egg,No,-,large egg,large egg,Cracked,-,ヒビわれ,-,Roto,-,Fendillé.,-,Fendillé.,-,Angeknackst,-,Rotto,-,대미지,-
08,large egg,Hollow,-,large egg (Hollow),,HHD Save File,Yes,"8,000","2,000",3x3,-,-,-,777,Toy Shop,beige,beige,flashy,the shell,-,800,おおきなたまご,huevo gigante,huevo gigante,œuf géant,œuf géant,Riesenei,uovo gigante,큰 달걀,03,06,06,11,14,20,13,1.4,B2,3040,08,00,0800,3040-0800,rmk_big_egg,No,-,large egg,large egg,Hollow,-,カラっぽ,-,Vacío,-,Vide.,-,Vide.,-,Leer,-,Vuoto,-,텅 빔,-
09,luxury car,Black,-,luxury car (Black),,HHD Save File,Yes,"8,000","2,000",3x2,Press,-,Press,777,Antique / Trendy / Toy Shop,black,black,ornate,the body color,-,800,こうきゅうしゃ,auto de lujo,coche de lujo,voiture de luxe,voiture de luxe,Luxuswagen,auto di lusso,럭셔리 차,07,01,04,20,10,02,05,1.4,B2,303F,00,00,0000,303F-0000,rmk_big_car,No,luxury car,luxury car,luxury car,Black,-,ブラック,-,Negra,-,Noir.,-,Noir.,-,Schwarz,-,Nero,-,블랙,-
09,luxury car,White,-,luxury car (White),,HHD Save File,Yes,"8,000","2,000",3x2,Press,-,Press,777,Antique / Trendy / Toy Shop,white,white,ornate,the body color,-,800,こうきゅうしゃ,auto de lujo,coche de lujo,voiture de luxe,voiture de luxe,Luxuswagen,auto di lusso,럭셔리 차,07,01,04,20,10,02,05,1.4,B2,303F,04,00,0400,303F-0400,rmk_big_car,No,luxury car,luxury car,luxury car,White,-,ホワイト,-,Blanca,-,Blanc.,-,Blanc.,-,Weiß,-,Bianco,-,화이트,-
09,luxury car,Silver,-,luxury car (Silver),,HHD Save File,Yes,"8,000","2,000",3x2,Press,-,Press,777,Antique / Trendy / Toy Shop,gray,gray,ornate,the body color,-,800,こうきゅうしゃ,auto de lujo,coche de lujo,voiture de luxe,voiture de luxe,Luxuswagen,auto di lusso,럭셔리 차,07,01,04,20,10,02,05,1.4,B2,303F,08,00,0800,303F-0800,rmk_big_car,No,luxury car,luxury car,luxury car,Silver,-,シルバー,-,Plateada,-,Argent.,-,Argent.,-,Silber,-,Argento,-,실버,-
09,luxury car,Gold,-,luxury car (Gold),,HHD Save File,Yes,"8,000","2,000",3x2,Press,-,Press,777,Antique / Trendy / Toy Shop,yellow,yellow,ornate,the body color,-,800,こうきゅうしゃ,auto de lujo,coche de lujo,voiture de luxe,voiture de luxe,Luxuswagen,auto di lusso,럭셔리 차,07,01,04,20,10,02,05,1.4,B2,303F,0C,00,0C00,303F-0C00,rmk_big_car,No,luxury car,luxury car,luxury car,Gold,-,ゴールド,-,Dorada,-,Doré.,-,Doré.,-,Gold,-,Oro,-,골드,-
10,massive cake,-,-,massive cake,,HHD Save File,Yes,"6,000","1,500",3x3,Light,-,-,777,Fairy Tale / Toy Shop,white,colorful,cute,-,-,-,とくだいケーキ,pastel gigante,pastel gigante,gâteau géant,gâteau géant,Riesentorte,torta gigante,특대형 케이크,12,13,14,05,17,18,18,1.4,B2,302E,00,00,0000,302E-0000,int_big_cake,No,-,massive cake,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
11,monitor tower,Black,Graph,monitor tower (Black - Graph),,HHD Save File,Yes,"8,000","2,000",3x3,-,Always,Always,777,Toy Shop,black,aqua,iconic,the body color,the screen,800,モニターとう,torre de monitores,torre de monitores,tour d'écrans,tour d'écrans,Monitorturm,torre di schermi,모니터 탑,19,20,20,19,11,17,06,1.4,B2,303B,00,00,0000,303B-0000,rmk_big_monitor,No,-,monitor tower,-,Black,Graph,ブラック,グラフ,Blanco,Gráfico,Noir.,Graphique.,Noir.,Graphique.,Schwarz,Grafik,Nero,Grafica,블랙,그래프
11,monitor tower,Black,Virus,monitor tower (Black - Virus),,HHD Save File,Yes,"8,000","2,000",3x3,-,Always,Always,777,Toy Shop,black,aqua,iconic,the body color,the screen,800,モニターとう,torre de monitores,torre de monitores,tour d'écrans,tour d'écrans,Monitorturm,torre di schermi,모니터 탑,19,20,20,19,11,17,06,1.4,B2,303B,00,01,0001,303B-0001,rmk_big_monitor,No,-,monitor tower,-,Black,Virus,ブラック,ウイルス,Blanco,Virus informático,Noir.,Virus.,Noir.,Virus.,Schwarz,Virus,Nero,Virus informatico,블랙,바이러스
11,monitor tower,White,Graph,monitor tower (White - Graph),,HHD Save File,Yes,"8,000","2,000",3x3,-,Always,Always,777,Toy Shop,white,aqua,iconic,the body color,the screen,800,モニターとう,torre de monitores,torre de monitores,tour d'écrans,tour d'écrans,Monitorturm,torre di schermi,모니터 탑,19,20,20,19,11,17,06,1.4,B2,303B,04,00,0400,303B-0400,rmk_big_monitor,No,-,monitor tower,-,White,Graph,ホワイト,グラフ,Negro,Gráfico,Blanc.,Graphique.,Blanc.,Graphique.,Weiß,Grafik,Bianco,Grafica,화이트,그래프
11,monitor tower,White,Virus,monitor tower (White - Virus),,HHD Save File,Yes,"8,000","2,000",3x3,-,Always,Always,777,Toy Shop,white,aqua,iconic,the body color,the screen,800,モニターとう,torre de monitores,torre de monitores,tour d'écrans,tour d'écrans,Monitorturm,torre di schermi,모니터 탑,19,20,20,19,11,17,06,1.4,B2,303B,04,01,0401,303B-0401,rmk_big_monitor,No,-,monitor tower,-,White,Virus,ホワイト,ウイルス,Negro,Virus informático,Blanc.,Virus.,Blanc.,Virus.,Weiß,Virus,Bianco,Virus informatico,화이트,바이러스
12,mountain,-,-,mountain,,HHD Save File,Yes,"6,000","1,500",3x3,-,-,-,777,Rustic / Toy Shop,green,green,iconic,-,-,-,やま,montaña,montaña,montagne,montagne,Berg,montagna,산,20,08,08,08,02,08,09,1.4,B2,3032,00,00,0000,3032-0000,int_big_mt,No,,mountain,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
13,mountain of money,-,-,mountain of money,,HHD Save File,Yes,"6,000","1,500",3x3,-,-,-,777,Toy Shop,yellow,yellow,iconic,-,-,-,すごいおさつのやま,montón de billetes,montaña de billetes,montagne de billets,montagne de billets,Geldscheinhaufen,montagna di soldi,엄청난 돈 산,08,09,09,09,06,09,10,1.4,B2,3035,00,00,0000,3035-0000,int_big_osatsu,No,-,mountain of money,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
14,propeller plane,Blue,Leaves,propeller plane (Blue - Leaves),,HHD Save File,Yes,"8,000","2,000",3x3,-,-,-,777,Toy Shop,blue,green,sporty,the body color,the symbol,800,プロペラひこうき,avión de hélice,avión de hélice,avion à hélices,avion à hélices,Propellerflugzeug,aeroplano a elica,프로펠러 비행기,17,02,01,01,12,01,19,1.4,B2,303D,00,00,0000,303D-0000,rmk_big_aircraft,No,-,propeller plane,-,Blue,Leaves,ブルー,はっぱ,Azul,Hojas,Bleu.,Feuilles.,Bleu.,Feuilles.,Blau,Blätter,Blu,Foglie,블루,나뭇잎
