Name,Image,Variation,Body Title,DIY,Customize,Kit Cost,Kit Type,Cyrus Customize Price,Uses,Stack Size,Buy,Sell,HHA Base Points,HHA Concept 1,HHA Concept 2,Color 1,Color 2,Size,Set,Exchange Price,Exchange Currency,Source,Source Notes,Season/Event,Season/Event Exclusive,Villager Equippable,Food Power,Lighting Type,Catalog,Version Added,Unlocked?,Filename,Variant ID,Internal ID,Unique Entry ID
chocolate donut,,NA,NA,No,No,NA,None,NA,3,1,NFS,150,0,None,None,Beige,Brown,1x1,None,500,Bells,Redd's Co-op Raffle,,NA,NA,No,1,No lighting,Not for sale,2.0.0,Yes,ToolDonutPlayer,NA,14641,XBfgMco2Q3hWf4Sou
chocolate frozen treat,,NA,NA,No,No,NA,None,NA,3,1,600,150,0,None,None,Brown,Beige,1x1,None,500,Bells,Redd's Raffle,,Fireworks Show (1); Fireworks Show (2); Fireworks Show (3); Fireworks Show (4); Fireworks Show (5),Yes,No,1,No lighting,Not for sale,1.11.0,Yes,ToolIcecandyPlayer2,NA,14631,bXeMhj9hB8mbcZe2p
chocolate soft serve,,NA,NA,No,No,NA,None,NA,3,1,NFS,150,0,None,None,Brown,Beige,1x1,None,500,Bells,Redd's Co-op Raffle,,NA,NA,No,1,No lighting,Not for sale,2.0.0,Yes,ToolIcesoft1,NA,327,gC8SEg2vRxFS5JNS7
colorful fishing rod,,Yellow,Color,No,Yes,1,Normal,1000,30,1,2500,625,0,None,None,Yellow,Orange,1x1,Colorful Tools,NA,NA,Nook's Cranny,Available in Nook's Cranny (upgraded only),NA,NA,Yes,NA,No lighting,For sale,1.0.0,Yes,ToolFishingrodDuck_Remake_0_0,0_0,8472,ZTf6fzMoETiRSgYyv
colorful fishing rod,,Orange,Color,No,Yes,1,Normal,1000,30,1,2500,625,0,None,None,Orange,Yellow,1x1,Colorful Tools,NA,NA,Nook's Cranny,Available in Nook's Cranny (upgraded only),NA,NA,Yes,NA,No lighting,For sale,1.0.0,Yes,ToolFishingrodDuck_Remake_1_0,1_0,8472,9RuY2ZBRztSNDRrfy
colorful fishing rod,,Blue,Color,No,Yes,1,Normal,1000,30,1,2500,625,0,None,None,Aqua,Yellow,1x1,Colorful Tools,NA,NA,Nook's Cranny,Available in Nook's Cranny (upgraded only),NA,NA,Yes,NA,No lighting,For sale,1.0.0,Yes,ToolFishingrodDuck_Remake_2_0,2_0,8472,8PASMoPi9YgSBQ2LK
colorful fishing rod,,Pink,Color,No,Yes,1,Normal,1000,30,1,2500,625,0,None,None,Pink,Yellow,1x1,Colorful Tools,NA,NA,Nook's Cranny,Available in Nook's Cranny (upgraded only),NA,NA,Yes,NA,No lighting,For sale,1.0.0,Yes,ToolFishingrodDuck_Remake_3_0,3_0,8472,sfSivSgSps27Jaz5M
colorful fishing rod,,Green,Color,No,Yes,1,Normal,1000,30,1,2500,625,0,None,None,Green,Blue,1x1,Colorful Tools,NA,NA,Nook's Cranny,Available in Nook's Cranny (upgraded only),NA,NA,Yes,NA,No lighting,For sale,1.0.0,Yes,ToolFishingrodDuck_Remake_4_0,4_0,8472,vnSiERDKYDcddtuv6
colorful fishing rod,,Purple,Color,No,Yes,1,Normal,1000,30,1,2500,625,0,None,None,Purple,Pink,1x1,Colorful Tools,NA,NA,Nook's Cranny,Available in Nook's Cranny (upgraded only),NA,NA,Yes,NA,No lighting,For sale,1.0.0,Yes,ToolFishingrodDuck_Remake_5_0,5_0,8472,avewXgm4JtCerDcd6
colorful fishing rod,,White,Color,No,Yes,1,Normal,1000,30,1,2500,625,0,None,None,White,Blue,1x1,Colorful Tools,NA,NA,Nook's Cranny,Available in Nook's Cranny (upgraded only),NA,NA,Yes,NA,No lighting,For sale,1.0.0,Yes,ToolFishingrodDuck_Remake_6_0,6_0,8472,wmcSp5RZAczawLnJf
colorful fishing rod,,Gray,Color,No,Yes,1,Normal,1000,30,1,2500,625,0,None,None,Black,Green,1x1,Colorful Tools,NA,NA,Nook's Cranny,Available in Nook's Cranny (upgraded only),NA,NA,Yes,NA,No lighting,For sale,1.0.0,Yes,ToolFishingrodDuck_Remake_7_0,7_0,8472,v76QddpoKv2M4XspK
colorful light stick,,NA,NA,No,No,NA,None,NA,Unlimited,1,NFS,450,0,None,None,Colorful,Black,1x1,None,500,Bells,Redd's Co-op Raffle,,NA,NA,No,NA,No lighting,Not for sale,2.0.0,Yes,ToolSticklightColorful,NA,14504,QWaoWAyy9S8DA7dPM
colorful net,,Yellow & orange,Color,No,Yes,1,Normal,1000,30,1,2500,625,0,None,None,Yellow,Orange,1x1,Colorful Tools,NA,NA,Nook's Cranny,Available in Nook's Cranny (upgraded only),NA,NA,Yes,NA,No lighting,For sale,1.0.0,Yes,ToolNetPattern_Remake_0_0,0_0,8177,5wGjS9fxCaGhWK5Cv
colorful net,,Red & yellow,Color,No,Yes,1,Normal,1000,30,1,2500,625,0,None,None,Red,Yellow,1x1,Colorful Tools,NA,NA,Nook's Cranny,Available in Nook's Cranny (upgraded only),NA,NA,Yes,NA,No lighting,For sale,1.0.0,Yes,ToolNetPattern_Remake_1_0,1_0,8177,k4Ssqq2DesuGTy6hy
colorful net,,Orange & blue,Color,No,Yes,1,Normal,1000,30,1,2500,625,0,None,None,Orange,Blue,1x1,Colorful Tools,NA,NA,Nook's Cranny,Available in Nook's Cranny (upgraded only),NA,NA,Yes,NA,No lighting,For sale,1.0.0,Yes,ToolNetPattern_Remake_2_0,2_0,8177,6pJhWYNiuyZKuKvYz
colorful net,,Pink & yellow,Color,No,Yes,1,Normal,1000,30,1,2500,625,0,None,None,Pink,Yellow,1x1,Colorful Tools,NA,NA,Nook's Cranny,Available in Nook's Cranny (upgraded only),NA,NA,Yes,NA,No lighting,For sale,1.0.0,Yes,ToolNetPattern_Remake_3_0,3_0,8177,AmK8KNTDWxdrJH6h7
colorful net,,Green & blue,Color,No,Yes,1,Normal,1000,30,1,2500,625,0,None,None,Green,Blue,1x1,Colorful Tools,NA,NA,Nook's Cranny,Available in Nook's Cranny (upgraded only),NA,NA,Yes,NA,No lighting,For sale,1.0.0,Yes,ToolNetPattern_Remake_4_0,4_0,8177,zcdZjuNZWrHas5efC
colorful net,,Purple & pink,Color,No,Yes,1,Normal,1000,30,1,2500,625,0,None,None,Purple,Pink,1x1,Colorful Tools,NA,NA,Nook's Cranny,Available in Nook's Cranny (upgraded only),NA,NA,Yes,NA,No lighting,For sale,1.0.0,Yes,ToolNetPattern_Remake_5_0,5_0,8177,cTrR3cREJBqWZyfN6
colorful net,,White & blue,Color,No,Yes,1,Normal,1000,30,1,2500,625,0,None,None,White,Blue,1x1,Colorful Tools,NA,NA,Nook's Cranny,Available in Nook's Cranny (upgraded only),NA,NA,Yes,NA,No lighting,For sale,1.0.0,Yes,ToolNetPattern_Remake_6_0,6_0,8177,wFcTeKJ9gM4yLgfTQ
colorful net,,Gray & green,Color,No,Yes,1,Normal,1000,30,1,2500,625,0,None,None,Gray,Green,1x1,Colorful Tools,NA,NA,Nook's Cranny,Available in Nook's Cranny (upgraded only),NA,NA,Yes,NA,No lighting,For sale,1.0.0,Yes,ToolNetPattern_Remake_7_0,7_0,8177,kgBcZghywrT4j47vx
colorful shovel,,Yellow,Color,No,Yes,1,Normal,1000,100,1,2500,625,0,None,None,Yellow,Blue,1x1,Colorful Tools,NA,NA,Nook's Cranny,Available in Nook's Cranny (upgraded only),NA,NA,No,NA,No lighting,For sale,1.0.0,Yes,ToolScoopColorful_Remake_0_0,0_0,8577,ojvEkqxvFKKrrB6GR
colorful shovel,,Orange,Color,No,Yes,1,Normal,1000,100,1,2500,625,0,None,None,Red,Green,1x1,Colorful Tools,NA,NA,Nook's Cranny,Available in Nook's Cranny (upgraded only),NA,NA,No,NA,No lighting,For sale,1.0.0,Yes,ToolScoopColorful_Remake_1_0,1_0,8577,pnM6ygwcMS5KmSP6c
colorful shovel,,Blue,Color,No,Yes,1,Normal,1000,100,1,2500,625,0,None,None,Blue,Orange,1x1,Colorful Tools,NA,NA,Nook's Cranny,Available in Nook's Cranny (upgraded only),NA,NA,No,NA,No lighting,For sale,1.0.0,Yes,ToolScoopColorful_Remake_2_0,2_0,8577,MYmh4oANQabcGNjJ6
colorful shovel,,Pink,Color,No,Yes,1,Normal,1000,100,1,2500,625,0,None,None,Pink,Aqua,1x1,Colorful Tools,NA,NA,Nook's Cranny,Available in Nook's Cranny (upgraded only),NA,NA,No,NA,No lighting,For sale,1.0.0,Yes,ToolScoopColorful_Remake_3_0,3_0,8577,c3Frxwsyo8PSKZNya
colorful shovel,,Green,Color,No,Yes,1,Normal,1000,100,1,2500,625,0,None,None,Green,Yellow,1x1,Colorful Tools,NA,NA,Nook's Cranny,Available in Nook's Cranny (upgraded only),NA,NA,No,NA,No lighting,For sale,1.0.0,Yes,ToolScoopColorful_Remake_4_0,4_0,8577,RbQtnSAf4HNLKuao2
colorful shovel,,Purple,Color,No,Yes,1,Normal,1000,100,1,2500,625,0,None,None,Purple,Green,1x1,Colorful Tools,NA,NA,Nook's Cranny,Available in Nook's Cranny (upgraded only),NA,NA,No,NA,No lighting,For sale,1.0.0,Yes,ToolScoopColorful_Remake_5_0,5_0,8577,MiJwRTGjbkK5Jx3Zw
colorful shovel,,White,Color,No,Yes,1,Normal,1000,100,1,2500,625,0,None,None,White,Orange,1x1,Colorful Tools,NA,NA,Nook's Cranny,Available in Nook's Cranny (upgraded only),NA,NA,No,NA,No lighting,For sale,1.0.0,Yes,ToolScoopColorful_Remake_6_0,6_0,8577,XCrHq3vFnD83kY2Sg
colorful shovel,,Gray,Color,No,Yes,1,Normal,1000,100,1,2500,625,0,None,None,Black,Yellow,1x1,Colorful Tools,NA,NA,Nook's Cranny,Available in Nook's Cranny (upgraded only),NA,NA,No,NA,No lighting,For sale,1.0.0,Yes,ToolScoopColorful_Remake_7_0,7_0,8577,zo7TsB8NzfnFDA7yS
colorful slingshot,,Yellow,Color,No,Yes,1,Normal,1000,20,1,2500,625,0,None,None,Yellow,Orange,1x1,Colorful Tools,NA,NA,Nook's Cranny,Available in Nook's Cranny (upgraded only),NA,NA,No,NA,No lighting,For sale,1.0.0,Yes,ToolSlingshotColorful_Remake_0_0,0_0,8580,dSvd9K7sRTbx6k5cd
colorful slingshot,,Orange,Color,No,Yes,1,Normal,1000,20,1,2500,625,0,None,None,Red,Green,1x1,Colorful Tools,NA,NA,Nook's Cranny,Available in Nook's Cranny (upgraded only),NA,NA,No,NA,No lighting,For sale,1.0.0,Yes,ToolSlingshotColorful_Remake_1_0,1_0,8580,WAcZwYerSQtwujaPZ
colorful slingshot,,Blue,Color,No,Yes,1,Normal,1000,20,1,2500,625,0,None,None,Blue,Yellow,1x1,Colorful Tools,NA,NA,Nook's Cranny,Available in Nook's Cranny (upgraded only),NA,NA,No,NA,No lighting,For sale,1.0.0,Yes,ToolSlingshotColorful_Remake_2_0,2_0,8580,k7afhFcA5Pqd8qu5F
colorful slingshot,,Pink,Color,No,Yes,1,Normal,1000,20,1,2500,625,0,None,None,Pink,Aqua,1x1,Colorful Tools,NA,NA,Nook's Cranny,Available in Nook's Cranny (upgraded only),NA,NA,No,NA,No lighting,For sale,1.0.0,Yes,ToolSlingshotColorful_Remake_3_0,3_0,8580,GBqsH5XYgDHk8wGAz
colorful slingshot,,Green,Color,No,Yes,1,Normal,1000,20,1,2500,625,0,None,None,Green,Blue,1x1,Colorful Tools,NA,NA,Nook's Cranny,Available in Nook's Cranny (upgraded only),NA,NA,No,NA,No lighting,For sale,1.0.0,Yes,ToolSlingshotColorful_Remake_4_0,4_0,8580,qq67sn4aq9w7w9Ga2
colorful slingshot,,Purple,Color,No,Yes,1,Normal,1000,20,1,2500,625,0,None,None,Purple,Pink,1x1,Colorful Tools,NA,NA,Nook's Cranny,Available in Nook's Cranny (upgraded only),NA,NA,No,NA,No lighting,For sale,1.0.0,Yes,ToolSlingshotColorful_Remake_5_0,5_0,8580,2JHaGhkbpoa4qbhge
colorful slingshot,,White,Color,No,Yes,1,Normal,1000,20,1,2500,625,0,None,None,White,Red,1x1,Colorful Tools,NA,NA,Nook's Cranny,Available in Nook's Cranny (upgraded only),NA,NA,No,NA,No lighting,For sale,1.0.0,Yes,ToolSlingshotColorful_Remake_6_0,6_0,8580,cQYdSQ4MzKcnYAyc8
colorful slingshot,,Gray,Color,No,Yes,1,Normal,1000,20,1,2500,625,0,None,None,Black,Green,1x1,Colorful Tools,NA,NA,Nook's Cranny,Available in Nook's Cranny (upgraded only),NA,NA,No,NA,No lighting,For sale,1.0.0,Yes,ToolSlingshotColorful_Remake_7_0,7_0,8580,KiTQgsCkJSTq6ssm6
colorful watering can,,Yellow,Color,No,Yes,1,Normal,1000,60,1,2500,625,0,None,None,Yellow,Blue,1x1,Colorful Tools,NA,NA,Nook's Cranny,Available in Nook's Cranny (upgraded only),NA,NA,Yes,NA,No lighting,For sale,1.0.0,Yes,ToolWateringColorful_Remake_0_0,0_0,8534,35yzBzko3wrMwHjST
colorful watering can,,Orange,Color,No,Yes,1,Normal,1000,60,1,2500,625,0,None,None,Red,Green,1x1,Colorful Tools,NA,NA,Nook's Cranny,Available in Nook's Cranny (upgraded only),NA,NA,Yes,NA,No lighting,For sale,1.0.0,Yes,ToolWateringColorful_Remake_1_0,1_0,8534,ngYPKLyn5xXawzas3
colorful watering can,,Blue,Color,No,Yes,1,Normal,1000,60,1,2500,625,0,None,None,Blue,Orange,1x1,Colorful Tools,NA,NA,Nook's Cranny,Available in Nook's Cranny (upgraded only),NA,NA,Yes,NA,No lighting,For sale,1.0.0,Yes,ToolWateringColorful_Remake_2_0,2_0,8534,QxhyiwvJWyAShwyhJ
colorful watering can,,Pink,Color,No,Yes,1,Normal,1000,60,1,2500,625,0,None,None,Pink,Aqua,1x1,Colorful Tools,NA,NA,Nook's Cranny,Available in Nook's Cranny (upgraded only),NA,NA,Yes,NA,No lighting,For sale,1.0.0,Yes,ToolWateringColorful_Remake_3_0,3_0,8534,yuB5QpzCg94HN6u4g
colorful watering can,,Green,Color,No,Yes,1,Normal,1000,60,1,2500,625,0,None,None,Green,Yellow,1x1,Colorful Tools,NA,NA,Nook's Cranny,Available in Nook's Cranny (upgraded only),NA,NA,Yes,NA,No lighting,For sale,1.0.0,Yes,ToolWateringColorful_Remake_4_0,4_0,8534,q3p2jaJBt5gD2HRkZ
colorful watering can,,Purple,Color,No,Yes,1,Normal,1000,60,1,2500,625,0,None,None,Purple,Green,1x1,Colorful Tools,NA,NA,Nook's Cranny,Available in Nook's Cranny (upgraded only),NA,NA,Yes,NA,No lighting,For sale,1.0.0,Yes,ToolWateringColorful_Remake_5_0,5_0,8534,fAm9eEkidwn5LSjSd
colorful watering can,,White,Color,No,Yes,1,Normal,1000,60,1,2500,625,0,None,None,White,Orange,1x1,Colorful Tools,NA,NA,Nook's Cranny,Available in Nook's Cranny (upgraded only),NA,NA,Yes,NA,No lighting,For sale,1.0.0,Yes,ToolWateringColorful_Remake_6_0,6_0,8534,4ySFWfB9G3KCq8sKf
colorful watering can,,Gray,Color,No,Yes,1,Normal,1000,60,1,2500,625,0,None,None,Black,Yellow,1x1,Colorful Tools,NA,NA,Nook's Cranny,Available in Nook's Cranny (upgraded only),NA,NA,Yes,NA,No lighting,For sale,1.0.0,Yes,ToolWateringColorful_Remake_7_0,7_0,8534,yLHsKfxS39qTMyZ67
cosmos wand,,NA,NA,Yes,No,NA,None,NA,Unlimited,1,NFS,1580,0,None,None,White,Green,1x1,None,NA,NA,Crafting,,NA,NA,No,NA,No lighting,Not for sale,1.0.0,Yes,ToolStickCosmos,NA,5092,vNqGM6xMEtteYKoza
dumbbell,,Black,Color,No,No,NA,None,1000,Unlimited,1,1600,400,151,None,None,Black,Gray,1x1,None,NA,NA,Group Stretching,Sent in the mail after doing group stretches on 20 different days,NA,NA,No,NA,No lighting,For sale,2.0.0,Yes,ToolDumbbellPlayer_Remake_0_0,0_0,14539,4YAs6yXya4GqF6sga
dumbbell,,White,Color,No,No,NA,None,1000,Unlimited,1,1600,400,151,None,None,White,Gray,1x1,None,NA,NA,Group Stretching,Sent in the mail after doing group stretches on 20 different days,NA,NA,No,NA,No lighting,For sale,2.0.0,Yes,ToolDumbbellPlayer_Remake_1_0,1_0,14539,Znj3RwmqymBRHWHHs
dumbbell,,Red,Color,No,No,NA,None,1000,Unlimited,1,1600,400,151,None,None,Red,Gray,1x1,None,NA,NA,Group Stretching,Sent in the mail after doing group stretches on 20 different days,NA,NA,No,NA,No lighting,For sale,2.0.0,Yes,ToolDumbbellPlayer_Remake_2_0,2_0,14539,hgCZhGJYpxQidbv9y
dumbbell,,Yellow,Color,No,No,NA,None,1000,Unlimited,1,1600,400,151,None,None,Yellow,Gray,1x1,None,NA,NA,Group Stretching,Sent in the mail after doing group stretches on 20 different days,NA,NA,No,NA,No lighting,For sale,2.0.0,Yes,ToolDumbbellPlayer_Remake_3_0,3_0,14539,PvWzAAN9jZDaEud6G
dumbbell,,Gold,Color,No,No,NA,None,1000,Unlimited,1,1600,400,151,None,None,Yellow,Yellow,1x1,None,NA,NA,Group Stretching,Sent in the mail after doing group stretches on 20 different days,NA,NA,No,NA,No lighting,For sale,2.0.0,Yes,ToolDumbbellPlayer_Remake_4_0,4_0,14539,pehfi3pEXGMzyKLMj
dumbbell,,Silver,Color,No,No,NA,None,1000,Unlimited,1,1600,400,151,None,None,Gray,Gray,1x1,None,NA,NA,Group Stretching,Sent in the mail after doing group stretches on 20 different days,NA,NA,No,NA,No lighting,For sale,2.0.0,Yes,ToolDumbbellPlayer_Remake_5_0,5_0,14539,ydC7jwrwffn5zaLKi
duster,,NA,NA,No,No,NA,None,NA,Unlimited,1,1100,275,0,None,None,Beige,Brown,1x1,None,NA,NA,Nook's Cranny,,NA,NA,No,NA,No lighting,For sale,2.0.0,Yes,ToolDusterPlayer,NA,14643,w4PXxKfjWWyJ5hQmt
elephant watering can,,Gray,Color,No,Yes,1,Normal,1000,60,1,2500,625,0,None,None,Gray,Gray,1x1,None,NA,NA,Nook's Cranny,Available in Nook's Cranny (upgraded only),NA,NA,Yes,NA,No lighting,For sale,1.0.0,Yes,ToolWateringElephant_Remake_0_0,0_0,8535,AjAhCPjQAreLmqKCB
elephant watering can,,Green,Color,No,Yes,1,Normal,1000,60,1,2500,625,0,None,None,Green,Green,1x1,None,NA,NA,Nook's Cranny,Available in Nook's Cranny (upgraded only),NA,NA,Yes,NA,No lighting,For sale,1.0.0,Yes,ToolWateringElephant_Remake_1_0,1_0,8535,JBApgvSrYbJcSmsd2
elephant watering can,,Blue,Color,No,Yes,1,Normal,1000,60,1,2500,625,0,None,None,Blue,Blue,1x1,None,NA,NA,Nook's Cranny,Available in Nook's Cranny (upgraded only),NA,NA,Yes,NA,No lighting,For sale,1.0.0,Yes,ToolWateringElephant_Remake_2_0,2_0,8535,HcqA5ggg9XBLsfYNK
