#,Name,Image,Type,Source,Season,Reorderable,Buy Price (Bells),Buy Price (Medals),Sell Price (Re-Tail),Sell Price (Nooklings),Sell Price (Leila),HHA Base Points,Series,HHA Theme Challenge,When HHA Lucky,Color 1,Color 2,Fashion,Gender,Category,Catalog Keyword,DLC Exclusive,Name (English EU),Name (Japanese),Name (Spanish NA),Name (Spanish EU),Name (French),Name (German),Name (Italian),Name (Korean),Version Added,Hex ID (1.0),Hex ID (1.4),Model Filename,Name (NH),Name (HHD),Name (PC)
011,black-denim pants,,Pants,Able Sisters,-,Yes,480,-,120,96,6,3,-,-,-,black,black,basic,Unisex,-,,No,-,くろいデニム,pantalón denim negro,pantalón denim negro,pantalon jean noir,Schwarzjeanshose,paio jeans neri,검정 데님 바지,1.0,26DF,275E,btms_denim_blk,,,black-denim pants
012,black-denim skirt,,Skirt,Able Sisters,-,Yes,480,-,120,96,6,3,-,-,-,black,black,basic,Female,-,,No,-,くろいデニムスカート,falda denim negra,falda denim negra,jupe en jean noire,Schwarzjeansrock,gonna di jeans nera,검정 데님 스커트,1.0,26DC,275B,btms_denim_blk_skt,,,black-denim skirt
013,blue boxing shorts,,Short,Able Sisters,-,Yes,400,-,100,80,5,3,-,-,-,gray,blue,sporty,Unisex,-,,No,-,あおいボクサーパンツ,bermuda azul,bermuda azul,short de boxe bleu,Blauboxerhose,p. berm. boxe blu,파란 복서 팬츠,1.0,2691,2710,btms_boxing_blu,,,-
014,blue gym shorts,,Short,Able Sisters,Summer,Yes,320,-,80,64,4,3,-,-,-,blue,blue,sporty,Unisex,-,,No,-,あおいたいそうズボン,bermuda sport azul,bermuda sport azul,short sport bleu,Jogginghose,p. bermuda sport blu,파란 체육복 바지,1.0,26AC,272B,btms_gym_blu,,,-
015,blue pj bottoms,,Pants,Able Sisters,-,Yes,240,-,60,48,3,3,-,-,-,aqua,aqua,basic,Male,V-Striped,,No,-,あおパジャマズボン,pantalón pijama azul,pantalón pijama azul,pantalon pyj. bleu,Jungen-Pyjamahose,pantal. pigiama blu,파란 파자마 바지,1.0,26EA,2769,btms_pajama_blu,,,-
016,blue polka shorts,,Short,Able Sisters,-,Yes,400,-,100,80,5,3,-,Trendy,-,blue,aqua,cute,Male,Dotted,,No,-,ドットがらたんパン,bermuda topos azul,bermuda topos azul,short à pois bleu,Blaupünktchenhose,p. bermuda blu notte,도트무늬 반바지,1.0,26A7,2726,btms_half_dot,,,blue polka shorts
017,blue warm-up pants,,Pants,Able Sisters,-,Yes,480,-,120,96,6,3,-,-,-,blue,blue,sporty,Unisex,-,,No,-,あおジャージズボン,pantalón sport azul,pantalón sport azul,pantalon survêt bleu,Läuferhose,pantalone tuta blu,파란 트레이닝 바지,1.0,26B2,2731,btms_jersey_blu,,,-
018,blue-grid skirt,,Skirt,Able Sisters,Summer,Yes,360,-,90,72,4,3,-,-,-,aqua,beige,basic,Female,Plaid,,No,-,みずいろこうしのスカート,falda reja azul,falda reja azul,jupe grille bleue,Gitterrock,gonna biancoblu,하늘색 체크무늬 치마,1.0,26A9,2728,btms_grid_blu,,,-
019,blue-stripe pants,,Pants,Able Sisters,-,Yes,480,-,120,96,6,3,-,-,-,blue,blue,basic,Unisex,H-Striped,,No,-,あおいボーダーパンツ,pantalón playa azul,pantalón playa azul,pantalon rayé bleu,Blauringelhose,pantalone grigioblu,파란 줄무늬 바지,1.0,26E7,2766,btms_border_blu,,,-
020,blue-zap pants,,Pants,Able Sisters,-,Yes,800,-,200,160,10,3,blue superhero,Sci-Fi / Toy Shop,-,white,blue,sporty,Male,-,,No,-,ヒーローズボンB,superpantalón azul,superpantalón azul,pantalon héros bleu,Blauheldenhose,pantalone eroe blu,히어로 바지 B,1.0,26AF,272E,btms_hero_blu,,,-
021,bone pants,,Pants,Able Sisters,-,Yes,480,-,120,96,6,3,-,Quirky,-,black,white,rock 'n' roll,Unisex,Nature,,No,-,ボーンなズボン,pantalón esqueleto,pantalón esqueleto,pantalon os,Knochenhose,pantalone ossa,뼈다귀 바지,1.0,268D,270C,btms_bone,,,bone pants
022,brown argyle skirt,,Skirt,GracieGrace,-,No,"3,600",-,900,-,45,251,-,-,-,black,brown,iconic,Female,Argyle,,No,-,アーガイルスカート,falda rombos marrón,falda pija marrón,jupe écossaise brune,Braun-Argyle-Rock,gonna a rombi beige,아가일 치마,1.0,26E2,2761,btms_argyle_brw,,,-
023,brown formal pants,,Pants,Able Sisters,-,Yes,480,-,120,96,6,3,-,-,-,brown,brown,official,Unisex,-,,No,-,ちゃいろフォーマルパンツ,pantalón lino marrón,pantalón lino marrón,pantalon chic brun,Cordhose,pantal. formale ocra,갈색 정장 바지,1.0,26ED,276C,btms_formal_brw,,,-
024,brown plaid shorts,,Short,GracieGrace,-,No,"3,600",-,900,-,45,251,-,-,-,brown,brown,basic,Unisex,Plaid,,No,-,ちゃいろハーフパンツ,bermuda tartán,bermuda tartán,short tartan brun,Braun-Karo-Hose,paio bermuda rame,갈색 반바지,1.0,26A4,2723,btms_halfcheck_brw,,,-
025,Callie pants,,Short,Cece's RV,-,No,"1,200",-,300,-,15,300,-,-,-,black,pink,rock 'n' roll,Female,-,,No,-,アオリのボトムス,bermuda de Mar,bermuda de Mar,short Ayo,Aioli-Hose,pantalone Stella,아오리 바지,1.4,-,2774,btms_spl_aori,,,-
026,cargo pants,,Pants,Able Sisters,-,Yes,480,-,120,96,6,3,-,-,-,green,green,rock 'n' roll,Unisex,-,,No,-,カーゴパンツ,pantalón cargo,pantalón cargo,pantalon cargo,Cargohose,pantalone con tasche,카고 바지,1.0,267B,26FA,btms_cargo,,,cargo pants
027,caveman shorts,,Short,Able Sisters,-,Yes,360,-,90,72,4,3,-,-,-,brown,yellow,historical,Male,Nature,,No,-,げんしじんなズボン,bermuda cavernícola,bermuda cavernícola,short caverne,Steinzeithose,paio bermuda sapiens,원시인 바지,1.0,2690,270F,btms_caveman,,,-
028,checkerboard skirt,,Skirt,Able Sisters,-,Yes,480,-,120,96,6,3,-,-,-,red,black,rock 'n' roll,Female,Plaid,,No,-,ギャンブラーなスカート,falda rojinegra,falda rojinegra,jupe rouge & noire,Spielrock,gonna a scacchi,갬블러 치마,1.0,26A2,2721,btms_gambler,,,-
029,chino pants,,Pants,Able Sisters,-,Yes,480,-,120,96,6,3,-,-,-,beige,beige,basic,Unisex,-,,No,-,チノパン,pantalón chino,pantalón chino,pantalon en toile,Khaki-Hose,pantalone beige,치노 팬츠,1.0,26C7,2746,btms_tino,,,-
030,corseted skirt,,Skirt,Able Sisters,-,Yes,480,-,120,96,6,3,-,Fairy Tale / Quirky,-,black,aqua,ornate,Female,-,,No,-,ゴシックなスカート,falda gótica,falda gótica,jupe corset,Korsettrock,gonna gotica,고딕풍 치마,1.0,26A8,2727,btms_gothic,,,-
031,cow pants,,Pants,GracieGrace,-,No,"3,600",-,900,-,45,251,-,-,-,white,black,flashy,Unisex,Animal,,No,-,ホルスタインなズボン,pantalón vaca,pantalón vaca,pantalon vache,Kuhhose,pantalone mucca,젖소무늬 바지,1.0,2685,2704,btms_anml_cow,,,-
032,cuffed pants,,Pants,Able Sisters,-,Yes,480,-,120,96,6,3,-,-,-,brown,aqua,cute,Male,-,,No,-,すそみせズボン,pantalón bajo vuelto,pantalón bajo vuelto,pantalon à revers,Umkrempelhose,pantalone risvolti,롤업 바지,1.0,26C4,2743,btms_shorten,,,cuffed pants
033,dapper skirt,,Skirt,Able Sisters,Winter,Yes,480,-,120,96,6,3,-,-,-,yellow,green,basic,Female,Plaid,,No,-,きいろツイードスカート,falda paseo oro,falda paseo oro,jupe pimpante,Alpaka-Rock,gonna festosa,노란색 트웨이드 치마,1.0,26CB,274A,btms_tweed_ylw,,,-
034,dark polka skirt,,Skirt,Able Sisters,Winter,Yes,480,-,120,96,6,3,-,-,-,black,colorful,modern,Female,Dotted,,No,-,くろマーブルスカート,falda topos noche,falda topos noche,jupe noire à pois,Ballonrock,gonna scura pois,검정 마블 치마,1.0,26BD,273C,btms_polka_blk,,,dark polka skirt
035,denim skirt,,Skirt,Able Sisters,-,Yes,480,-,120,96,6,3,-,-,-,blue,blue,sporty,Female,Argyle,,No,-,デニムスカート,falda vaquera,falda vaquera,jupe en jean,Bluejeansrock,gonna di jeans,데님 스커트,1.0,2683,2702,btms_denim_skirt,,,denim skirt
036,desert-camo pants,,Pants,Able Sisters,-,Yes,480,-,120,96,6,3,-,-,-,beige,brown,rock 'n' roll,Unisex,Nature,,No,-,デザートめいさいズボン,pantalón desierto,pantalón desierto,pantal. motif désert,Wüstenhose,pantal. mimetico oro,멋낸 밀리터리 바지,1.0,268F,270E,btms_camo_desert,,,-
037,dogtooth pants,,Pants,Able Sisters,Winter,Yes,480,-,120,96,6,3,-,-,-,black,gray,iconic,Unisex,Nature,,No,-,ちどりごうしのズボン,pantalón pata gallo,pantalón pata gallo,pantalon pied de coq,Pepita-Hose,pant. pied de poule,바람개비무늬 바지,1.0,267C,26FB,btms_hound,,,-
038,dragon leggings,,Pants,Able Sisters,Summer,Yes,320,-,80,64,4,3,-,Toy Shop,-,orange,black,sporty,Male,-,,No,-,ドラゴンレギンス,pantalón dragón,pantalón dragón,pantalon dragon,Drachenhose,pantalone drago,드래곤 레깅스,1.0,269F,271E,btms_dragon,,,-
039,dry-denim pants,,Pants,Able Sisters,-,Yes,480,-,120,96,6,3,-,-,-,blue,blue,basic,Male,-,,No,-,ノンウォッシュデニム,pantalón tejano,pantalón tejano,pantalon jean brut,Stonewashed-Hose,paio jeans scuri,논워싱 데님 바지,1.0,26DB,275A,btms_denim_nwash,,,dry-denim pants
040,dry-denim skirt,,Skirt,Able Sisters,-,Yes,480,-,120,96,6,3,-,-,-,blue,blue,rock 'n' roll,Female,-,,No,-,ノンウォッシュスカート,falda tejana,falda tejana,jupe en jean brut,Stonewashed-Rock,gonna di jeans scura,논워싱 치마,1.0,26E5,2764,btms_denim_n_skt,,,dry-denim skirt
041,emerald polka skirt,,Skirt,Able Sisters,-,Yes,600,-,150,120,7,3,-,-,-,blue,green,cute,Female,Dotted,,No,-,エメラルドドットスカート,falda esmeralda,falda esmeralda,jupe à pois émeraude,Türkis-Pünktchenrock,gonna turchese,에메랄드 도트 치마,1.0,26E1,2760,btms_dot_emg,,,-
042,explorer pants,,Short,Able Sisters,-,Yes,360,-,90,72,4,3,explorer,-,-,beige,beige,sporty,Male,-,,No,-,たんけんズボン,bermuda explorador,bermuda explorador,short aventure,Safarihose,p. bermuda esplorat.,탐험 바지,1.0,26A0,271F,btms_explorer,,,explorer pants
043,Festivale pants,,Pants,Able Sisters,Summer,Yes,480,-,120,96,6,33,-,-,-,colorful,colorful,iconic,Unisex,-,,No,-,サンバなパンツ,pantalón de carnaval,pantalón de carnaval,pantalon carnaval,Karnevalshose,pantalone samba,삼바 팬츠,1.0,26E8,2767,btms_samba,,,-
044,firefighter pants,,Pants,Able Sisters,-,Yes,360,-,90,72,4,3,firefighter,-,-,black,yellow,sporty,Male,-,,No,-,しょうぼうズボン,pantalón de bombero,pantalón de bombero,pantalon pompier,Feuerwehrhose,pantalone pompiere,소방관 바지,1.0,26A1,2720,btms_firefighter,,,-
045,flame pants,,Pants,Able Sisters,-,Yes,360,-,90,72,4,3,-,-,-,black,red,rock 'n' roll,Unisex,-,,No,-,ファイアーなズボン,pantalón fuego,pantalón fuego,pantalon flamme,Flammenhose,pantalone fiamma,파이어 바지,1.0,269D,271C,btms_fire,,,-
046,frog-costume pants,,Pants,Able Sisters,-,Yes,600,-,150,120,7,3,frog,-,-,green,green,cute,Unisex,Animal,,No,-,カエルなズボン,pantalón rana,pantalón rana,bas grenouille,Froschhose,pantalone rana,개구리 바지,1.0,2698,2717,btms_cstm_frog,,,frog-costume pants
047,funky-dot skirt,,Skirt,Able Sisters,-,Yes,360,-,90,72,4,3,-,Trendy,-,pink,purple,cute,Female,Dotted,,No,-,パープルドットスカート,falda topos lila,falda topos lila,jupe points,Funky-Rock,gonna pois lilla,보라색 도트 치마,1.0,269C,271B,btms_dot_ppl,,,-
048,Ganondorf pants,,Pants,Ganon's RV,-,No,"1,200",-,300,-,15,300,-,Toy Shop,-,brown,brown,iconic,Unisex,-,,No,-,ガノンドロフのズボン,pantalón Ganondorf,pantalón Ganondorf,pantalon Ganondorf,Ganondorf-Hose,pantalone Ganondorf,가논돌프 바지,1.4,-,2772,btms_nin_ganondorf,,,-
049,genie pants,,Pants,Able Sisters,-,Yes,360,-,90,72,4,3,genie,-,-,red,white,iconic,Male,-,,No,-,ペルシャなズボン,pantalón persa,pantalón persa,pantalon persan,Orient-Hose,pantalone persiano,페르시아 바지,1.0,26BC,273B,btms_persian,,,-
050,giraffe pants,,Pants,GracieGrace,-,No,"3,600",-,900,-,45,251,-,-,-,yellow,brown,flashy,Unisex,Animal,,No,-,キリンのズボン,pantalón jirafa,pantalón jirafa,pantalon girafe,Giraffenhose,pantalone giraffa,기린무늬 바지,1.0,2686,2705,btms_anml_giraffe,,,-
051,gold-armor pants,,Pants,Able Sisters,Fall,Yes,800,-,200,160,10,3,centurion,Antique / Quirky,-,yellow,yellow,historical,Male,-,,No,-,きんのすねあて,greba de oro,greba de oro,pantalon plates or,Goldrüstungshose,pantal. armatura oro,금갑 정강이 보호대,1.0,268A,2709,btms_armor_gld,,,-
052,grass skirt,,Skirt,Able Sisters,-,Yes,480,-,120,96,6,3,-,Harmonious / Rustic,-,brown,red,iconic,Unisex,-,,No,-,こしみの,falda de paja,falda de paja,jupe savane,Baströckchen,gonna fieno,도롱이 하의,1.0,26D8,2757,btms_koshimino,,,-
053,gray formal pants,,Pants,Able Sisters,-,Yes,480,-,120,96,6,3,-,-,-,gray,gray,official,Male,-,,No,-,グレーフォーマルパンツ,pantalón lino gris,pantalón lino gris,pantalon chic gris,Bundfaltenhose,pantal. form. grigio,회색 정장 바지,1.0,26D1,2750,btms_formal_gry,,,gray formal pants
054,gray formal skirt,,Skirt,Able Sisters,-,Yes,360,-,90,72,4,3,-,-,-,gray,gray,basic,Female,-,,No,-,グレーのスカート,falda lino gris,falda lino gris,jupe chic grise,Graurock,gonna formale grigia,회색 치마,1.0,26F1,2770,btms_formal_skt_gry,,,gray formal skirt
055,gray sweatpants,,Pants,Able Sisters,-,Yes,480,-,120,96,6,3,-,-,-,gray,gray,basic,Unisex,-,,No,-,グレーのスウェットパンツ,pantalón cómodo gris,pantalón cómodo gris,pantalon gris,Sofahose,pantal. tuta grigia,회색 스웨트 팬츠,1.0,269A,2719,btms_sweat_gry,,,-
056,gray tartan skirt,,Skirt,Able Sisters,-,Yes,360,-,90,72,4,3,-,-,-,gray,white,iconic,Female,Plaid,,No,-,グレータータンのスカート,falda tartán gris,falda tartán gris,jupe tartan grise,Tartanrock,gonna tartan nera,회색 타탄 치마,1.0,26C8,2747,btms_tartan_gry,,,-
057,gray-stripe pants,,Pants,Able Sisters,-,Yes,480,-,120,96,6,3,-,-,-,gray,gray,basic,Unisex,H-Striped,,No,-,グレーのボーダーパンツ,pantalón rayas gris,pantalón rayas gris,pantalon rayé gris,Grauringelhose,pantalone comodo,회색 줄무늬 바지,1.0,26DE,275D,btms_border_gry,,,-
058,green gingham shorts,,Short,Toby's RV,-,No,"1,200",-,300,-,15,300,-,Fairy Tale / Toy Shop,-,green,green,cute,Unisex,Plaid,,No,-,けろけろけろっぴなズボン,pantalón jardín zen,pantalón jardín zen,bas Kerokerokeroppi,Teich-Hose,pantalone ranocchio,케로케로케로피 바지,1.4,-,2773,btms_snr_keroppi,,,-
059,green gym shorts,,Short,Able Sisters,-,Yes,320,-,80,64,4,3,-,-,-,green,green,sporty,Unisex,-,,No,-,みどりのたいそうズボン,bermuda sport verde,bermuda sport verde,short sport vert,Sporthose,p. berm. sport verdi,초록 체육복 바지,1.0,26AD,272C,btms_gym_grn,,,-
060,green plaid shorts,,Short,Able Sisters,-,Yes,360,-,90,72,4,3,-,-,-,green,green,cute,Unisex,-,,No,-,みどりのハーフパンツ,bermuda cuadros,bermuda cuadros,short tartan vert,Grün-Karo-Hose,p. bermuda scozzesi,초록 반바지,1.0,269E,271D,btms_halfcheck_grn,,,green plaid shorts
061,green tartan pants,,Pants,Able Sisters,-,Yes,480,-,120,96,6,3,-,-,-,green,black,basic,Unisex,Plaid,,No,-,みどりのタータンパンツ,pantalón tartán jade,pantalón tartán jade,pantalon tartan vert,Kontrast-Karo-Hose,pantal. tartan verde,초록색 타탄 바지,1.0,26E4,2763,btms_tartan_grn,,,green tartan pants
062,green warm-up pants,,Pants,Able Sisters,-,Yes,480,-,120,96,6,3,-,-,-,green,green,sporty,Unisex,-,,No,-,みどりジャージズボン,pantalón sport verde,pantalón sport verde,pantalon survêt vert,Waldlaufhose,pantalone tuta verde,녹색 트레이닝 바지,1.0,26B3,2732,btms_jersey_grn,,,-
063,green-zap pants,,Pants,Able Sisters,-,Yes,800,-,200,160,10,3,green superhero,Sci-Fi / Toy Shop,-,white,green,sporty,Male,-,,No,-,ヒーローズボンG,superpantalón verde,superpantalón verde,pantalon héros vert,Grünheldenhose,pantalone eroe verde,히어로 바지 G,1.0,26B0,272F,btms_hero_grn,,,-
064,hero's pants,,Pants,Fortune,-,No,-,-,210,-,10,151,hero,Antique / Toy Shop,-,white,white,iconic,Male,-,,No,-,ゆうしゃのズボン,pantalón del héroe,pantalón del héroe,pantalon héroïque,Heldenhose,pantalone Link,용사 바지,1.0,2680,26FF,btms_nin_link,,,-
065,high-spirits pants,,Short,Holden's RV,-,No,"1,200",-,300,-,15,300,-,-,-,red,red,rock 'n' roll,Unisex,-,,Yes,-,ノリノリなズボン,pantalón buen humor,pantalón buen humor,short radieux,Übermut-Hose,pantalone euforico,하이 스피릿 바지,1.4,-,2775,btms_fueki,,,-
066,hot spring skirt,,Skirt,Able Sisters,Spring,Yes,480,-,120,96,6,3,-,Fairy Tale,-,pink,beige,iconic,Female,Nature,,No,-,ピンクチャイナスカート,falda rocío,falda rocío,jupe iris mauve,Seidenrock,gonna rosa vivo,중국풍 핑크 치마,1.0,2695,2714,btms_china_pnk,,,-
067,imperial pants,,Pants,Able Sisters,-,Yes,480,-,120,96,6,3,imperial,Harmonious,-,red,red,iconic,Unisex,-,,No,-,ちゅうかなズボン,pantalón imperial,pantalón imperial,pantalon Chine,Rotseidenhose,pantalone cinese,중국풍 바지,1.0,2696,2715,btms_chinese,,,-
068,jester pants,,Pants,Able Sisters,Spring,Yes,480,-,120,96,6,3,jester,Toy Shop,-,purple,yellow,flashy,Unisex,V-Striped,,No,-,ピエロのズボン,pantalón de bufón,pantalón de bufón,pantalon bouffon,Narrenhose,pantalone giullare,피에로 바지,1.0,26B5,2734,btms_jester,,,-
069,jinbei shorts,,Short,Able Sisters,-,Yes,360,-,90,72,4,3,-,Harmonious,-,gray,blue,iconic,Male,V-Striped,,No,-,じんべいのズボン,bermuda batín,bermuda batín,short jinbei,Jimbei-Hose,p. bermuda giapp.,동양풍 여름옷 바지,1.0,26C2,2741,btms_jinbe,,,-
070,jungle-camo pants,,Pants,Able Sisters,-,Yes,640,-,160,128,8,3,soldier,-,-,green,brown,rock 'n' roll,Unisex,-,,No,-,めいさいパンツ,pantalón camuflaje,pantalón camuflaje,pantalon mot. jungle,Dschungelhose,pantalone mimetico,밀리터리 바지,1.0,267A,26F9,btms_camo,,,-
071,jungle-camo shorts,,Short,Able Sisters,-,Yes,640,-,160,128,8,3,soldier,-,-,green,brown,rock 'n' roll,Unisex,-,,No,-,めいさいハーフパンツ,bermuda camuflaje,bermuda camuflaje,short motif jungle,Dschungel-Sporthose,p. bermuda mimetici,밀리터리 반바지,1.0,2679,26F8,btms_camo,,,jungle-camo shorts
072,kappa-costume pants,,Pants,Souvenir Shop,-,No,-,15,187,149,9,199,turtle,-,-,green,green,flashy,Unisex,Animal,,No,-,カッパなズボン,pantalón kappa,pantalón kappa,bas kappa,Käpten-Hose,pantalone tartaruga,거북이 바지,1.0,2699,2718,btms_cstm_kappa,,,-
073,kilt,,Skirt,Able Sisters,-,Yes,600,-,150,120,7,3,-,-,-,purple,purple,iconic,Male,-,,No,-,キルト,kilt,kilt,kilt,Kilt,kilt,킬트,1.0,26C5,2744,btms_kilt,,,kilt
074,kung-fu pants,,Pants,Able Sisters,-,Yes,360,-,90,72,4,3,-,Harmonious,-,black,black,sporty,Male,-,,No,-,カンフーなズボン,pantalón kung-fu,pantalón kung-fu,pantalon kung-fu,Kung-Fu-Hose,pantalone kung-fu,쿵푸 바지,1.0,26B6,2735,btms_kungfu,,,-
075,leopard pants,,Pants,Able Sisters,-,Yes,480,-,120,96,6,3,-,-,-,yellow,brown,rock 'n' roll,Male,Animal,,No,-,ヒョウがらのズボン,pantalón leopardo,pantalón leopardo,pantalon léopard,Leopardenhose,pantalone leopardo,표범무늬 바지,1.0,2681,2700,btms_anml_leopard,,,-
076,leopard skirt,,Skirt,Able Sisters,-,Yes,480,-,120,96,6,3,-,-,-,yellow,brown,rock 'n' roll,Female,Animal,,No,-,ヒョウがらのスカート,falda leopardo,falda leopardo,jupe léopard,Leopardenrock,gonna leopardo,표범무늬 치마,1.0,2682,2701,btms_anml_leo_skt,,,-
077,lite polka skirt,,Skirt,Able Sisters,-,Yes,480,-,120,96,6,3,-,-,-,white,colorful,cute,Female,Dotted,,No,-,しろマーブルなスカート,falda topos día,falda topos día,jupe blanche à pois,Konfettirock,gonna tenue pois,하얀 마블 치마,1.0,2684,2703,btms_polka_wht,,,lite polka skirt
078,matador's pants,,Pants,GracieGrace,Winter,No,"3,600",-,900,-,45,299,-,-,-,black,orange,sporty,Male,-,,No,Iberian pants,とうぎゅうしのズボン,pantalón de luces,pantalón de luces,pantalon ibérique,Matadorhose,pantalone da torero,투우사 바지,1.0,268B,270A,btms_matador,,,-
079,military pants,,Pants,Able Sisters,-,Yes,600,-,150,120,7,3,-,Antique,-,green,green,official,Male,-,,No,-,へいたいズボン,pantalón militar,pantalón militar,pantalon militaire,Militärhose,pantalone militare,군인 바지,1.0,26B8,2737,btms_military,,,-
080,mint gingham skirt,,Skirt,Able Sisters,-,Yes,480,-,120,96,6,3,-,-,-,green,brown,basic,Female,Plaid,,No,-,ミントギンガムなスカート,falda vichy menta,falda vichy menta,jupe vichy menthe,Mint-Karo-Rock,gonna menta,민트 깅엄 치마,1.0,26A6,2725,btms_gingham_mint,,,-
081,mummy pants,,Pants,Able Sisters,-,Yes,480,-,120,96,6,3,mummy,Quirky,-,white,white,flashy,Male,-,,No,-,ほうたいパンツ,pantalón de momia,pantalón de momia,pantalon momie,Mumienhose,pantalone mummia,붕대 바지,1.0,26B9,2738,btms_mummy,,,mummy pants
082,natty skirt,,Skirt,Able Sisters,Summer,Yes,480,-,120,96,6,3,-,Fairy Tale,-,pink,blue,cute,Female,Plaid,,No,-,ピンクツイードスカート,falda paseo rosa,falda paseo rosa,jupe filet,Mohair-Rock,gonna di classe,핑크 트웨이드 치마,1.0,26CA,2749,btms_tweed_pnk,,,natty skirt
083,navy formal pants,,Pants,Able Sisters,-,Yes,480,-,120,96,6,3,-,-,-,blue,blue,official,Male,-,,No,-,こんいろフォーマルパンツ,pantalón lino azul,pantalón lino azul,pantalon chic marine,Nachtblauhose,pantal. formale blu,남색 정장 바지,1.0,26D2,2751,btms_formal_nvy,,,navy formal pants
084,navy formal skirt,,Skirt,Able Sisters,-,Yes,360,-,90,72,4,3,-,-,-,blue,blue,basic,Female,-,,No,-,こんいろスカート,falda lino azul,falda lino azul,jupe chic marine,Nachtblaurock,gonna formale blu,남색 치마,1.0,26F2,2771,btms_formal_skt_nvy,,,navy formal skirt
085,new spring skirt,,Skirt,Able Sisters,Spring,Yes,480,-,120,96,6,3,-,-,-,purple,pink,iconic,Female,Nature,,No,-,ブルーチャイナスカート,falda escarcha,falda escarcha,jupe iris bleue,Satinrock,gonna violette,중국풍 파란 치마,1.0,2694,2713,btms_china_blu,,,-
086,ninja pants,,Pants,Able Sisters,-,Yes,480,-,120,96,6,3,ninja,-,-,blue,blue,historical,Male,-,,No,-,しのびのズボン,pantalón de ninja,pantalón de ninja,pantalon ninja,Ninjahose,pantalone ninja,닌자 바지,1.0,26BB,273A,btms_ninja,,,-
