#,Name,Image,Type,Source,Season,Reorderable,Buy Price (Bells),Buy Price (Medals),Sell Price (Re-Tail),Sell Price (Nooklings),Sell Price (Leila),HHA Base Points,Series,HHA Theme Challenge,When HHA Lucky,Color 1,Color 2,Fashion,Gender,Category,Catalog Keyword,Name (1.0),Name (English EU),Name (Japanese),Name (Spanish NA),Name (Spanish EU),Name (French NA),Name (French EU),Name (German),Name (Italian),Name (Korean),Version Added,Hex ID (1.0),Hex ID (1.4),Hex ID [Wall] (1.4),Model Filename,New To Series,Name (GCN),Name (WW),Name (CF),Name (NH),Name (HHD),Name (PC)
013,armor suit,,Shirt,Able Sisters,-,Yes,400,-,100,80,5,3,knight,Antique / Quirky,-,gray,gray,historical,Male,Argyle,,-,-,てつのかっちゅう,coraza,coraza,cuirasse de plates,cuirasse de plates,Silberrüstungshemd,armatura,철갑옷,1.0,252E,257B,35B4,tops_armor,No,,,armor suit,,,armor suit
014,aurora knit shirt,,Shirt,Able Sisters,Winter,Yes,380,-,95,76,4,3,-,-,-,white,colorful,cute,Unisex,Nature,,-,-,レインボーなニット,jersey psicodélico,jersey psicodélico,pull boréal,pull boréal,Wellenpulli,maglione aurora,무지개 니트,1.0,24C1,250E,3547,tops_knit_rainbow,Yes,,,-,,,aurora knit shirt
015,bad plaid shirt,,Shirt,Able Sisters,-,Yes,420,-,105,84,5,3,-,-,-,purple,yellow,iconic,Unisex,Plaid,,-,-,ふかいタータンのふくL,jersey cuadrados,jersey cuadrados,pull tartan mauve,pull tartan mauve,Cool-Pulli,maglia porpora,굵은 타탄 옷 L,1.0,25AF,25FC,3635,tops_tartan_deep,No,,,bad plaid shirt,,,-
016,bad plaid tee,,T-Shirt,Able Sisters,-,Yes,420,-,105,84,5,3,-,-,-,purple,yellow,iconic,Unisex,Plaid,,-,-,ふかいタータンのふく,camiseta cuadrados,camiseta cuadrados,t-shirt tartan mauve,t-shirt tartan mauve,Cool-Shirt,maglietta porpora,굵은 타탄 옷,1.0,24B2,24FF,3538,tops_tartan_deep,Yes,,,-,,,bad plaid tee
017,barber tee,,T-Shirt,Able Sisters,-,Yes,640,-,160,128,8,3,-,-,-,red,blue,flashy,Unisex,V-Striped,,-,-,バーバーなふく,camiseta tricolor,camiseta tricolor,t-shirt barbier,t-shirt barbier,Friseurshirt,maglietta barbiere,이발소무늬 옷,1.0,24AA,24F7,3530,tops_barber,Yes,,,-,,,barber tee
018,baseball shirt,,Shirt,Able Sisters,-,Yes,320,-,80,64,4,3,-,-,-,white,red,sporty,Male,Nature,,-,-,やきゅうのふく,jersey béisbol,jersey béisbol,pull baseball,pull baseball,Baseballtrikot,maglia baseball,야구복,1.0,2532,257F,35B8,tops_baseball,No,,,baseball shirt,,,-
019,basketball tank,,Tank Top,Able Sisters,Summer,Yes,420,-,105,84,5,3,-,-,-,black,yellow,sporty,Male,Manufactured,,-,-,バスケシャツ,top básquet,top básquet,débardeur basketball,débardeur basketball,Basketballtrikot,canotta basket,농구복 상의,1.0,256E,25BB,35F4,tops_basket,Yes,,,-,,,-
020,BB tee,,T-Shirt,Able Sisters,-,Yes,350,-,87,69,4,3,-,-,-,black,white,rock 'n' roll,Male,Manufactured,,-,-,BBのふく,camiseta BB,camiseta BB,t-shirt BB,t-shirt BB,BB-Shirt,maglietta BB,BB 옷,1.0,2459,24A6,34DF,tops_bb,Yes,,,-,,,BB tee
021,beaded shirt,,Shirt,Able Sisters,-,Yes,420,-,105,84,5,3,-,-,-,black,purple,ornate,Unisex,-,,-,-,ラメいりのふく,jersey cuentas,jersey cuentas,pull lamé,pull lamé,Paillettenpulli,maglia perlata,펄 들어간 옷,1.0,2522,256F,35A8,tops_lame,No,,,beaded shirt,,,-
022,beaded tank,,Tank Top,Able Sisters,Summer,Yes,280,-,70,56,3,3,-,-,-,black,purple,cute,Unisex,-,,-,-,ラメいりのふくN,top cuentas,top cuentas,débardeur lamé,débardeur lamé,Paillettentop,canotta perlata,펄 들어간 옷 N,1.0,25F3,2640,3679,tops_lame,Yes,,,-,,,-
023,bear costume,,Shirt,Able Sisters,-,Yes,640,-,160,128,8,3,bear,-,-,brown,beige,cute,Unisex,Animal,,-,-,クマなふく,jersey oso,jersey oso,haut ours,haut ours,Bärenpulli,maglia orso,곰 의상,1.0,2526,2573,35AC,tops_cstm_bear,Yes,,,-,,,-
024,bear shirt,,Shirt,Able Sisters,-,Yes,420,-,105,84,5,3,-,-,-,green,brown,cute,Unisex,Animal,,-,-,クマのふくL,jersey osito,jersey osito,pull ours,pull ours,Teddy-Pulli,maglia orsetto,곰 옷 L,1.0,25DB,2628,3661,tops_anml_bear,No,,,bear shirt,,,-
025,bear tee,,T-Shirt,Able Sisters,-,Yes,390,-,97,77,4,3,-,-,-,green,brown,cute,Unisex,Animal,,-,-,クマのふく,camiseta osito,camiseta osito,t-shirt ours,t-shirt ours,Teddy-Shirt,maglietta orsetto,곰 옷,1.0,245C,24A9,34E2,tops_anml_bear,Yes,,,-,,,-
026,beatnik shirt,,Shirt,Able Sisters,Fall,Yes,420,-,105,84,5,3,-,-,-,red,black,sporty,Male,H-Striped,,-,-,くろあかラガーシャツL,jersey beatnik,jersey beatnik,pull beatnik,pull beatnik,Beatnik-Pulli,maglia hipster,검정빨강 럭비 셔츠 L,1.0,25D6,2623,365C,tops_border_redblk,No,,,beatnik shirt,,,beatnik shirt
027,beatnik tank,,Tank Top,Able Sisters,Summer,Yes,280,-,70,56,3,3,-,-,-,red,black,sporty,Male,H-Striped,,-,-,くろあかラガーシャツN,top beatnik,top beatnik,débardeur beatnik,débardeur beatnik,Beatnik-Top,canotta hipster,검정빨강 럭비 셔츠 N,1.0,2605,2652,368B,tops_border_redblk,Yes,,,-,,,-
028,beatnik tee,,T-Shirt,Able Sisters,Spring,Yes,360,-,90,72,4,3,-,-,-,red,black,sporty,Male,H-Striped,,-,-,くろあかラガーシャツ,camiseta beatnik,camiseta beatnik,t-shirt beatnik,t-shirt beatnik,Beatnik-Shirt,maglietta hipster,검정빨강 럭비 셔츠,1.0,2489,24D6,350F,tops_border_redblk,Yes,,,-,,,beatnik tee
029,beige emblem blazer,,Shirt,Able Sisters,Fall,Yes,420,-,105,84,5,3,-,-,-,beige,beige,official,Unisex,Manufactured,,-,-,ベージュのブレザー,americana marrón,americana marrón,blazer emblème beige,blazer emblème beige,Landhaus-Blazer,giacca divisa beige,베이지색 블레이저,1.0,2576,25C3,35FC,tops_blazer_brw,Yes,,,-,,,beige emblem blazer
030,beige knit shirt,,Shirt,Able Sisters,Winter,Yes,320,-,80,64,4,3,-,-,-,beige,beige,historical,Unisex,Nature,,-,-,ベージュのニット,jersey formal,jersey formal,pull beige,pull beige,Schurwolljacke,maglione ambra,베이지색 니트,1.0,24C7,2514,354D,tops_knit_beige,Yes,,,-,,,beige knit shirt
031,big bro's tee,,T-Shirt,Able Sisters,-,Yes,320,-,80,64,4,3,-,Toy Shop,-,red,white,sporty,Male,Manufactured,,-,-,おにいさんのふく,camiseta M,camiseta M,t-shirt Mario,t-shirt Mario,Mario-Shirt,maglietta fratellone,형 옷,1.0,246E,24BB,34F4,tops_nin_bigbros,Yes,,,-,,,-
032,big-dot tank,,Tank Top,Able Sisters,Summer,Yes,280,-,70,56,3,3,-,-,-,yellow,white,basic,Unisex,Dotted,,-,-,きいろみずたまのふくN,top miel,top miel,débard. pois orange,débard. pois orange,Eiscreme-Top,canotta gialla pois,노란색 물방울 옷 N,1.0,2606,2653,368C,tops_dot_ylw,Yes,,,-,,,-
033,big-dot tee,,T-Shirt,Able Sisters,-,Yes,340,-,85,68,4,3,-,Trendy,-,yellow,white,basic,Unisex,Dotted,,-,-,きいろみずたまのふく,camiseta miel,camiseta miel,t-shirt pois orange,t-shirt pois orange,Eiscreme-Shirt,maglietta gial. pois,노란색 물방울 옷,1.0,249F,24EC,3525,tops_dot_ylw,Yes,,,-,,,big-dot tee
034,big-star tee,,T-Shirt,Able Sisters,-,Yes,400,-,100,80,5,3,-,-,-,purple,yellow,basic,Unisex,Manufactured,,-,-,いちばんぼしのふく,camiseta estrellón,camiseta estrellón,t-shirt étoile,t-shirt étoile,Nachtshirt,maglietta stellona,큰별 옷,1.0,2464,24B1,34EA,tops_mark_star,Yes,,,-,,,big-star tee
035,black anchor tee,,T-Shirt,Inkwell's RV,-,No,-,-,200,-,10,300,-,-,-,black,black,sporty,Unisex,-,,-,-,ガチブラック,camiseta ancla negra,camiseta ancla negra,t-shirt ancre noir,t-shirt ancre noir,Schwarzanker-Shirt,t-shirt ancora nera,리얼 블랙 티,1.4,-,266E,36A7,tops_spl_ika,Yes,,,-,,,-
036,black flannel shirt,,Shirt,Able Sisters,-,Yes,420,-,105,84,5,3,-,-,-,black,blue,basic,Unisex,Nature,,-,-,くろいネルシャツ,camisa franela negra,camisa franela negra,pull flanelle gris,pull flanelle gris,Flanellhemd,camicia grunge grig.,검정 플란넬 셔츠,1.0,2559,25A6,35DF,tops_nelshirts_blk,Yes,,,-,,,-
037,black letter jacket,,Shirt,Able Sisters,Winter,Yes,420,-,105,84,5,3,-,-,-,black,black,rock 'n' roll,Male,Manufactured,,-,-,くろいスタジャン,cazadora negra,cazadora negra,veste collège grise,veste collège grise,Collegejacke „B“,giacca college nera,검정 스포츠 점퍼,1.0,2554,25A1,35DA,tops_stajan_blk,Yes,,,-,,,black letter jacket
038,black track jacket,,Shirt,Able Sisters,-,Yes,420,-,105,84,5,3,-,-,-,black,pink,sporty,Unisex,-,,-,-,スポーツジャージ,sudadera sport negra,sudadera sport negra,veste survêt grise,veste survêt grise,Aufwärmjacke,maglia tuta nera,스포츠 트레이닝복,1.0,2575,25C2,35FB,tops_jersey_sport,Yes,,,-,,,black track jacket
039,black-denim jacket,,Shirt,Able Sisters,-,Yes,420,-,105,84,5,3,-,-,-,black,black,basic,Unisex,-,,-,-,くろいデニムジャケット,cazadora denim negra,cazadora denim negra,veste en jean noire,veste en jean noire,Schwarzjeansjacke,giacca di jeans nera,검정 데님 재킷,1.0,256D,25BA,35F3,tops_denim_blk,Yes,,,-,,,black-denim jacket
040,blossom tee,,T-Shirt,Able Sisters,Spring,Yes,370,-,92,73,4,3,-,Rustic / Fairy Tale,-,pink,pink,cute,Female,Nature,,-,-,ピンクはながらのふく,camiseta rosácea,camiseta rosácea,t-shirt fleuri,t-shirt fleuri,Blütenshirt,maglietta fioritura,핑크 꽃무늬 옷,1.0,2582,25CF,3608,tops_flw_pnk,Yes,,,-,,,blossom tee
041,blue aloha tee,,T-Shirt,Souvenir Shop,Summer,No,-,15,187,149,9,99,-,-,-,blue,blue,iconic,Unisex,Nature,,-,-,あおのアロハ,camiseta aloha azul,camiseta aloha azul,chemise Hawaï bleue,chemise Hawaï bleue,Aloha-Shirt,camicia aloha blu,파란 알로하셔츠,1.0,250F,255C,3595,tops_aloha_blu,Yes,,,-,,,blue aloha tee
042,blue argyle shirt,,Shirt,GracieGrace,Winter,No,"6,200",-,"1,550",-,77,251,-,-,-,blue,gray,iconic,Male,Argyle,,-,-,あおアーガイルのふくL,jersey rombos azul,jersey pijo azul,pull écossais bleu,pull écossais bleu,Blau-Argyle-Pulli,maglia rombi blu,파란 아가일 옷 L,1.0,24B9,2506,353F,tops_argyle_blu,Yes,,,-,,,blue argyle shirt
043,blue argyle tee,,T-Shirt,GracieGrace,-,No,"5,800",-,"1,450",-,72,251,-,-,-,blue,gray,iconic,Male,Argyle,,-,-,あおアーガイルのふく,camiseta rombos azul,camiseta pija azul,t-shirt écos. bleu,t-shirt écos. bleu,Blau-Argyle-Shirt,maglietta rombi blu,파란 아가일 옷,1.0,24BA,2507,3540,tops_argyle_blu,Yes,,,-,,,blue argyle tee
044,blue diamond shirt,,Shirt,Able Sisters,-,Yes,370,-,92,73,4,3,-,-,-,purple,pink,modern,Unisex,Nature,,-,-,ブルータイルなふくL,jersey de noche,jersey de noche,pull jacquard,pull jacquard,80er-Pulli,maglia nera rombi,블루 타일 옷 L,1.0,2586,25D3,360C,tops_tile_blu,Yes,,,-,,,-
045,blue diamond tee,,T-Shirt,Able Sisters,-,Yes,370,-,92,73,4,3,-,Trendy,-,blue,pink,modern,Unisex,Nature,,-,-,ブルータイルなふく,camiseta de noche,camiseta de noche,t-shirt jacquard,t-shirt jacquard,80er-Shirt,maglietta nera rombi,블루 타일 옷,1.0,25A1,25EE,3627,tops_tile_blu,Yes,,,-,,,blue diamond tee
046,blue down jacket,,Shirt,Able Sisters,Winter,Yes,520,-,130,104,6,3,-,-,-,blue,blue,basic,Male,-,,-,-,あおいダウンジャケット,chaqueta azul,chaqueta azul,doudoune bleue,doudoune bleue,Blaubeerpulli,golfino blu,파란 다운 재킷,1.0,2520,256D,35A6,tops_down_blu,Yes,,,-,,,blue down jacket
047,blue flannel shirt,,Shirt,Able Sisters,-,Yes,420,-,105,84,5,3,-,-,-,blue,black,basic,Unisex,Plaid,,-,-,あおいネルシャツ,camisa franela azul,camisa franela azul,pull flanelle bleu,pull flanelle bleu,Holzhackerhemd,camicia grunge blu,파란 플란넬 셔츠,1.0,2558,25A5,35DE,tops_nelshirts_blu,Yes,,,-,,,blue flannel shirt
048,blue gym tee,,T-Shirt,Able Sisters,Summer,Yes,420,-,105,84,5,3,-,-,-,white,blue,sporty,Unisex,-,,-,-,あおいたいそうふく,camiseta sport azul,camiseta sport azul,t-shirt sport bleu,t-shirt sport bleu,Joggingshirt,maglietta sport blu,파란 체육복,1.0,2534,2581,35BA,tops_gym_blu,Yes,,,-,,,-
049,blue jacket,,Shirt,Able Sisters,-,Yes,420,-,105,84,5,3,-,-,-,blue,blue,sporty,Unisex,-,,-,-,ネイビーレインウェア,chubasquero azul,chubasquero azul,veste bleue,veste bleue,Regenjacke,giacca pioggia blu,파란 우비,1.0,257D,25CA,3603,tops_rainware_nvy,Yes,,,-,,,-
050,blue letter jacket,,Shirt,Able Sisters,Winter,Yes,420,-,105,84,5,3,-,-,-,blue,blue,rock 'n' roll,Male,Manufactured,,-,-,あおいスタジャン,cazadora azul,cazadora azul,veste collège bleue,veste collège bleue,Collegejacke „K“,giacca college blu,파란 스포츠 점퍼,1.0,2553,25A0,35D9,tops_stajan_blu,Yes,,,-,,,blue letter jacket
051,blue nurse's uniform,,T-Shirt,Able Sisters,-,Yes,640,-,160,128,8,3,-,-,-,aqua,aqua,official,Unisex,-,,-,-,あおいかんごしのふく,blusa auxiliar azul,bata auxiliar azul,blouse d'infirmier,blouse d'infirmier,Krankenhauskittel,blusa infermiera blu,푸른 간호사 옷,1.4,-,265E,3697,tops_nurse_blue,Yes,,,-,,,-
052,blue pj shirt,,Shirt,Able Sisters,-,Yes,240,-,60,48,3,3,-,-,-,aqua,aqua,basic,Male,V-Striped,,-,-,あおパジャマ,pijama azul,pijama azul,haut pyjama bleu,haut pyjama bleu,Jungen-Pyjamajacke,maglia pigiama blu,파란 파자마,1.0,258F,25DC,3615,tops_pajama_blu,Yes,,,-,,,-
053,blue plaid shirt,,Shirt,Able Sisters,Fall,Yes,420,-,105,84,5,3,-,-,-,blue,aqua,modern,Unisex,Plaid,,-,-,ブルーチェックのふくL,jersey tartán azul,jersey tartán azul,pull nappe bleu,pull nappe bleu,Angora-Pulli,maglia inverno,블루 체크무늬 옷 L,1.0,25DD,262A,3663,tops_check_blu,Yes,,,-,,,-
054,blue plaid tee,,T-Shirt,Able Sisters,Fall,Yes,360,-,90,72,4,3,-,-,-,blue,aqua,modern,Unisex,Plaid,,-,-,ブルーチェックのふく,camiseta tartán azul,camiseta tartán azul,t-shirt nappe bleu,t-shirt nappe bleu,Angora-Shirt,maglietta inverno,블루 체크무늬 옷,1.0,24AC,24F9,3532,tops_check_blu,Yes,,,-,,,-
055,blue ringmaster coat,,Shirt,GracieGrace,-,No,"5,600",-,"1,400",-,70,299,-,Antique / Fairy Tale,-,blue,blue,ornate,Unisex,-,,-,-,あおいきへいたいのふく,casaca circense azul,casaca circense azul,veste Loyal bleue,veste Loyal bleue,Zirkusdirektorjacke,giacca circo blu,파란 기병대 옷,1.0,2579,25C6,35FF,tops_versailles_blu,Yes,,,-,,,blue ringmaster coat
056,blue tartan shirt,,Shirt,Able Sisters,Fall,Yes,420,-,105,84,5,3,-,-,-,aqua,white,cute,Unisex,Plaid,,-,-,シアンタータンのふくL,jersey tartán día,jersey tartán día,pull tartan bleu,pull tartan bleu,Sittichpulli,maglia tartan blu,3색 타탄 옷 L,1.0,25D9,2626,365F,tops_tartan_blu,Yes,,,-,,,blue tartan shirt
057,blue tartan tee,,T-Shirt,Able Sisters,Summer,Yes,390,-,97,77,4,3,-,-,-,aqua,white,official,Unisex,Plaid,,-,-,シアンタータンのふく,camiseta tartán día,camiseta tartán día,t-shirt tartan bleu,t-shirt tartan bleu,Sittichshirt,maglietta tartan blu,3색 타탄 옷,1.0,2492,24DF,3518,tops_tartan_blu,Yes,,,-,,,blue tartan tee
058,blue tie-dye tank,,Tank Top,Able Sisters,Summer,Yes,280,-,70,56,3,3,-,-,-,aqua,white,basic,Unisex,Nature,,-,-,ブルーハワイなふくN,top hippy azul,top hippy azul,débardeur batik bleu,débardeur batik bleu,Meertop,canotta celeste,블루 하와이 옷 N,1.0,25FC,2649,3682,tops_img_bluhawaii,Yes,,,-,,,-
059,blue tie-dye tee,,T-Shirt,Able Sisters,Summer,Yes,380,-,95,76,4,3,-,-,-,aqua,white,basic,Unisex,Nature,,-,-,ブルーハワイなふく,camiseta hippy azul,camiseta hippy azul,t-shirt batik bleu,t-shirt batik bleu,Meershirt,maglietta celeste,블루 하와이 옷,1.0,247C,24C9,3502,tops_img_bluhawaii,Yes,,,-,,,blue tie-dye tee
060,blue track jacket,,Shirt,Able Sisters,-,Yes,420,-,105,84,5,3,-,-,-,blue,blue,sporty,Unisex,-,,-,-,あおジャージ,sudadera sport azul,sudadera sport azul,veste survêt bleue,veste survêt bleue,Läuferjacke,maglia tuta blu,파란 트레이닝복,1.0,2572,25BF,35F8,tops_jersey_blu,Yes,,,-,,,-
061,blue-bar shirt,,Shirt,Able Sisters,Fall,Yes,420,-,105,84,5,3,-,Trendy,-,blue,green,basic,Unisex,V-Striped,,-,-,しぶいたてじまのふくL,jersey rayas azul,jersey rayas azul,pull rayures bleu,pull rayures bleu,Gärtnerpulli,maglia barre blu,수수한 줄무늬 옷 L,1.0,25C5,2612,364B,tops_stripe_sibu,Yes,,,-,,,-
062,blue-bar tee,,T-Shirt,Able Sisters,Fall,Yes,380,-,95,76,4,3,-,Trendy,-,blue,green,basic,Unisex,V-Striped,,-,-,しぶいたてじまのふく,camiseta rayas azul,camiseta rayas azul,t-shirt rayures bleu,t-shirt rayures bleu,Gärtnershirt,maglietta barre blu,수수한 줄무늬 옷,1.0,24A1,24EE,3527,tops_stripe_sibu,Yes,,,-,,,blue-bar tee
063,blue-check shirt,,Shirt,Able Sisters,Winter,Yes,420,-,105,84,5,3,-,-,-,blue,white,basic,Unisex,Plaid,,-,-,あおチェックのふくL,jersey trapo azul,jersey trapo azul,pull carrés bleu,pull carrés bleu,Blauweiß-Pulli,maglia quadri blu,파란 체크무늬 옷 L,1.0,25BA,2607,3640,tops_check_bigblu,Yes,,,-,,,-
064,blue-check tee,,T-Shirt,Able Sisters,-,Yes,380,-,95,76,4,3,-,-,-,blue,white,basic,Unisex,Plaid,,-,-,あおチェックのふく,camiseta trapo azul,camiseta trapo azul,t-shirt carrés bleu,t-shirt carrés bleu,Blauweiß-Shirt,maglietta quadri blu,파란 체크무늬 옷,1.0,2481,24CE,3507,tops_check_bigblu,Yes,,,-,,,blue-check tee
065,blue-grid shirt,,Shirt,Able Sisters,Summer,Yes,420,-,105,84,5,3,-,-,-,white,aqua,basic,Unisex,Plaid,,-,-,みずいろこうしのふくL,jersey reja azul,jersey reja azul,pull grille bleu,pull grille bleu,Gitterpulli,maglia biancoblu,하늘색 체크무늬 옷 L,1.0,25AC,25F9,3632,tops_grid_blu,Yes,,,-,,,blue-grid shirt
066,blue-grid tee,,T-Shirt,Able Sisters,Summer,Yes,340,-,85,68,4,3,-,-,-,aqua,beige,basic,Unisex,Plaid,,-,-,みずいろこうしのふく,camiseta reja azul,camiseta reja azul,t-shirt grille bleu,t-shirt grille bleu,Gittershirt,maglietta biancoblu,하늘색 체크무늬 옷,1.0,2495,24E2,351B,tops_grid_blu,Yes,,,-,,,blue-grid tee
067,blue-stripe shirt,,Shirt,Able Sisters,Fall,Yes,340,-,85,68,4,3,-,-,-,blue,white,sporty,Unisex,H-Striped,,-,-,マリンボーダーのふくL,jersey playa azul,jersey playa azul,pull marin,pull marin,Matrosenpulli,maglia righe blu,마린 줄무늬 옷 L,1.0,248C,24D9,3512,tops_border_marine,Yes,,,-,,,blue-stripe shirt
068,blue-stripe tee,,T-Shirt,Able Sisters,Summer,Yes,340,-,85,68,4,3,-,-,-,blue,white,sporty,Unisex,H-Striped,,-,-,マリンボーダーのふく,camiseta playa azul,camiseta playa azul,t-shirt marin,t-shirt marin,Matrosenshirt,maglietta righe blu,마린 줄무늬 옷,1.0,248B,24D8,3511,tops_border_marine,Yes,,,-,,,blue-stripe tee
069,blue-zap suit,,Shirt,Able Sisters,-,Yes,640,-,160,128,8,3,blue superhero,Sci-Fi / Toy Shop,-,white,blue,sporty,Male,-,,-,-,ヒーロースーツB,superjersey azul,superjersey azul,pull de héros bleu,pull de héros bleu,Blauheldenpulli,maglia eroe blu,히어로 슈트 B,1.0,253F,258C,35C5,tops_hero_blu,Yes,,,-,,,-
070,bold-check tee,,T-Shirt,Able Sisters,-,Yes,360,-,90,72,4,3,-,Toy Shop,-,red,yellow,flashy,Unisex,Plaid,,-,-,めだつチェッカーのふく,camiseta torneo,camiseta torneo,t-shirt pavé,t-shirt pavé,Quadratshirt,maglietta quadroni,튀는 체스판무늬 옷,1.0,247E,24CB,3504,tops_checker_bold,Yes,,,-,,,bold-check tee
071,bone shirt,,Shirt,Able Sisters,-,Yes,280,-,70,56,3,3,-,Quirky,-,black,white,rock 'n' roll,Male,Nature,,-,-,ボーンなふく,jersey esqueleto,jersey esqueleto,pull os,pull os,Knochenpulli,maglia ossa,뼈다귀 옷,1.0,2514,2561,359A,tops_bone,No,,,bone shirt,,,bone shirt
072,bright tee,,T-Shirt,Able Sisters,Spring,Yes,320,-,80,64,4,3,-,-,-,green,yellow,basic,Unisex,Manufactured,,-,-,なんかよくみるふく,camiseta ameba,camiseta ameba,t-shirt amibe,t-shirt amibe,08/15-Shirt,maglietta fiore,흔해 빠진 옷,1.0,2465,24B2,34EB,tops_mark_bright,Yes,,,-,,,-
