Name,Image,Variation,Body Title,Pattern,Pattern Title,DIY,Body Customize,Pattern Customize,Pattern Customize Options,Stack Size,Kit Cost,Kit Type,Cyrus Customize Price,Buy,Sell,Color 1,Color 2,Size,Surface,Exchange Price,Exchange Currency,Source,Source Notes,Season/Event,Season/Event Exclusive,HHA Base Points,HHA Concept 1,HHA Concept 2,HHA Series,HHA Set,HHA Category,Interact,Tag,Outdoor,Speaker Type,Lighting Type,Food Power,Catalog,Version Added,Unlocked?,Filename,Variant ID,Internal ID,Unique Entry ID
aluminum briefcase,,Stacks of cash,Contents,NA,NA,No,No,No,NA,1,NA,None,5200,100000,25000,Gray,Yellow,1x1,No,90000,Poki,Nook's Cranny,"Available in Nook's Cranny (upgraded only), in the third unique furniture slot",NA,NA,251,office,expensive,None,None,None,Yes,Museum,No,Does not play music,No lighting,NA,For sale,1.0.0,Yes,FtrDuralumincase_Remake_0_0,0_0,7453,7ovsY7XPNCW3YQAJA
aluminum briefcase,,Gold bars,Contents,NA,NA,No,No,No,NA,1,NA,None,5200,100000,25000,Gray,Yellow,1x1,No,90000,Poki,Nook's Cranny,"Available in Nook's Cranny (upgraded only), in the third unique furniture slot",NA,NA,251,office,expensive,None,None,None,Yes,Museum,No,Does not play music,No lighting,NA,For sale,1.0.0,Yes,FtrDuralumincase_Remake_1_0,1_0,7453,Yympao5irjJgMNW6d
analog kitchen scale,,Red,Color,NA,NA,No,No,No,NA,1,NA,None,1000,1100,275,Red,White,1x1,No,990,Poki,Nook's Cranny,Available in the re-buyable slot in Nook's Cranny,NA,NA,103,kitchen,restaurant,None,None,None,Yes,Kitchen Things,No,Does not play music,No lighting,NA,For sale,1.0.0,Yes,FtrWeighing_Remake_0_0,0_0,3993,6WMJcEFXoWt9mmtvE
analog kitchen scale,,Yellow,Color,NA,NA,No,No,No,NA,1,NA,None,1000,1100,275,Yellow,White,1x1,No,990,Poki,Nook's Cranny,Available in the re-buyable slot in Nook's Cranny,NA,NA,103,kitchen,restaurant,None,None,None,Yes,Kitchen Things,No,Does not play music,No lighting,NA,For sale,1.0.0,Yes,FtrWeighing_Remake_1_0,1_0,3993,YfYgj2jXPy6sip9Qu
analog kitchen scale,,Green,Color,NA,NA,No,No,No,NA,1,NA,None,1000,1100,275,Green,White,1x1,No,990,Poki,Nook's Cranny,Available in the re-buyable slot in Nook's Cranny,NA,NA,103,kitchen,restaurant,None,None,None,Yes,Kitchen Things,No,Does not play music,No lighting,NA,For sale,1.0.0,Yes,FtrWeighing_Remake_2_0,2_0,3993,Spi4XHmdPD2CX7xL4
analog kitchen scale,,Blue,Color,NA,NA,No,No,No,NA,1,NA,None,1000,1100,275,Blue,White,1x1,No,990,Poki,Nook's Cranny,Available in the re-buyable slot in Nook's Cranny,NA,NA,103,kitchen,restaurant,None,None,None,Yes,Kitchen Things,No,Does not play music,No lighting,NA,For sale,1.0.0,Yes,FtrWeighing_Remake_3_0,3_0,3993,LgKQD3p9WLzfg3GN4
analog kitchen scale,,Pink,Color,NA,NA,No,No,No,NA,1,NA,None,1000,1100,275,Pink,White,1x1,No,990,Poki,Nook's Cranny,Available in the re-buyable slot in Nook's Cranny,NA,NA,103,kitchen,restaurant,None,None,None,Yes,Kitchen Things,No,Does not play music,No lighting,NA,For sale,1.0.0,Yes,FtrWeighing_Remake_4_0,4_0,3993,FJHLtvYAkJLBCyvKZ
analog kitchen scale,,Ivory,Color,NA,NA,No,No,No,NA,1,NA,None,1000,1100,275,Yellow,White,1x1,No,990,Poki,Nook's Cranny,Available in the re-buyable slot in Nook's Cranny,NA,NA,103,kitchen,restaurant,None,None,None,Yes,Kitchen Things,No,Does not play music,No lighting,NA,For sale,1.0.0,Yes,FtrWeighing_Remake_5_0,5_0,3993,o8gB7rkjtK8geGeMW
analog kitchen scale,,Light blue,Color,NA,NA,No,No,No,NA,1,NA,None,1000,1100,275,Aqua,White,1x1,No,990,Poki,Nook's Cranny,Available in the re-buyable slot in Nook's Cranny,NA,NA,103,kitchen,restaurant,None,None,None,Yes,Kitchen Things,No,Does not play music,No lighting,NA,For sale,1.0.0,Yes,FtrWeighing_Remake_6_0,6_0,3993,Xd3pqsLgpnFeWC46C
analog kitchen scale,,Silver,Color,NA,NA,No,No,No,NA,1,NA,None,1000,1100,275,Gray,White,1x1,No,990,Poki,Nook's Cranny,Available in the re-buyable slot in Nook's Cranny,NA,NA,103,kitchen,restaurant,None,None,None,Yes,Kitchen Things,No,Does not play music,No lighting,NA,For sale,1.0.0,Yes,FtrWeighing_Remake_7_0,7_0,3993,2Sw2GvGbFtnz6Ft7g
anchoas al ajillo,,NA,NA,NA,NA,Yes,No,No,NA,1,NA,None,NA,NFS,600,Gray,Colorful,1x1,No,NA,NA,Cooking,,NA,NA,103,party,restaurant,None,None,Food,No,DishFood,No,Does not play music,No lighting,5,Not for sale,2.0.0,Yes,FtrSkilletAnchovy,NA,14178,byDHcwQaDYkpN9CTB
anchovy model,,NA,NA,NA,NA,No,No,No,NA,1,NA,None,NA,NFS,600,Blue,Black,1x1,No,NA,NA,C.J.,Trade 3 fish to receive a model in the mail the next day,NA,NA,251,None,None,None,None,None,No,Fish,No,Does not play music,No lighting,NA,Not for sale,1.0.0,Yes,FtrFishAntyobiToy,NA,6999,jqs5hyDDgiozw7D6W
angelfish model,,NA,NA,NA,NA,No,No,No,NA,1,NA,None,NA,NFS,9000,Yellow,Black,1x1,No,NA,NA,C.J.,Trade 3 fish to receive a model in the mail the next day,NA,NA,251,None,None,None,None,None,No,Fish,No,Does not play music,No lighting,NA,Not for sale,1.0.0,Yes,FtrFishAngelfishToy,NA,6933,c68YashL9kXvfwLp4
ant farm,,NA,NA,NA,NA,No,No,No,NA,1,NA,None,NA,1400,350,Green,Brown,1x1,No,1300,Poki,Nook's Cranny,"Available in Nook's Cranny (upgraded only), in the unique furniture slot",NA,NA,151,lab,child's room,None,None,None,No,Special Insect,No,Does not play music,No lighting,NA,For sale,1.0.0,Yes,FtrInsectAriFarm,NA,11866,nuqhnEuJinwzRrp2z
ant model,,NA,NA,NA,NA,No,No,No,NA,1,NA,None,NA,NFS,240,Black,Black,1x1,No,NA,NA,Flick,Trade 3 insects to receive a model in the mail the next day,NA,NA,251,None,None,None,None,None,No,Insect,No,Does not play music,No lighting,NA,Not for sale,1.0.0,Yes,FtrInsectAriToy,NA,7053,pvyXsn72duZvP5csK
anthurium plant,,Red,Color,NA,NA,No,No,No,NA,1,NA,None,1000,990,247,Red,Green,1x1,No,890,Poki,Nook's Cranny,Available in the re-buyable slot in Nook's Cranny,NA,NA,103,living room,None,None,None,Plant,No,Plants,No,Does not play music,No lighting,NA,For sale,1.0.0,Yes,FtrPlantAnthurium_Remake_0_0,0_0,3949,BfZjDAavNeyem3bFX
anthurium plant,,Berry red,Color,NA,NA,No,No,No,NA,1,NA,None,1000,990,247,Red,Green,1x1,No,890,Poki,Nook's Cranny,Available in the re-buyable slot in Nook's Cranny,NA,NA,103,living room,None,None,None,Plant,No,Plants,No,Does not play music,No lighting,NA,For sale,1.0.0,Yes,FtrPlantAnthurium_Remake_1_0,1_0,3949,8r8yH5cDR9D94dWE2
anthurium plant,,Green,Color,NA,NA,No,No,No,NA,1,NA,None,1000,990,247,Red,Green,1x1,No,890,Poki,Nook's Cranny,Available in the re-buyable slot in Nook's Cranny,NA,NA,103,living room,None,None,None,Plant,No,Plants,No,Does not play music,No lighting,NA,For sale,1.0.0,Yes,FtrPlantAnthurium_Remake_2_0,2_0,3949,9WXR8N8LWcLgcbuTq
anthurium plant,,Pink,Color,NA,NA,No,No,No,NA,1,NA,None,1000,990,247,Pink,Green,1x1,No,890,Poki,Nook's Cranny,Available in the re-buyable slot in Nook's Cranny,NA,NA,103,living room,None,None,None,Plant,No,Plants,No,Does not play music,No lighting,NA,For sale,1.0.0,Yes,FtrPlantAnthurium_Remake_3_0,3_0,3949,eRvZ8pBJ2gMbQXTTC
anthurium plant,,White,Color,NA,NA,No,No,No,NA,1,NA,None,1000,990,247,White,Green,1x1,No,890,Poki,Nook's Cranny,Available in the re-buyable slot in Nook's Cranny,NA,NA,103,living room,None,None,None,Plant,No,Plants,No,Does not play music,No lighting,NA,For sale,1.0.0,Yes,FtrPlantAnthurium_Remake_4_0,4_0,3949,X5WqEpcbqAunjxS4f
antique cash register,,Gold,Color,NA,NA,No,No,No,NA,1,NA,None,5200,21000,5250,Yellow,Yellow,1x1,No,18900,Poki,Nook's Cranny; HHP Office,,NA,NA,103,retro,shop,None,None,None,Yes,Shop,No,Does not play music,No lighting,NA,For sale,2.0.0,Yes,FtrRegisterRetro_Remake_0_0,0_0,12713,MyCi9SoKZRJ5AHFZM
antique cash register,,Silver,Color,NA,NA,No,No,No,NA,1,NA,None,5200,21000,5250,Gray,Gray,1x1,No,18900,Poki,Nook's Cranny; HHP Office,,NA,NA,103,retro,shop,None,None,None,Yes,Shop,No,Does not play music,No lighting,NA,For sale,2.0.0,Yes,FtrRegisterRetro_Remake_1_0,1_0,12713,93jYiazwyv8maeqhb
antique cash register,,Copper,Color,NA,NA,No,No,No,NA,1,NA,None,5200,21000,5250,Brown,Brown,1x1,No,18900,Poki,Nook's Cranny; HHP Office,,NA,NA,103,retro,shop,None,None,None,Yes,Shop,No,Does not play music,No lighting,NA,For sale,2.0.0,Yes,FtrRegisterRetro_Remake_2_0,2_0,12713,EkXmjZAZLfP4BwhXR
antique cash register,,Black,Color,NA,NA,No,No,No,NA,1,NA,None,5200,21000,5250,Black,Black,1x1,No,18900,Poki,Nook's Cranny; HHP Office,,NA,NA,103,retro,shop,None,None,None,Yes,Shop,No,Does not play music,No lighting,NA,For sale,2.0.0,Yes,FtrRegisterRetro_Remake_3_0,3_0,12713,gQwXjDKpBAQsuT8Nf
antique cash register,,White,Color,NA,NA,No,No,No,NA,1,NA,None,5200,21000,5250,White,White,1x1,No,18900,Poki,Nook's Cranny; HHP Office,,NA,NA,103,retro,shop,None,None,None,Yes,Shop,No,Does not play music,No lighting,NA,For sale,2.0.0,Yes,FtrRegisterRetro_Remake_4_0,4_0,12713,JDFQcqPuqjqad7yNN
antique map,,NA,NA,Treasure map,Variation,No,No,Yes,Default,1,7,Normal,5200,31000,7750,Orange,Red,1x1,No,27900,Poki,Nook's Cranny; HHP Office,,NA,NA,103,den,retro,None,None,None,No,Study,No,Does not play music,No lighting,NA,For sale,2.0.0,Yes,FtrTreasuremap_Remake_0_0,0_0,13652,A8Ftvf5EwZ8RPHDkw
antique map,,NA,NA,Ship-route map,Variation,No,No,Yes,Default,1,7,Normal,5200,31000,7750,Beige,Brown,1x1,No,27900,Poki,Nook's Cranny; HHP Office,,NA,NA,103,den,retro,None,None,None,No,Study,No,Does not play music,No lighting,NA,For sale,2.0.0,Yes,FtrTreasuremap_Remake_0_1,0_1,13652,vQAWuoSvHpzpQqkNC
antique map,,NA,NA,World map,Variation,No,No,Yes,Default,1,7,Normal,5200,31000,7750,Aqua,Yellow,1x1,No,27900,Poki,Nook's Cranny; HHP Office,,NA,NA,103,den,retro,None,None,None,No,Study,No,Does not play music,No lighting,NA,For sale,2.0.0,Yes,FtrTreasuremap_Remake_0_2,0_2,13652,ZSzKi8JfyEPw3CBTf
antique radio,,Brown,Color,NA,NA,No,No,No,NA,1,NA,None,3800,13000,3250,Brown,Brown,1x1,No,11700,Poki,Nook's Cranny; HHP Office,,NA,NA,103,retro,expensive,antique,None,Audio,Yes,Audio,No,Does not play music,No lighting,NA,For sale,2.0.0,Yes,FtrRadioRetro_Remake_0_0,0_0,13270,56Gg6MuiA6hmTE2kt
antique radio,,Natural,Color,NA,NA,No,No,No,NA,1,NA,None,3800,13000,3250,Orange,Orange,1x1,No,11700,Poki,Nook's Cranny; HHP Office,,NA,NA,103,retro,expensive,antique,None,Audio,Yes,Audio,No,Does not play music,No lighting,NA,For sale,2.0.0,Yes,FtrRadioRetro_Remake_1_0,1_0,13270,XA9Pu3StKjzKSMqJE
antique radio,,Black,Color,NA,NA,No,No,No,NA,1,NA,None,3800,13000,3250,Black,Black,1x1,No,11700,Poki,Nook's Cranny; HHP Office,,NA,NA,103,retro,expensive,antique,None,Audio,Yes,Audio,No,Does not play music,No lighting,NA,For sale,2.0.0,Yes,FtrRadioRetro_Remake_2_0,2_0,13270,NyLLrbcm4AfLSqQzC
apple jam,,NA,NA,NA,NA,Yes,No,No,NA,1,NA,None,NA,NFS,450,Red,White,1x1,No,NA,NA,Cooking,,NA,NA,103,kitchen,shop,None,None,Food,No,DishFood,No,Does not play music,No lighting,5,Not for sale,2.0.0,Yes,FtrJarApple,NA,14176,3kB7rDnaWJ86f8Cav
apple jelly,,NA,NA,NA,NA,Yes,No,No,NA,1,NA,None,NA,NFS,300,Yellow,Gray,1x1,No,NA,NA,Cooking,,NA,NA,103,café,party,None,None,Food,Yes,DishFood,No,Does not play music,No lighting,5,Not for sale,2.0.0,Yes,FtrJellyApple,NA,13971,TBuy7BsAGZosfRjr6
apple pie,,NA,NA,NA,NA,Yes,No,No,NA,1,NA,None,NA,NFS,1880,Beige,White,1x1,No,NA,NA,Cooking,,NA,NA,103,party,shop,None,None,Food,No,DishFood,No,Does not play music,No lighting,5,Not for sale,2.0.0,Yes,FtrPieApple,NA,13944,megLzZbneK5inTWC9
apple smoothie,,NA,NA,NA,NA,Yes,No,No,NA,1,NA,None,NA,NFS,300,Yellow,Red,1x1,No,NA,NA,Cooking,,NA,NA,103,café,restaurant,None,None,None,No,DishDrink,No,Does not play music,No lighting,2,Not for sale,2.0.0,Yes,FtrSmoothieApple,NA,14000,qKqba8bLn4GSD2R68
apple tart,,NA,NA,NA,NA,Yes,No,No,NA,1,NA,None,NA,NFS,780,Beige,White,1x1,No,NA,NA,Cooking,,NA,NA,103,café,party,None,None,Food,No,DishFood,No,Does not play music,No lighting,5,Not for sale,2.0.0,Yes,FtrTartApple,NA,13947,TJfrTGkfvZBDmKzmf
arapaima model,,NA,NA,NA,NA,No,No,No,NA,1,NA,None,NA,NFS,30000,Black,Black,2x1,No,NA,NA,C.J.,Trade 3 fish to receive a model in the mail the next day,NA,NA,251,None,None,None,None,None,No,Fish,No,Does not play music,No lighting,NA,Not for sale,1.0.0,Yes,FtrFishPirarukuToy,NA,7006,mYrf2qXTygc8GphQC
aroma pot,,White,Color,NA,NA,Yes,Yes,No,NA,1,1,Normal,1000,NFS,600,White,Aqua,1x1,No,NA,NA,Crafting,,NA,NA,103,living room,stylish,None,None,SmallGoods,Yes,Shop,No,Does not play music,No lighting,NA,Not for sale,1.0.0,Yes,FtrAlomapot_Remake_0_0,0_0,1753,6AqmYqJXkqoYTfJej
aroma pot,,Brown,Color,NA,NA,Yes,Yes,No,NA,1,1,Normal,1000,NFS,600,Brown,Orange,1x1,No,NA,NA,Crafting,,NA,NA,103,living room,stylish,None,None,SmallGoods,Yes,Shop,No,Does not play music,No lighting,NA,Not for sale,1.0.0,Yes,FtrAlomapot_Remake_1_0,1_0,1753,kv6phyzaTZRerstP4
aroma pot,,Green,Color,NA,NA,Yes,Yes,No,NA,1,1,Normal,1000,NFS,600,Green,Green,1x1,No,NA,NA,Crafting,,NA,NA,103,living room,stylish,None,None,SmallGoods,Yes,Shop,No,Does not play music,No lighting,NA,Not for sale,1.0.0,Yes,FtrAlomapot_Remake_2_0,2_0,1753,QQLoouuttf58T3ufJ
aroma pot,,Pink,Color,NA,NA,Yes,Yes,No,NA,1,1,Normal,1000,NFS,600,Pink,Pink,1x1,No,NA,NA,Crafting,,NA,NA,103,living room,stylish,None,None,SmallGoods,Yes,Shop,No,Does not play music,No lighting,NA,Not for sale,1.0.0,Yes,FtrAlomapot_Remake_3_0,3_0,1753,tLn4NcyuPmuHXgKn8
aroma pot,,Cream,Color,NA,NA,Yes,Yes,No,NA,1,1,Normal,1000,NFS,600,Beige,Green,1x1,No,NA,NA,Crafting,,NA,NA,103,living room,stylish,None,None,SmallGoods,Yes,Shop,No,Does not play music,No lighting,NA,Not for sale,1.0.0,Yes,FtrAlomapot_Remake_4_0,4_0,1753,5RFavNA2iBfAcQCK4
aroma pot,,Black,Color,NA,NA,Yes,Yes,No,NA,1,1,Normal,1000,NFS,600,Black,Blue,1x1,No,NA,NA,Crafting,,NA,NA,103,living room,stylish,None,None,SmallGoods,Yes,Shop,No,Does not play music,No lighting,NA,Not for sale,1.0.0,Yes,FtrAlomapot_Remake_5_0,5_0,1753,YZgdtQSYDiw8TTXzJ
arowana model,,NA,NA,NA,NA,No,No,No,NA,1,NA,None,NA,NFS,30000,Yellow,Black,1x1,No,NA,NA,C.J.,Trade 3 fish to receive a model in the mail the next day,NA,NA,251,None,None,None,None,None,No,Fish,No,Does not play music,No lighting,NA,Not for sale,1.0.0,Yes,FtrFishArowanaToy,NA,6935,SeSQEP9r8f4ZH3ZgP
Baby bear,,Cream,Design,None,Shirt,No,No,Yes,Default; Custom; Sable,1,1,Normal,1000,1800,450,Beige,White,1x1,No,1600,Poki,Nook's Cranny,Available in the re-buyable slot in Nook's Cranny,NA,NA,103,fancy,child's room,None,bear,Doll,No,Animal,No,Does not play music,No lighting,NA,For sale,1.0.0,Yes,FtrBearS_Remake_0_0,0_0,1501,g2XmJfB8pFYwRq9F6
Baby bear,,Cream,Design,Heart,Shirt,No,No,Yes,Default; Custom; Sable,1,1,Normal,1000,1800,450,Beige,Red,1x1,No,1600,Poki,Nook's Cranny,Available in the re-buyable slot in Nook's Cranny,NA,NA,103,fancy,child's room,None,bear,Doll,No,Animal,No,Does not play music,No lighting,NA,For sale,1.0.0,Yes,FtrBearS_Remake_0_1,0_1,1501,SSKzzn4PKuGQwr2pL
Baby bear,,Cream,Design,Fish,Shirt,No,No,Yes,Default; Custom; Sable,1,1,Normal,1000,1800,450,Beige,Blue,1x1,No,1600,Poki,Nook's Cranny,Available in the re-buyable slot in Nook's Cranny,NA,NA,103,fancy,child's room,None,bear,Doll,No,Animal,No,Does not play music,No lighting,NA,For sale,1.0.0,Yes,FtrBearS_Remake_0_2,0_2,1501,36HzWPnuJQGP8dQ3J
Baby bear,,Cream,Design,Star,Shirt,No,No,Yes,Default; Custom; Sable,1,1,Normal,1000,1800,450,Beige,Yellow,1x1,No,1600,Poki,Nook's Cranny,Available in the re-buyable slot in Nook's Cranny,NA,NA,103,fancy,child's room,None,bear,Doll,No,Animal,No,Does not play music,No lighting,NA,For sale,1.0.0,Yes,FtrBearS_Remake_0_3,0_3,1501,ejuF7sTa4N64k8AD9
Baby bear,,Caramel mocha,Design,None,Shirt,No,No,Yes,Default; Custom; Sable,1,1,Normal,1000,1800,450,Beige,Beige,1x1,No,1600,Poki,Nook's Cranny,Available in the re-buyable slot in Nook's Cranny,NA,NA,103,fancy,child's room,None,bear,Doll,No,Animal,No,Does not play music,No lighting,NA,For sale,1.0.0,Yes,FtrBearS_Remake_1_0,1_0,1501,pkRq4pGLsBgZJs6Zz
Baby bear,,Caramel mocha,Design,Heart,Shirt,No,No,Yes,Default; Custom; Sable,1,1,Normal,1000,1800,450,Beige,Red,1x1,No,1600,Poki,Nook's Cranny,Available in the re-buyable slot in Nook's Cranny,NA,NA,103,fancy,child's room,None,bear,Doll,No,Animal,No,Does not play music,No lighting,NA,For sale,1.0.0,Yes,FtrBearS_Remake_1_1,1_1,1501,vXLCKkgzYCK7KQjgp
Baby bear,,Caramel mocha,Design,Fish,Shirt,No,No,Yes,Default; Custom; Sable,1,1,Normal,1000,1800,450,Beige,Blue,1x1,No,1600,Poki,Nook's Cranny,Available in the re-buyable slot in Nook's Cranny,NA,NA,103,fancy,child's room,None,bear,Doll,No,Animal,No,Does not play music,No lighting,NA,For sale,1.0.0,Yes,FtrBearS_Remake_1_2,1_2,1501,GvyMQSw6Y7dAssqLE
Baby bear,,Caramel mocha,Design,Star,Shirt,No,No,Yes,Default; Custom; Sable,1,1,Normal,1000,1800,450,Beige,Yellow,1x1,No,1600,Poki,Nook's Cranny,Available in the re-buyable slot in Nook's Cranny,NA,NA,103,fancy,child's room,None,bear,Doll,No,Animal,No,Does not play music,No lighting,NA,For sale,1.0.0,Yes,FtrBearS_Remake_1_3,1_3,1501,B85z59MD8h7M9Ctrk
