#,Name,Image,Texture,Source,Rarity Group,Reorderable,Buy Price (Bells),Buy Price (Medals),Sell Price (Re-Tail),Sell Price (Nooklings),Sell Price (Leila),HHA Base Points,HHA Series,HHA Theme Challenge,Color 1,Color 2,Fashion,Catalog Keyword,Name (Japanese),Name (Spanish NA),Name (Spanish EU),Name (French NA),Name (French EU),Name (German),Name (Italian),Name (Korean),Version Added,Hex ID (1.0),Hex ID (1.4),Model Filename,New To Series,Name (GCN),Name (WW),Name (CF),Name (NH),Name (HHD),Name (PC),Notes
029,classroom wall,,,Saharah,-,No,"3,000",-,"1,500","1,200",-,951,classroom,Sci-Fi,beige,green,iconic,,きょうしつのかべ,pared aula,pared aula,mur bicolore,mur bicolore,Schulraumwand,muro scuola,교실 벽지,1.0,2361,236B,wall_classroom,,,,,,,classroom wall,
030,common wall,,,Nooklings,A,Yes,"1,240",-,310,248,-,151,-,-,brown,-,basic,,よくあるかべがみ,pared básica,pared básica,mur ordinaire,mur ordinaire,Normaltapete,muro comune,평범한 벽지,1.0,2396,23A0,wall_common,,,,,common wall,,-,
031,concrete wall,,,Saharah,-,No,"3,000",-,"1,600","1,280",-,951,-,Trendy / Sci-Fi / Quirky,gray,-,modern,,コンクリートのかべ,pared cemento,pared cemento,mur en béton,mur en béton,Betonwand,muro cemento,콘크리트 벽지,1.0,2378,2382,wall_concrete,,,,,concrete wall,,concrete wall,
032,convenient wall,,,Filly's RV,-,No,-,-,210,-,-,0,-,-,-,-,-,,コンビニのかべ,pared súper,pared súper,mur supérette,mur supérette,Mini-Supermarktwand,muro negozio,편의점 벽지,1.0,23C0,23CA,wall_shop_conveni,,,,,,,-,unobtainable before 1.4
033,creepy wall,,,Jack,-,No,-,-,500,-,-,651,-,Quirky,purple,purple,flashy,,ホラーなかべがみ,pared pavorosa,pared pavorosa,mur lugubre,mur lugubre,Gruseltapete,muro horror,호러 벽지,1.0,2399,23A3,wall_horror,,,,,,,-,
034,desert vista,,,Saharah,-,No,"3,000",-,"2,250","1,800",-,951,-,-,aqua,beige,sporty,,さばくなかべ,pared desierto,pared desierto,vue désert,vue désert,Wüstenweitblick,muro deserto,사막 벽지,1.0,2390,239A,wall_desert,,,,,desert vista,,-,
035,dig-site wall,,,Museum Shop,-,Yes,"1,600",-,400,320,-,199,-,-,brown,yellow,sporty,,ちそうのかべがみ,pared yacimiento,pared yacimiento,mur fossiles,mur fossiles,Fossilientapete,muro archeologico,지층 벽지,1.0,23A0,23AA,wall_stratum,,,,,dig-site wall,,-,
036,dirt-clod wall,,,Nooklings,D,Yes,800,-,200,160,-,151,-,Quirky,brown,-,historical,,ボロいつちかべ,pared ruinosa,pared ruinosa,mur terreux,mur terreux,Schmutzwand,muro di terra,낡은 토벽 벽지,1.0,2395,239F,wall_soil_old,,,,,dirt-clod wall,,dirt-clod wall,
037,dotted wall,,,Nooklings,D,Yes,"1,840",-,460,368,-,151,polka-dot,Trendy,yellow,-,cute,,みずたまなかべがみ,pared topos,pared topos,mur à pois,mur à pois,Pünktchentapete,muro pois,물방울 벽지,1.0,239A,23A4,wall_dot_set,,,,,,,dotted wall,
038,egg wall,,,Zipper,-,No,-,-,"8,888",-,-,651,egg,Toy Shop,colorful,colorful,cute,,たまごのかべがみ,pared huevo,pared huevo,mur œuf,mur œuf,Eiertapete,muro uovo,달걀 벽지,1.0,2351,235B,wall_egg,,,,,,,egg wall,
039,exhibit-room wall,,,Custom Museum Rooms,-,No,-,-,100,80,-,499,-,-,white,white,basic,,てんじしつのかべ,pared exposición,pared exposición,mur salle d'expo,mur salle d'expo,Ausstellungstapete,muro esposizione,전시실 벽지,1.0,23BC,23C6,wall_museum_2F,,,,,,,-,
040,exotic wall,,,Nooklings,A,Yes,"1,420",-,355,284,-,151,exotic,Harmonious / Rustic,brown,-,iconic,,アジアなすだれ,pared exótica,pared exótica,mur teck,mur teck,Orient-Tapete,muro esotico,아시아 발,1.0,2342,234C,wall_asia,,,,,bamboo-screen wall,,exotic wall,
041,exquisite wall,,,Nooklings,D,Yes,"1,470",-,367,293,-,151,-,Harmonious / Antique,brown,-,iconic,,チャイナなかべ,pared exquisita,pared exquisita,mur magnifique,mur magnifique,Feudaltapete,muro raffinato,차이나 벽지,1.0,2389,2393,wall_china,,,,,exquisite wall,,-,
042,floral wall,,,Nooklings,A,Yes,"2,250",-,562,449,-,151,-,-,green,-,iconic,,コロニアルなラティス,pared palaciega,pared palaciega,mur de fleurs,mur de fleurs,Ornamenttapete,muro floreale,콜로니얼 벽지,1.0,237C,2386,wall_colonial,,,,,,,floral wall,
043,flower pop wall,,,Nooklings,D,Yes,"1,480",-,370,296,-,151,-,Rustic / Fairy Tale,colorful,-,cute,,フラワーなかべがみ,pared flores,pared flores,mur fleurs pop,mur fleurs pop,Blumentapete,muro fiori,플라워 벽지,1.0,23B2,23BC,wall_flower_pop,,,,,,,-,
044,forest wall,,,Near trees,-,No,-,-,420,336,-,351,mush,Rustic / Fairy Tale,purple,red,cute,,きのこのもりのかべ,pared bosque,pared bosque,mur forêt,mur forêt,Waldtapete,muro fungo,버섯숲 벽지,1.0,234F,2359,wall_mush,,,,,forest wall,,forest wall,
045,fruit-panel wall,,,Puzzle League,-,No,-,-,"1,200",-,-,551,-,Toy Shop,colorful,colorful,cute,,パネポンなかべがみ,pared Puzzle League,pared Puzzle League,mur Puzzle League,mur Puzzle League,Puzzleopolis-Tapete,muro Puzzle League,동물의 숲 패널로 퐁 벽지,1.4,-,23E7,wall_panepon,,,,,,,-,
046,Fueki wall,,,Holden's RV,-,No,-,-,"1,200",-,-,300,-,Toy Shop,yellow,red,rock 'n' roll,,フエキくんなかべがみ,pared Fueki,pared Fueki,mur Fueki,mur Fueki,Fueki-Wand,muro Fueki,후에키 벽지,1.4,-,23E8,wall_fueki,,,,,,,-,
047,garden wall,,,Saharah,-,No,"3,000",-,"1,600","1,280",-,951,-,Harmonious / Rustic / Quirky,brown,brown,iconic,,たけがきのかべ,pared jardín,pared jardín,clôture bambous,clôture bambous,Gartentapete,muro giardino,대나무 담장 벽지,1.0,2375,237F,wall_bamboo_fence,,,,,,,garden wall,
048,gold screen wall,,,Nooklings,A,Yes,"2,180",-,545,436,-,151,-,Harmonious,yellow,-,iconic,,きんぱくのふすま,pared oriental,pared oriental,mur paravent,mur paravent,Goldtür-Tapete,muro paravento d'oro,황금 미닫이 벽지,1.0,2372,237C,wall_gold_screen,,,,,gold-screen wall,,-,
049,golden wall,,,Cyrus,-,No,-,-,"15,000","12,000",-,1351,golden,Antique,yellow,yellow,historical,,おうごんのかべ,pared dorada,pared dorada,mur d'or,mur d'or,Goldtapete,muro d'oro,황금 벽지,1.0,239D,23A7,wall_gold,,,,,golden wall,,golden wall,
050,gorgeous wall,,,GracieGrace,-,No,"124,000",-,"31,000",-,-,251,gorgeous,Trendy,black,yellow,ornate,,ゴージャスなかべがみ,pared palacio,pared palacio,mur somptueux,mur somptueux,Luxustapete,muro divino,화려한 벽지,1.0,2358,2362,wall_gorgeous,,,,,,,-,
051,Gracie wallpaper,,,GracieGrace,-,No,"124,000",-,"31,000",-,-,251,Gracie,Trendy,white,green,modern,,グレースのかべがみ,pared Graciela,pared Graciela,mur Carla,mur Carla,Graziatapete,muro Griffa,그레이스 벽지,1.0,2356,2360,wall_grace,,,,,,,-,
052,green wall,,,Nooklings,B,Yes,"1,050",-,262,209,-,151,green,Rustic,green,-,basic,,みどりのかべがみ,pared verde,pared verde,mur vert,mur vert,Smaragdtapete,muro verde,그린 벽지,1.0,234A,2354,wall_green,,,,,,,green wall,
053,groovy wall,,,Nooklings,B,Yes,"1,280",-,320,256,-,151,-,Trendy,orange,-,flashy,,サイケなかべがみ,pared comedor,pared comedor,mur groovy,mur groovy,Irrsinnstapete,muro alla moda,사이키델릭 벽지,1.0,2367,2371,wall_psyche,,,,,groovy wall,,-,
054,hallway wall,,,Gonzo's RV,-,No,"2,400",-,600,480,-,151,-,Trendy,brown,yellow,basic,,ホールのかべ,pared pasillo,pared pasillo,mur hall,mur hall,Dielentapete,muro albergo,강당 벽지,1.4,-,23D2,wall_hall,,,,,hallway wall,,-,
055,harvest wall,,,Nooklings,-,Yes,"3,333",-,833,666,-,351,harvest,Fairy Tale,purple,purple,cute,,ハーベストなかべ,pared pavo,pared pavo,mur dindon,mur dindon,Herbsttapete,muro autunno,하베스트 벽지,1.0,2353,235D,wall_harvest,,,,,,,-,
056,Hello Kitty wall,,,Rilla's RV,-,No,-,-,"1,200",-,-,300,-,Fairy Tale,pink,pink,cute,,ハローキティなかべ,pared Hello Kitty,pared Hello Kitty,mur Hello Kitty,mur Hello Kitty,Hello-Kitty-Tapete,muro Hello Kitty,헬로키티 벽지,1.4,-,23DE,wall_kitty,,,,,Hello Kitty wall,,Hello Kitty wall,
057,Hyrule wall,,,Medli's RV,-,No,-,-,"1,200",-,-,300,-,Toy Shop,colorful,colorful,flashy,,ゼルダのでんせつなかべ,pared Hyrule,pared Hyrule,mur Zelda,mur Zelda,Hyrule-Tapete,muro Hyrule,젤다의 전설 벽지,1.4,-,23E4,wall_hyrule,,,,,,,-,
058,ice wall,,,Snowmam,-,No,-,-,"8,888",-,-,888,ice,Fairy Tale,aqua,white,cute,,アイスなかべがみ,pared hielo,pared hielo,mur glace,mur glace,Eistapete,muro ghiaccio,아이스 벽지,1.0,23A3,23AD,wall_ice,,,,,ice wall,,-,
059,illusion wall,,,Nooklings,A,Yes,"1,360",-,340,272,-,151,-,Trendy / Toy Shop,gray,-,rock 'n' roll,,だましえのかべ,pared quimera,pared quimera,mur illusion,mur illusion,3D-Tapete,muro illusione,눈속임 벽지,1.0,238D,2397,wall_illusion,,,,,,,-,
060,imperial wall,,,Nooklings,A,Yes,"2,660",-,665,532,-,151,-,Harmonious / Antique,colorful,-,official,,おうちょうのかべ,pared imperial,pared imperial,mur shogun,mur shogun,Samuraitapete,muro imperiale,왕조 벽지,1.0,2384,238E,wall_dynasty,,,,,imperial wall,,-,
061,industrial wall,,,Nooklings,D,Yes,"1,800",-,450,360,-,151,-,Sci-Fi / Quirky,gray,gray,rock 'n' roll,,ファクトリーなかべ,pared industrial,pared industrial,mur d'usine,mur d'usine,Industriewand,muro industriale,팩토리 벽지,1.0,238B,2395,wall_factory,,,,,industrial wall,,-,
062,Inkopolis wall,,,Cece's RV,-,No,-,-,"1,200",-,-,300,-,Toy Shop,purple,yellow,rock 'n' roll,,ニューススタジオのかべ,pared Cromópolis,pared Cromópolis,mur TV-Chromapolis,mur TV-Chromapolis,Inkopolis-Tapete,muro TV Coloropoli,뉴스 스튜디오 벽지,1.4,-,23E6,wall_highcollar_studio,,,,,,,-,
063,ink-splattered wall,,,Inkwell's RV,-,No,-,-,"1,200",-,-,300,-,Toy Shop,colorful,colorful,rock 'n' roll,,インクまみれのかべ,pared Splatoon,pared Splatoon,mur encré,mur encré,Tintenkleckstapete,muro splattato,잉크 범벅 벽지,1.4,-,23E5,wall_splatoon,,,,,,,-,
064,ivy wall,,,Nooklings,A,Yes,"1,250",-,312,249,-,151,-,Rustic / Quirky,brown,-,historical,,つたのかべ,pared hiedra,pared hiedra,mur de lierre,mur de lierre,Efeumauer,muro edera,덩굴 벽지,1.0,2387,2391,wall_ivy,,,,,ivy wall,,ivy wall,
065,Jingle wall,,,Nooklings,-,Yes,"4,896",-,"1,224",979,-,351,Jingle,Toy Shop,green,brown,cute,,クリスマスなかべ,pared festiva,pared festiva,mur festif,mur festif,Festtagstapete,muro Jingle,크리스마스 벽지,1.0,2354,235E,wall_xmas,,,,,Jingle wall,,Jingle wall,
066,jungle wall,,,Museum Shop,-,Yes,"1,600",-,400,320,-,199,-,Rustic,green,green,sporty,,ジャングルのかべがみ,pared jungla,pared jungla,mur jungle,mur jungle,Dschungeltapete,muro giungla,정글 벽지,1.0,239E,23A8,wall_jungle,,,,,jungle wall,,jungle wall,
067,Kerokerokeroppi wall,,,Toby's RV,-,No,-,-,"1,200",-,-,300,-,Fairy Tale,green,green,cute,,けろけろけろっぴなかべ,pared jardín zen,pared jardín zen,mur Kerokerokeroppi,mur Kerokerokeroppi,Teich-Wand,muro Kerokerokeroppi,케로케로케로피 벽지,1.4,-,23E3,wall_keroppi,,,,,Kerokerokeroppi wall,,Kerokerokeroppi wall,
068,kiddie wall,,,Nooklings,C,Yes,"1,500",-,375,300,-,151,kiddie,Toy Shop,colorful,-,cute,,カラフルなかべ,pared puzle,pared puzle,mur enfant,mur enfant,Kindertapete,muro bimbi,컬러풀 벽지,1.0,234C,2356,wall_colorful,,,,,,,kiddie wall,
069,Kiki and Lala wall,,,Étoile's RV,-,No,-,-,"1,200",-,-,300,-,Fairy Tale,pink,white,cute,,キキ&ララなかべ,pared Kiki & Lala,pared Kiki & Lala,mur Kiki & Lala,mur Kiki & Lala,Kika-&-Lala-Tapete,muro Kiki and Lala,리틀 트윈 스타 벽지,1.4,-,23E1,wall_kikilala,,,,,Kiki & Lala wall,,Kiki and Lala wall,
070,kitchen wall,,,Nooklings,B,Yes,"1,120",-,280,224,-,151,-,-,orange,-,historical,,キッチンのかべ,pared cocina,pared cocina,rideau de perles,rideau de perles,Verandatapete,muro cucina,부엌 벽지,1.0,237D,2387,wall_kitchen,,,,,,,kitchen wall,
071,kitschy wall,,,Nooklings,C,Yes,"1,240",-,310,248,-,151,-,Trendy,colorful,-,cute,,キッチュなかべがみ,pared kitsch,pared kitsch,mur kitsch,mur kitsch,70er-Tapete,muro kitsch,어지러운 벽지,1.0,2366,2370,wall_kitsch,,,,,,,-,
072,lab wall,,,Nooklings,D,Yes,"1,460",-,365,292,-,151,mad scientist,Sci-Fi / Quirky,gray,-,rock 'n' roll,,じっけんしつのかべ,psicopared,psicopared,mur labo,mur labo,Laborwand,muro laboratorio,실험실 벽지,1.0,2360,236A,wall_labo,,,,,,,-,
073,lattice wall,,,Nooklings,B,Yes,"1,780",-,445,356,-,151,-,Harmonious,brown,-,iconic,,オリエンタルラティス,pared celosía,pared celosía,mur tonnelle,mur tonnelle,Pavillonwand,muro a rete,오리엔탈 벽지,1.0,2382,238C,wall_oriental,,,,,lattice wall,,-,
074,library wall,,,Nooklings,C,Yes,"1,680",-,420,336,-,151,-,Quirky,gray,-,historical,,ほんだなのかべ,pared biblioteca,pared biblioteca,mur bibliothèque,mur bibliothèque,Bücherwand,muro biblioteca,책장 벽지,1.0,238C,2396,wall_library,,,,,,,-,
075,lovely wall,,,Nooklings,B,Yes,"1,880",-,470,376,-,151,lovely,Fairy Tale,pink,-,cute,,ラブリーかべがみ,pared corazón,pared corazón,mur cœur,mur cœur,Herzchentapete,muro cuori,러블리 벽지,1.0,2343,234D,wall_lovely,,,,,,,lovely wall,
076,lunar horizon,,,Saharah,-,No,"3,000",-,"1,900","1,520",-,951,space,Sci-Fi,blue,black,cute,,ほしぞらのかべ,horizonte lunar,horizonte lunar,décor lunaire,décor lunaire,Sternenhimmel,muro lunare,별이 빛나는 벽지,1.0,235A,2364,wall_starsky,,,,,starry-sky wall,,lunar horizon,
077,magma-cavern wall,,,Felyne's RV,-,No,-,-,600,-,-,300,-,Sci-Fi / Toy Shop,orange,brown,flashy,,かざんどうくつのかべ,pared volcánica,pared volcánica,mur volcan,mur volcan,Vulkantapete,muro vulcano,화산 동굴 벽지,1.4,-,23DC,wall_volcano,,,,,magma-cavern wall,,-,
078,manor wall,,,Nooklings,D,Yes,"1,050",-,262,209,-,151,-,-,white,-,basic,,まちやくばのかべ,pared mansión,pared mansión,mur de manoir,mur de manoir,Herrenhauswand,muro signorile,마을사무소 벽지,1.0,237F,2389,wall_manor,,,,,,,-,
079,marine pop wall,,,Chip,-,No,-,-,410,328,-,651,-,Toy Shop,colorful,colorful,cute,,おサカナのかべ,pared peces,pared peces,mur marin pop,mur marin pop,Aquatapete,muro mare pop,물고기 벽지,1.0,23A2,23AC,wall_fish_pop,,,,,marine pop wall,,marine pop wall,
080,maze wall,,,Nooklings,D,Yes,"1,480",-,370,296,-,151,-,Trendy / Sci-Fi / Toy Shop,white,-,cute,,ラビリンスなかべ,pared laberinto,pared laberinto,mur labyrinthe,mur labyrinthe,Labyrinthtapete,muro labirinto,미로 벽지,1.0,23B5,23BF,wall_maze,,,,,,,-,
081,meadow vista,,,Saharah,-,No,"3,000",-,"2,000","1,600",-,951,-,Rustic,green,aqua,sporty,,こうげんなかべ,pared prado,pared prado,vue prairie,vue prairie,Alpenblick,muro con prato,초원 벽지,1.0,238E,2398,wall_highlands,,,,,meadow vista,,-,
082,mermaid wall,,,Souvenir Shop,-,No,-,40,500,400,25,99,mermaid,Fairy Tale,aqua,-,cute,,マーメイドなかべ,pared sirena,pared sirena,mur sirène,mur sirène,Nixentapete,muro sirena,머메이드 벽지,1.0,23A9,23B3,wall_mermaid,,,,,mermaid wall,,-,
083,mod wall,,,Nooklings,A,Yes,"1,200",-,300,240,-,151,-,Trendy,orange,-,historical,,キャッチーなかべ,pared psicodelia,pared psicodelia,mur psyché,mur psyché,Modetapete,muro optical,장난기 넘치는 벽지,1.0,2365,236F,wall_mod,,,,,mod wall,,-,
084,modern screen,,,Nooklings,C,Yes,"1,150",-,287,229,-,151,-,Harmonious / Rustic / Trendy,white,-,modern,,モダンなしょうじ,pared japonesa,pared japonesa,mur papier de riz,mur papier de riz,Shoji-Wand (modern),muro orientale,모던 창호지 벽지,1.0,2374,237E,wall_shoji_modern,,,,,modern shoji-screen wall,,modern screen,
085,modern wall,,,Nooklings,D,Yes,"1,450",-,362,289,-,151,modern,Trendy,gray,-,official,,ツートンなかべがみ,pared moderna,pared moderna,mur moderne,mur moderne,Schachtapete,muro moderno,투톤 벽지,1.0,2348,2352,wall_mono,,,,,,,modern wall,
086,modern wood wall,,,Nooklings,B,Yes,"1,480",-,370,296,-,151,modern wood,Rustic / Trendy,brown,-,modern,,ミックスウッドのかべ,pared listones,pared listones,mur bois moderne,mur bois moderne,Buntholzwand,muro legno,믹스우드 벽지,1.0,23A8,23B2,wall_mixwood,,,,,modern wood wall,,modern wood wall,
087,mortar wall,,,Saharah,-,No,"3,000",-,"1,750","1,400",-,951,-,Harmonious,gray,white,historical,,しっくいのへい,muro piedra,muro piedra,mur mortier,mur mortier,Ziegelmauer,muro stagno,기와 돌담 벽지,1.0,2376,2380,wall_plaster,,,,,mortar wall,,-,
088,mosaic wall,,,Nooklings,B,Yes,"2,100",-,525,420,-,151,-,Antique,colorful,-,iconic,,モザイクタイルのかべ,pared mosaico,pared mosaico,mur mosaïque,mur mosaïque,Mosaikwand,muro mosaico,모자이크 타일 벽지,1.0,2369,2373,wall_mosaic,,,,,,,mosaic wall,
089,museum wall,,,Museum Shop,-,Yes,"2,000",-,500,400,-,199,-,-,white,gray,iconic,,ミュージアムなかべ,pared museo,pared museo,mur musée,mur musée,Museumstapete,muro museo,뮤지엄 벽지,1.0,23BD,23C7,wall_museum_art,,,,,museum wall,,-,
