#,Name,Image,Texture,Source,Rarity Group,Reorderable,Buy Price (Bells),Buy Price (Medals),Sell Price (Re-Tail),Sell Price (Nooklings),Sell Price (Leila),HHA Base Points,HHA Series,HHA Theme Challenge,Color 1,Color 2,Fashion,Catalog Keyword,Name (Japanese),Name (Spanish NA),Name (Spanish EU),Name (French NA),Name (French EU),Name (German),Name (Italian),Name (Korean),Version Added,Hex ID (1.0),Hex ID (1.4),Model Filename,New To Series,Name (GCN),Name (WW),Name (CF),Name (NH),Name (HHD),Name (PC)
057,gray patterned floor,,,Toby's RV,-,No,-,-,"1,200",-,-,300,-,Fairy Tale,beige,beige,cute,,けろけろけろっぴなゆか,suelo jardín zen,suelo jardín zen,sol Kerokerokeroppi,sol Kerokerokeroppi,Teich-Boden,pav. Kerokerokeroppi,케로케로케로피 바닥,1.4,-,248B,carpet_keroppi,,,,,Kerokerokeroppi flooring,,-
058,green rug,,,Nooklings,B,Yes,"1,540",-,385,308,-,151,green,Rustic,green,-,basic,,みどりのじゅうたん,alfombra verde,alfombra verde,carpette verte,carpette verte,Smaragdteppich,tappeto verde,그린 카펫,1.0,23CF,23F3,carpet_green,,,,,,,green rug
059,harvest rug,,,Nooklings,-,Yes,"3,332",-,833,666,-,351,harvest,Fairy Tale,purple,pink,cute,,ハーベストなラグ,alfombra pavo,alfombra pavo,tapis dindon,tapis dindon,Herbstteppich,tappeto autunno,하베스트 러그,1.0,23D8,23FC,carpet_harvest,,,,,,,-
060,Hello Kitty floor,,,Rilla's RV,-,No,-,-,"1,200",-,-,300,-,Fairy Tale,aqua,white,cute,,ハローキティなゆか,suelo Hello Kitty,suelo Hello Kitty,sol Hello Kitty,sol Hello Kitty,Hello-Kitty-Boden,pav. Hello Kitty,헬로키티 바닥,1.4,-,2486,carpet_kitty,,,,,,,Hello Kitty floor
061,herringbone floor,,,Julia's RV,-,No,840,-,210,168,-,151,-,Antique,brown,brown,modern,,ヘリンボーンなゆか,parqué espiga,parqué espiga,sol chevrons,sol chevrons,Grätenboden,p. spina di pesce,헤링본 바닥,1.4,-,2477,carpet_floor_herringbone,,,,,,,-
062,hopscotch floor,,,Nooklings,B,Yes,960,-,240,192,-,151,-,Toy Shop,gray,-,sporty,,けんけんのゆか,suelo rayuela,suelo rayuela,sol marelle,sol marelle,Hüpfkästchenboden,pavimento campana,땅따먹기 바닥,1.0,2420,2444,carpet_hop,,,,,,,-
063,ice floor,,,Snowmam,-,No,-,-,"8,888",-,-,888,ice,Fairy Tale,aqua,white,cute,,アイスなじゅうたん,suelo hielo,suelo hielo,sol glace,sol glace,Eisteppich,tappeto ghiaccio,아이스 카펫,1.0,2427,244B,carpet_ice,,,,,,,ice floor
064,illusion floor,,,Nooklings,B,Yes,"1,600",-,400,320,-,151,-,Trendy / Toy Shop,gray,-,flashy,,だましえのゆか,suelo quimera,suelo quimera,sol illusion,sol illusion,3D-Teppich,pavimento illusione,눈속임 바닥,1.0,2412,2436,carpet_illusion,,,,,,,-
065,imperial tile,,,Nooklings,A,Yes,"2,980",-,745,596,-,151,-,Harmonious / Antique,gray,-,official,,おうちょうなゆか,losa imperial,losa imperial,sol shogun,sol shogun,Samuraiboden,pavimento imperiale,왕조 바닥,1.0,23F2,2416,carpet_dynasty,,,,,imperial tile,,-
066,Inkopolis floor,,,Cece's RV,-,No,-,-,"1,200",-,-,300,-,Toy Shop,colorful,colorful,rock 'n' roll,,ニューススタジオのゆか,suelo Cromópolis,suelo Cromópolis,sol TV-Chromapolis,sol TV-Chromapolis,Inkopolis-Boden,pav. TV Coloropoli,뉴스 스튜디오 바닥,1.4,-,248E,carpet_highcollar_studio,,,,,,,-
067,ink-splattered floor,,,Inkwell's RV,-,No,-,-,"1,200",-,-,300,-,Toy Shop,colorful,colorful,rock 'n' roll,,インクまみれのゆか,suelo Splatoon,suelo Splatoon,sol encré,sol encré,Tintenklecksboden,pavimento splattato,잉크 범벅 바닥,1.4,-,248D,carpet_splatoon,,,,,,,-
068,Jingle carpet,,,Nooklings,-,Yes,"4,896",-,"1,224",979,-,351,Jingle,Toy Shop,red,green,cute,,クリスマスじゅうたん,moqueta festiva,moqueta festiva,tapis festif,tapis festif,Festtagsteppich,tappeto Jingle,크리스마스 카펫,1.0,23D9,23FD,carpet_xmas,,,,,,,-
069,jungle floor,,,Museum Shop,-,Yes,"1,600",-,400,320,-,199,-,-,green,brown,sporty,,ジャングルのゆか,suelo jungla,suelo jungla,sol jungle,sol jungle,Dschungelboden,pavimento giungla,정글 바닥,1.0,2422,2446,carpet_jungle,,,,,,,-
070,kiddie carpet,,,Nooklings,C,Yes,"1,630",-,407,325,-,151,kiddie,Toy Shop,colorful,-,cute,,カラフルなゆか,alfombra puzle,alfombra puzle,tapis d'enfant,tapis d'enfant,Kinderteppich,tappeto bimbi,컬러풀 바닥,1.0,23D1,23F5,carpet_colorful,,,,,,,-
071,Kiki and Lala floor,,,Étoile's RV,-,No,-,-,"1,200",-,-,300,-,Fairy Tale,white,aqua,cute,,キキ&ララなゆか,suelo Kiki & Lala,suelo Kiki & Lala,sol Kiki & Lala,sol Kiki & Lala,Kiki-&-Lala-Boden,pav. Kiki and Lala,리틀 트윈 스타 바닥,1.4,-,2489,carpet_kikilala,,,,,,,Kiki and Lala floor
072,kitchen flooring,,,Nooklings,A,Yes,"1,230",-,307,245,-,151,-,-,orange,-,modern,,キッチンのゆか,suelo cocina,suelo cocina,sol de cuisine,sol de cuisine,Verandaboden,pavimento cucina,부엌 바닥,1.0,23FF,2423,carpet_kitchen,,,,,,,kitchen flooring
073,kitchen tile,,,Nooklings,B,Yes,"1,890",-,472,377,-,151,-,-,beige,-,basic,,さわやかタイルのゆか,losa cocina,losa cocina,lino cuisine,lino cuisine,Küchenfliesenboden,pavimento taverna,상큼한 타일 바닥,1.0,23F3,2417,carpet_tile_fresh,,,,,,,kitchen tile
074,kitschy tile,,,Nooklings,A,Yes,"1,280",-,320,256,-,151,-,Trendy,orange,-,cute,,キッチュなゆか,losa kitsch,losa kitsch,carrelage kitsch,carrelage kitsch,70er-Kachelboden,pavimento kitsch,어지러운 바닥,1.0,23EC,2410,carpet_kitsch,,,,,kitschy tile,,kitschy tile
075,lab floor,,,Nooklings,D,Yes,"1,280",-,320,256,-,151,mad scientist,Sci-Fi / Quirky,gray,-,rock 'n' roll,,じっけんしつのゆか,psicosuelo,psicosuelo,sol labo,sol labo,Laborboden,pav. laboratorio,실험실 바닥,1.0,23E5,2409,carpet_labo,,,,,,,-
076,ladybug carpet,,,Nat,-,No,-,-,410,-,-,651,-,Toy Shop,red,yellow,cute,,テントウムシのじゅうたん,alfombra catarina,alfombra mariquita,tapis coccinelle,tapis coccinelle,Marienkäferteppich,tappeto coccinella,무당벌레 카펫,1.0,2426,244A,carpet_insect,,,,,,,-
077,lava floor,,,Felyne's RV,-,No,840,-,210,-,-,300,-,Sci-Fi / Toy Shop,brown,orange,flashy,,ようがんのゆか,suelo volcánico,suelo volcánico,sol lave,sol lave,Vulkanboden,pavimento lava,용암 바닥,1.4,-,247E,carpet_floor_volcano,,,,,,,-
078,lobby floor,,,Bitty's RV,-,No,840,-,210,168,-,151,-,Trendy,purple,gray,official,,ロビーのゆか,alfombra recepción,moqueta recepción,sol vestibule,sol vestibule,Lobby-Boden,pavimento reception,로비 바닥,1.4,-,247B,carpet_floor_lobby,,,,,,,lobby floor
079,lovely carpet,,,Nooklings,B,Yes,"1,980",-,495,396,-,151,lovely,Fairy Tale,pink,-,cute,,ラブリーじゅうたん,alfombra corazón,alfombra corazón,tapis cœur,tapis cœur,Herzchenteppich,tappeto cuori,러블리 카펫,1.0,23C8,23EC,carpet_lovely,,,,,,,lovely carpet
080,lunar surface,,,Saharah,-,No,"3,000",-,"2,000","1,600",-,951,space,Sci-Fi,gray,gray,cute,,げつめんのゆか,superficie lunar,superficie lunar,sol lunaire,sol lunaire,Mondlandschaft,suolo lunare,달표면 바닥,1.0,23DF,2403,carpet_lunar,,,,,lunar surface,,-
081,marine pop floor,,,Chip,-,No,-,-,410,328,-,651,-,-,aqua,-,cute,,おサカナなみもようのゆか,suelo peces,suelo peces,sol marin pop,sol marin pop,Aquaboden,pavimento mare pop,물고기무늬 바닥,1.0,2434,2458,carpet_fish_pop,,,,,,,marine pop floor
082,maze floor,,,Nooklings,D,Yes,"1,480",-,370,296,-,151,-,Trendy / Sci-Fi / Toy Shop,white,-,cute,,ラビリンスなゆか,suelo laberinto,suelo laberinto,sol labyrinthe,sol labyrinthe,Labyrinthboden,pavimento labirinto,미로 바닥,1.0,2436,245A,carpet_maze,,,,,,,-
083,mermaid carpet,,,Souvenir Shop,-,No,-,40,500,400,25,99,mermaid,Fairy Tale,aqua,-,cute,,マーメイドなゆか,suelo sirena,suelo sirena,tapis sirène,tapis sirène,Nixenboden,pavimento sirena,머메이드 바닥,1.0,242B,244F,carpet_mermaid,,,,,,,-
084,modern tile,,,Nooklings,D,Yes,"1,540",-,385,308,-,151,modern,Trendy,gray,-,official,,ツートンのゆか,losa moderna,losa moderna,sol moderne,sol moderne,Schachteppich,pavimento moderno,투톤 바닥,1.0,23CD,23F1,carpet_mono,,,,,,,modern tile
085,modern wood flooring,,,Nooklings,B,Yes,"1,480",-,370,296,-,151,modern wood,Rustic,brown,-,ornate,,ミックスウッドのゆか,suelo listones,suelo listones,sol bois moderne,sol bois moderne,Buntholzboden,pavimento legno,믹스우드 바닥,1.0,242A,244E,carpet_mixwood,,,,,modern wood flooring,,modern wood flooring
086,monochrome floor,,,Claude's RV,-,No,840,-,210,168,-,151,-,Antique,gray,brown,basic,,モノクロウッドのゆか,parqué huevo,parqué huevo,sol bois mixte,sol bois mixte,Holzdielenboden,pavimento listellato,모던 나무 바닥,1.4,-,246C,carpet_floor_egg,,,,,,,monochrome floor
087,mosaic tile,,,Nooklings,B,Yes,"2,300",-,575,460,-,151,-,Antique,brown,-,iconic,,モザイクタイルのゆか,losa mosaico,losa mosaico,sol mosaïque,sol mosaïque,Mosaikboden,pavimento mosaico,모자이크 타일 바닥,1.0,23EE,2412,carpet_tile_mosaic,,,,,,,mosaic tile
088,mossy carpet,,,Saharah,-,No,"3,000",-,"2,000","1,600",-,951,-,Harmonious,green,green,iconic,,こけにわのゆか,alfombra musgo,alfombra musgo,tapis moussu,tapis moussu,Moosteppich,tappeto muschio,이끼 낀 바닥,1.0,23F8,241C,carpet_moss,,,,,,,mossy carpet
