Name,Image,Texture,Source,Sell Price (Re-Tail),HHA Base Points,When HHA Lucky,Favorite Saying,Name (English EU),Name (Japanese),Name (Spanish NA),Name (Spanish EU),Name (French NA),Name (French EU),Name (German),Name (Italian),Name (Korean),Version Added,Hex ID (1.0),Hex ID (1.4),Model Filename,New To Series,Name (WW),Name (NH),Name (HHD),Name (PC)
Beardo's pic,,,Villagers,10,451,While Beardo Living in Town,,pic of Beardo,ベアードのしゃしん,foto de Bernabé,foto de Bernabé,photo d'Eustache,photo d'Eustache,Foto von Berthold,foto di Barnaba,베어드 사진,1.0,2EF7,319A,brm_bea13,,,Beardo's photo,,Beardo's pic
Beau's pic,,,Villagers,10,451,While Beau Living in Town,,pic of Beau,ペーターのしゃしん,foto de Lope,foto de Lope,photo de Stefaon,photo de Stefaon,Foto von Martin,foto di Gigi,피터 사진,1.0,2F42,31F2,brm_der07,,,Beau's photo,,Beau's pic
Becky's pic,,,Villagers,10,451,While Becky Living in Town,,pic of Becky,アリアのしゃしん,foto de Ramina,foto de Ramina,photo de Sonya,photo de Sonya,Foto von Inga,foto di Annetta,아리아 사진,1.0,2F2E,31DB,brm_chn09,,,Becky's photo,,Becky's pic
Bella's pic,,,Villagers,10,451,While Bella Living in Town,,pic of Bella,イザベラのしゃしん,foto de Prity,foto de Prity,photo de Belle,photo de Belle,Foto von Susi,foto di Bella,이자벨 사진,1.0,2FBF,3287,brm_mus02,,,Bella's photo,,Bella's pic
Benedict's pic,,,Villagers,10,451,While Benedict Living in Town,,pic of Benedict,ぺしみちのしゃしん,foto de Benito,foto de Benito,photo de Dimitri,photo de Dimitri,Foto von Benedikt,foto di Biagio,페니실린 사진,1.0,2F2B,31D8,brm_chn01,,,Benedict's photo,,Benedict's pic
Benjamin's pic,,,Villagers,10,451,While Benjamin Living in Town,,pic of Benjamin,ハチのしゃしん,foto de Bernardo,foto de Bernardo,photo de Bernardo,photo de Bernardo,Foto von Wastl,foto di Bernardo,땡칠이 사진,1.0,2F50,3203,brm_dog16,,,Benjamin's photo,,Benjamin's pic
Bertha's pic,,,Villagers,10,451,While Bertha Living in Town,,pic of Bertha,あんこのしゃしん,foto de Berta,foto de Berta,photo de Bertha,photo de Bertha,Foto von Berta,foto di Umberta,베티 사진,1.0,2F90,3250,brm_hip03,,,Bertha's photo,,Bertha's pic
Bettina's pic,,,Villagers,10,451,While Bettina Living in Town,,pic of Bettina,マルコのしゃしん,foto de Ottina,foto de Ottina,photo de Sabrina,photo de Sabrina,Foto von Schoki,foto di Rattina,마르카 사진,1.0,2FC7,3290,brm_mus15,,,Bettina's photo,,Bettina's pic
Bianca's pic,,,Villagers,10,451,While Bianca Living in Town,,pic of Bianca,コユキのしゃしん,foto de Bianca,foto de Bianca,photo de Noémie,photo de Noémie,Foto von Bettina,foto di Grattina,백희 사진,1.0,302B,330A,brm_tig06,,,Bianca's photo,,Bianca's pic
Biff's pic,,,Villagers,10,451,While Biff Living in Town,,pic of Biff,ガブリエルのしゃしん,foto de Pipo,foto de Pipo,photo de Biff,photo de Biff,Foto von Norbert,foto di Pippo,가브리엘 사진,1.0,2F91,3251,brm_hip04,,,Biff's photo,,Biff's pic
Big Top's pic,,,Villagers,10,451,While Big Top Living in Town,,pic of Big Top,3ごうのしゃしん,foto de Déivid,foto de Déivid,photo de Miles,photo de Miles,Foto von Benni,foto di Grande C,3호 사진,1.0,2F64,3219,brm_elp02,,,Big Top's photo,,Big Top's pic
Bill's pic,,,Villagers,10,451,While Bill Living in Town,,pic of Bill,ピータンのしゃしん,foto de Paquito,foto de Paquito,photo de Choco,photo de Choco,Foto von Bill,foto di Gino,코코아 사진,1.0,2F53,3206,brm_duk00,,,Bill's photo,,Bill's pic
Billy's pic,,,Villagers,10,451,While Billy Living in Town,,pic of Billy,アーシンドのしゃしん,foto de Brito,foto de Brito,photo de Seguin,photo de Seguin,Foto von Hennes,foto di Billy,힘드러 사진,1.4,-,3236,brm_goa02,,,Billy's photo,,Billy's pic
Biskit's pic,,,Villagers,10,451,While Biskit Living in Town,,pic of Biskit,ロビンのしゃしん,foto de Amnesio,foto de Amnesio,photo de Crocket,photo de Crocket,Foto von Keks,foto di Buffetto,로빈 사진,1.0,2F48,31F9,brm_dog03,,,Biskit's photo,,Biskit's pic
Bitty's pic,,,Villagers,10,451,While Bitty Living in Town,,pic of Bitty,エーミーのしゃしん,foto de Ofelia,foto de Ofelia,photo de Potama,photo de Potama,Foto von Biggi,foto di Rosetta,비티 사진,1.4,-,3252,brm_hip05,,,Bitty's photo,,Bitty's pic
Blaire's pic,,,Villagers,10,451,While Blaire Living in Town,,pic of Blaire,シルエットのしゃしん,foto de Azabache,foto de Azabache,photo de Cachou,photo de Cachou,Foto von Klara,foto di Ghianda,실루엣 사진,1.0,3017,32F1,brm_squ01,,,Blaire's photo,,Blaire's pic
Blanca's pic,,,Blanca,10,1051,Apr 1-30,,pic of Blanca,あやしいネコのしゃしん,foto de Blanca,foto de Blanca,photo de Blanca,photo de Blanca,Foto von Blanka,foto di Blanca,아트고양이 사진,1.0,3034,3343,int_bromide_mka,,,Blanca's photo,,-
Blanche's pic,,,Villagers,10,451,While Blanche Living in Town,,pic of Blanche,しのぶのしゃしん,foto de Rocío,foto de Rocío,photo de Sophie,photo de Sophie,Foto von Christa,foto di Emilia,신옥 사진,1.0,2FD2,329F,brm_ost08,,,Blanche's photo,,Blanche's pic
Blathers's pic,,,Blathers amiibo gift,10,499,-,,pic of Blathers,フータのしゃしん,foto de Sócrates,foto de Sócrates,photo de Thibou,photo de Thibou,Foto von Eugen,foto di Blatero,부엉 사진,1.4,-,332E,int_bromide_owl,,,Blathers's photo,,-
Bluebear's pic,,,Villagers,10,451,While Bluebear Living in Town,,pic of Bluebear,グルミンのしゃしん,foto de Celeste,foto de Celeste,photo de Myrtille,photo de Myrtille,Foto von Birte,foto di Azzurra,글루민 사진,1.0,2F1E,31C7,brm_cbr00,,,Bluebear's photo,,Bluebear's pic
Bob's pic,,,Villagers,10,451,While Bob Living in Town,,pic of Bob,ニコバンのしゃしん,foto de Arándano,foto de Arándano,photo de Robert,photo de Robert,Foto von Jens,foto di Bob,히죽 사진,1.0,2F08,31B0,brm_cat00,,,Bob's photo,,Bob's pic
Bonbon's pic,,,Villagers,10,451,While Bonbon Living in Town,,pic of Bonbon,ミミィのしゃしん,foto de Chocolat,foto de Chocolat,photo de Sylvette,photo de Sylvette,Foto von Henrike,foto di Lolly,미미 사진,1.0,3005,32D9,brm_rbt17,,,Bonbon's photo,,Bonbon's pic
Bones's pic,,,Villagers,10,451,While Bones Living in Town,,pic of Bones,トミのしゃしん,foto de Cándido,foto de Cándido,photo de Nonos,photo de Nonos,Foto von Strolch,foto di Tobia,토미 사진,1.0,2F49,31FA,brm_dog04,,,Bones's photo,,Bones's pic
Booker's pic,,,Booker amiibo gift,10,499,-,,pic of Booker,おまわりさんBのしゃしん,foto de Nocencio,foto de Nocencio,photo de Chausset,photo de Chausset,Foto von Wuff,foto di Fido,경찰관B 사진,1.4,-,3335,int_bromide_pla,,,Booker's photo,,-
Boomer's pic,,,Villagers,10,451,While Boomer Living in Town,,pic of Boomer,ショーイのしゃしん,foto de Serafino,foto de Serafino,photo d'Ethan,photo d'Ethan,Foto von Max,foto di Icaro,팽기 사진,1.0,2FE4,32B3,brm_pgn10,,,Boomer's photo,,Boomer's pic
Boone's pic,,,Villagers,10,451,While Boone Living in Town,,pic of Boone,まんたろうのしゃしん,foto de Babú,foto de Babú,photo de Babouin,photo de Babouin,Foto von Kong,foto di Babu,만복이 사진,1.0,2F81,323D,brm_gor02,,,Boone's photo,,Boone's pic
Boots's pic,,,Villagers,10,451,While Boots Living in Town,,pic of Boots,ホウサクのしゃしん,foto de Braulio,foto de Braulio,photo de Croko,photo de Croko,Foto von Tilmann,foto di Crocco,풍작 사진,1.4,-,31E6,brm_crd02,,,Boots's photo,,Boots's pic
Boris's pic,,,Villagers,10,451,While Boris Living in Town,,pic of Boris,ダリーのしゃしん,foto de Boris,foto de Boris,photo de Boris,photo de Boris,Foto von Bolle,foto di Boris,보리 사진,1.4,-,32BF,brm_pig09,,,Boris's photo,,Boris's pic
Boyd's pic,,,Villagers,10,451,While Boyd Living in Town,,pic of Boyd,ボイドのしゃしん,foto de Bunga,foto de Bunga,photo de Primo,photo de Primo,Foto von Boyd,foto di Brando,보이드 사진,1.4,-,323F,brm_gor05,,,Boyd's photo,,Boyd's pic
Bree's pic,,,Villagers,10,451,While Bree Living in Town,,pic of Bree,サラのしゃしん,foto de Brie,foto de Brie,photo de Quenotte,photo de Quenotte,Foto von Jenny,foto di Ginella,사라 사진,1.0,2FC0,3288,brm_mus03,,,Bree's photo,,Bree's pic
Brewster's pic,,,Brewster amiibo gift,10,499,-,,pic of Brewster,マスターのしゃしん,foto de Fígaro,foto de Fígaro,photo de Robusto,photo de Robusto,Foto von Kofi,foto di Bartolo,마스터 사진,1.4,-,3333,int_bromide_pge,,,Brewster's photo,,-
Broccolo's pic,,,Villagers,10,451,While Broccolo Living in Town,,pic of Broccolo,ブロッコリーのしゃしん,foto de Brócoli,foto de Brócoli,photo de Steven,photo de Steven,Foto von Fritzi,foto di Franco,브로콜리 사진,1.0,2FC5,328E,brm_mus12,,,Broccolo's photo,,Broccolo's pic
Broffina's pic,,,Villagers,10,451,While Broffina Living in Town,,pic of Broffina,カサンドラのしゃしん,foto de Brunilda,foto de Brunilda,photo de Jo,photo de Jo,Foto von Elfriede,foto di Concetta,히킨 사진,1.0,2F30,31DE,brm_chn12,,,Broffina's photo,,Broffina's pic
Bruce's pic,,,Villagers,10,451,While Bruce Living in Town,,pic of Bruce,ブルースのしゃしん,foto de Aristo,foto de Aristo,photo de Boubou,photo de Boubou,Foto von Oswald,foto di Arturo,브루스 사진,1.0,2F3E,31EE,brm_der03,,,Bruce's photo,,Bruce's pic
Bubbles's pic,,,Villagers,10,451,While Bubbles Living in Town,,pic of Bubbles,チャコのしゃしん,foto de Hipólita,foto de Hipólita,photo d'Hippy,photo d'Hippy,Foto von Christin,foto di Ippolita,차코 사진,1.0,2F8F,324F,brm_hip02,,,Bubbles's photo,,Bubbles's pic
Buck's pic,,,Villagers,10,451,While Buck Living in Town,,pic of Buck,ヴァヤシコフのしゃしん,foto de Trotón,foto de Trotón,photo de Daniel,photo de Daniel,Foto von Rudi,foto di Trottolo,바야시코프 사진,1.0,2F94,3255,brm_hrs00,,,Buck's photo,,Buck's pic
Bud's pic,,,Villagers,10,451,While Bud Living in Town,,pic of Bud,グラさんのしゃしん,foto de Surfleo,foto de Surfleo,photo de Léonard,photo de Léonard,Foto von Dieter,foto di Leo,선글 사진,1.0,2FB0,3276,brm_lon00,,,Bud's photo,,Bud's pic
Bunnie's pic,,,Villagers,10,451,While Bunnie Living in Town,,pic of Bunnie,リリアンのしゃしん,foto de Coni,foto de Coni,photo de Clara,photo de Clara,Foto von Mimmi,foto di Bonny,릴리안 사진,1.0,2FF6,32C8,brm_rbt00,,,Bunnie's photo,,Bunnie's pic
Butch's pic,,,Villagers,10,451,While Butch Living in Town,,pic of Butch,ジョンのしゃしん,foto de Bruno,foto de Bruno,photo d'Avril,photo d'Avril,Foto von Hasso,foto di Attila,존 사진,1.0,2F46,31F7,brm_dog01,,,Butch's photo,,Butch's pic
Buzz's pic,,,Villagers,10,451,While Buzz Living in Town,,pic of Buzz,ひでよしのしゃしん,foto de Nabar,foto de Nabar,photo de Phébus,photo de Phébus,Foto von Balduin,foto di Golia,근엄 사진,1.4,-,32A5,brm_pbr03,,,Buzz's photo,,Buzz's pic
Cally's pic,,,Villagers,10,451,While Cally Living in Town,,pic of Cally,パセリのしゃしん,foto de Almendra,foto de Almendra,photo de Célia,photo de Célia,Foto von Hörnchen,foto di Rosa,파슬리 사진,1.0,3021,32FB,brm_squ11,,,Cally's photo,,Cally's pic
Camofrog's pic,,,Villagers,10,451,While Camofrog Living in Town,,pic of Camofrog,フルメタルのしゃしん,foto de Comando,foto de Comando,photo de Milos,photo de Milos,Foto von Tarno,foto di Crambo,충성 사진,1.0,2F6D,3225,brm_flg03,,,Camofrog's photo,,Camofrog's pic
Canberra's pic,,,Villagers,10,451,While Canberra Living in Town,,pic of Canberra,キャンベラのしゃしん,foto de Canberra,foto de Canberra,photo de Kolala,photo de Kolala,Foto von Caroline,foto di Canberra,캔버라 사진,1.0,2FA6,326B,brm_kal08,,,Canberra's photo,,Canberra's pic
Candi's pic,,,Villagers,10,451,While Candi Living in Town,,pic of Candi,かんゆのしゃしん,foto de Chuchi,foto de Chuchi,photo de Sucrette,photo de Sucrette,Foto von Renate,foto di Mella,사탕 사진,1.4,-,328B,brm_mus08,,,Candi's photo,,Candi's pic
Carmen's pic,,,Villagers,10,451,While Carmen Living in Town,,pic of Carmen,チョコのしゃしん,foto de Linda,foto de Linda,photo de Zoé,photo de Zoé,Foto von Hilda,foto di Conny,초코 사진,1.0,3004,32D8,brm_rbt16,,,Carmen's photo,,Carmen's pic
Caroline's pic,,,Villagers,10,451,While Caroline Living in Town,,pic of Caroline,キャロラインのしゃしん,foto de Mariló,foto de Mariló,photo d'Isabelle,photo d'Isabelle,Foto von Ricarda,foto di Carolina,캐롤라인 사진,1.0,301C,32F6,brm_squ06,,,Caroline's photo,,Caroline's pic
Carrie's pic,,,Villagers,10,451,While Carrie Living in Town,,pic of Carrie,マミィのしゃしん,foto de Lola,foto de Lola,photo de Kanga,photo de Kanga,Foto von Carola,foto di Taschina,마미 사진,1.4,-,3270,brm_kgr02,,,Carrie's photo,,Carrie's pic
Cashmere's pic,,,Villagers,10,451,While Cashmere Living in Town,,pic of Cashmere,ラムールのしゃしん,foto de Cachemir,foto de Cachemir,photo de Cashmir,photo de Cashmir,Foto von Lana,foto di Cashmere,캐시미어 사진,1.4,-,32E7,brm_shp04,,,Cashmere's photo,,Cashmere's pic
Cece's pic,,,Villagers,10,451,While Cece Living in Town,,pic of Cece,なぎさのしゃしん,foto de Arduna,foto de Arduna,photo de Kala,photo de Kala,Foto von A-Chan,foto di Cecilia,나기사 사진,1.4,-,3302,brm_squ19,,,-,,-
Celeste's pic,,,Celeste amiibo gift,10,499,-,,pic of Celeste,フーコのしゃしん,foto de Estela,foto de Estela,photo de Céleste,photo de Céleste,Foto von Eufemia,foto di Celeste,부옥 사진,1.4,-,332F,int_bromide_ows,,,Celeste's photo,,-
Celia's pic,,,Villagers,10,451,While Celia Living in Town,,pic of Celia,ティファニーのしゃしん,foto de Jazmín,foto de Jazmín,photo de Garance,photo de Garance,Foto von Lora,foto di Celia,티파니 사진,1.0,2FDC,32AA,brm_pbr09,,,Celia's photo,,Celia's pic
Cesar's pic,,,Villagers,10,451,While Cesar Living in Town,,pic of Cesar,アランのしゃしん,foto de César,foto de César,photo de César,photo de César,Foto von Alfredo,foto di Cesare,앨런 사진,1.0,2F7F,323B,brm_gor00,,,Cesar's photo,,Cesar's pic
Chadder's pic,,,Villagers,10,451,While Chadder Living in Town,,pic of Chadder,チーズのしゃしん,foto de Roque,foto de Roque,photo de Mozzar,photo de Mozzar,Foto von Charlie,foto di Gruviero,치즈 사진,1.0,2FCA,3293,brm_mus18,,,Chadder's photo,,Chadder's pic
Chai's pic,,,Villagers,10,451,While Chai Living in Town,,pic of Chai,フィーカのしゃしん,foto de Chai,foto de Chai,photo de Chaï,photo de Chaï,Foto von Chai,foto di Chai,피카 사진,1.4,-,3221,brm_elp11,,,Chai's photo,,Chai's pic
Charlise's pic,,,Villagers,10,451,While Charlise Living in Town,,pic of Charlise,チャーミーのしゃしん,foto de Charo,foto de Charo,photo de Zabou,photo de Zabou,Foto von Tabea,foto di Orsola,챠미 사진,1.0,2EF6,3199,brm_bea12,,,Charlise's photo,,Charlise's pic
Chelsea's pic,,,Villagers,10,451,While Chelsea Living in Town,,pic of Chelsea,チェルシーのしゃしん,foto de Chelsea,foto de Chelsea,photo de Chelsea,photo de Chelsea,Foto von Chelsea,foto di Chelsea,첼시 사진,1.4,-,31F5,brm_der10,,,Chelsea's photo,,Chelsea's pic
Cheri's pic,,,Villagers,10,451,While Cheri Living in Town,,pic of Cheri,アセロラのしゃしん,foto de Cerecita,foto de Cerecita,photo de Rosalie,photo de Rosalie,Foto von Claudia,foto di Bonbon,아세로라 사진,1.0,2F25,31D0,brm_cbr10,,,Cheri's photo,,Cheri's pic
Cherry's pic,,,Villagers,10,451,While Cherry Living in Town,,pic of Cherry,ハンナのしゃしん,foto de Luna,foto de Luna,photo d'Anna,photo d'Anna,Foto von Bella,foto di Amarena,한나 사진,1.0,2F51,3204,brm_dog17,,,Cherry's photo,,Cherry's pic
Chester's pic,,,Villagers,10,451,While Chester Living in Town,,pic of Chester,パンタのしゃしん,foto de Osunio,foto de Osunio,photo de Placide,photo de Placide,Foto von Eduard,foto di Clemente,팬타 사진,1.0,2F27,31D3,brm_cbr15,,,Chester's photo,,Chester's pic
Chevre's pic,,,Villagers,10,451,While Chevre Living in Town,,pic of Chevre,ユキのしゃしん,foto de Cabriola,foto de Cabriola,photo de Biquette,photo de Biquette,Foto von Anette,foto di Diletta,윤이 사진,1.0,2F79,3234,brm_goa00,,,Chevre's photo,,Chevre's pic
Chief's pic,,,Villagers,10,451,While Chief Living in Town,,pic of Chief,チーフのしゃしん,foto de Zoilo,foto de Zoilo,photo de Chef,photo de Chef,Foto von Sascha,foto di Artiglio,대장 사진,1.0,302C,330B,brm_wol00,,,Chief's photo,,Chief's pic
Chip's pic,,,Chip amiibo gift,10,499,-,,pic of Chip,うおまさのしゃしん,foto de Martín,foto de Martín,photo de Castor,photo de Castor,Foto von Bartholo,foto di Castore,뚱달 사진,1.4,-,3318,int_bromide_bev,,,Chip's photo,,-
Chops's pic,,,Villagers,10,451,While Chops Living in Town,,pic of Chops,トンファンのしゃしん,foto de Solomín,foto de Solomín,photo d'Aaron,photo d'Aaron,Foto von Clemens,foto di Lino,돈후앙 사진,1.0,2FF2,32C3,brm_pig14,,,Chops's photo,,Chops's pic
Chow's pic,,,Villagers,10,451,While Chow Living in Town,,pic of Chow,チャウヤンのしゃしん,foto de Pando,foto de Pando,photo de Chulin,photo de Chulin,Foto von Chang,foto di Chowchow,츄양 사진,1.0,2EF0,3191,brm_bea03,,,Chow's photo,,Chow's pic
Chrissy's pic,,,Villagers,10,451,While Chrissy Living in Town,,pic of Chrissy,クリスチーヌのしゃしん,foto de Lali,foto de Lali,photo de Kristine,photo de Kristine,Foto von Anne,foto di Natascha,크리스틴 사진,1.0,3002,32D5,brm_rbt13,,,Chrissy's photo,,Chrissy's pic
Claude's pic,,,Villagers,10,451,While Claude Living in Town,,pic of Claude,ビネガーのしゃしん,foto de Pablo,foto de Pablo,photo de Claude,photo de Claude,Foto von Claude,foto di Claude,비니거 사진,1.4,-,32D3,brm_rbt11,,,Claude's photo,,Claude's pic
Claudia's pic,,,Villagers,10,451,While Claudia Living in Town,,pic of Claudia,マリリンのしゃしん,foto de Lilu,foto de Lilu,photo de Vanina,photo de Vanina,Foto von Lilly,foto di Lilla,신디 사진,1.0,302A,3309,brm_tig05,,,Claudia's photo,,Claudia's pic
Clay's pic,,,Villagers,10,451,While Clay Living in Town,,pic of Clay,どぐろうのしゃしん,foto de Boliche,foto de Boliche,photo de Guido,photo de Guido,Foto von Dietmar,foto di Carmelo,햄둥 사진,1.0,2F8B,324A,brm_ham05,,,Clay's photo,,Clay's pic
